"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA ESTADUAL CANUTAMA",,"Acanthaceae","Indet",,,"ACANTHACEAE Indet. sp.","INPA0238644","splink","INPA","Prata, E.M.B.","329",,"2010","Silva, F.A.","2017","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Connaraceae","Indet",,,"CONNARACEAE Indet. sp.","INPA0238672","splink","INPA","Prata, E.M.B.","358",,"2010","Toledo, C.A.P.","2015","Ouro","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Euphorbiaceae","Acalypha",,"L.","EUPHORBIACEAE Acalypha L.","238611","x","Herbario INPA","Hopkins, M.","297",,,"Silva, J.B.F.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda, beira do lago Paecé."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Euphorbiaceae","Alchornea",,"Sw.","EUPHORBIACEAE Alchornea Sw.","238687","x","Herbario INPA","Hopkins, M.","373",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
"FLORESTA ESTADUAL CANUTAMA",,"Euphorbiaceae","Indet",,,"EUPHORBIACEAE Indet. sp.","INPA0238687","splink","INPA","Prata, E.M.B.","373",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Euphorbiaceae","Indet",,,"EUPHORBIACEAE Indet. sp.","INPA0238611","splink","INPA","Prata, E.M.B.","297",,"2010","Silva, J.B.F.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Fabaceae","Indet",,,"FABACEAE Indet. sp.","INPA0238694","splink","INPA","Prata, E.M.B.","380",,"2010","Mansano, V.F.","2015","Ouro","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Fabaceae","Indet",,,"FABACEAE Indet. sp.","INPA0238685","splink","INPA","Prata, E.M.B.","371",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Lauraceae","Indet",,,"LAURACEAE Indet. sp.","INPA0238634","splink","INPA","Prata, E.M.B.","319",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Lauraceae","Ocotea",,"Aubl.","LAURACEAE Ocotea Aubl.","238634","x","Herbario INPA","Hopkins, M.","319",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Meliaceae","Guarea",,"F.Allam. ex L.","MELIACEAE Guarea F.Allam. ex L.","238674","x","Herbario INPA","Hopkins, M.","360",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
"FLORESTA ESTADUAL CANUTAMA",,"Meliaceae","Indet",,,"MELIACEAE Indet. sp.","INPA0238674","splink","INPA","Prata, E.M.B.","360",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Moraceae","Indet",,,"MORACEAE Indet. sp.","INPA0238714","splink","INPA","Prata, E.M.B.","400",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA",,"Myrtaceae","Indet",,,"MYRTACEAE Indet. sp.","BHCB200456","splink","BHCB","Prata, E.M.B.","296",,"2010",,"0-0-0","Latão","Ouro",,"Canutama","Floresta Estadual Canutama"
"FLORESTA ESTADUAL CANUTAMA",,,"Indet",,,"NA Indet. sp.","HUEFS0263500","splink","HUEFS","Prata, E.M.B.","297",,"2010","Carneiro-Torres, D.S.","2025","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama, Rio Purus, margem esquerda, beira do lago Paecé."
"FLORESTA ESTADUAL CANUTAMA",,"Rhamnaceae","Indet",,,"RHAMNACEAE Indet. sp.","INPA0238709","splink","INPA","Prata, E.M.B.","395",,"2010","Silva, J.B.F.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Rhamnaceae","Reissekia",,"Endl.","RHAMNACEAE Reissekia Endl.","238709","x","Herbario INPA","Hopkins, M.","395",,,"Silva, J.B.F.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Sapindaceae","Cupania",,"L.","SAPINDACEAE Cupania L.","238683","x","Herbario INPA","Hopkins, M.","369",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
"FLORESTA ESTADUAL CANUTAMA",,"Sapindaceae","Indet",,,"SAPINDACEAE Indet. sp.","INPA0238683","splink","INPA","Prata, E.M.B.","369",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Floresta Estadual Canutama."
"FLORESTA ESTADUAL CANUTAMA","Angiosperms","Sapotaceae","Chrysophyllum",,"L.","SAPOTACEAE Chrysophyllum L.","238632","x","Herbario INPA","Hopkins, M.","317",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Floresta Estadual Canutama., Rio Purus, margem esquerda."
