"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL HUMAITÁ","Angiosperms","Aquifoliaceae",,,"Bercht. & J.Presl","AQUIFOLIACEAE Aquifoliaceae Bercht. & J.Presl","RB01424677","x","RB","Almeida, T.E.","3544",,"2014",,,"Latão","Ouro",,,"Floresta Nacional de Humaitá. Área com diques e paleocanais às margens do Rio Madeira (UPN 2)."
"FLORESTA NACIONAL HUMAITÁ",,"Arecaceae","Indet",,,"ARECACEAE Indet. sp.","INPA0263094","splink","INPA","Almeida, T.E.","3479",,"2014",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","RB01424628","x","RB","Almeida, T.E.","3543",,"2014",,,"Latão","Ouro",,,"Floresta Nacional de Humaitá. Área com diques e paleocanais às margens do Rio Madeira (UPN 2)."
"FLORESTA NACIONAL HUMAITÁ",,"Celastraceae","Indet",,,"CELASTRACEAE Indet. sp.","INPA0280649","splink","INPA","Ferreira, M.J.","796",,"2016","Ramos, J.F.","2017","Prata","Ouro",,"Humaitá","Flona de Humaitá"
"FLORESTA NACIONAL HUMAITÁ","Angiosperms","Cucurbitaceae","Gurania",,"(Schltdl.) Cogn.","CUCURBITACEAE Gurania (Schltdl.) Cogn.","RB01424619","x","RB","Almeida, T.E.","3536",,"2014",,"2023","Latão","Ouro",,,"Floresta Nacional de Humaitá. Área com diques e paleocanais às margens do Rio Madeira (UPN 2)."
"FLORESTA NACIONAL HUMAITÁ",,"Cucurbitaceae","Indet",,,"CUCURBITACEAE Indet. sp.","INPA0263151","splink","INPA","Almeida, T.E.","3536",,"2014","Gomes-Klein, V.L.","2020","Ouro","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Cucurbitaceae","Indet",,,"CUCURBITACEAE Indet. sp.","INPA0263170","splink","INPA","Almeida, T.E.","3555",,"2014","Ramos, J.F.","2015","Prata","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ","Angiosperms","Cucurbitaceae","Sicydium",,"Schltdl.","CUCURBITACEAE Sicydium Schltdl.","RB01422154","x","RB","Almeida, T.E.","3555",,"2014","Ramos, J.F.","2015","Prata","Ouro",,,"Floresta Nacional de Humaitá."
"FLORESTA NACIONAL HUMAITÁ",,"Dioscoreaceae","Indet",,,"DIOSCOREACEAE Indet. sp.","INPA0263141","splink","INPA","Almeida, T.E.","3526",,"2014",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Dioscoreaceae","Indet",,,"DIOSCOREACEAE Indet. sp.","INPA0263157","splink","INPA","Almeida, T.E.","3542",,"2014",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Dioscoreaceae","Indet",,,"DIOSCOREACEAE Indet. sp.","INPA0263171","splink","INPA","Almeida, T.E.","3556",,"2014",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Euphorbiaceae","Indet",,,"EUPHORBIACEAE Indet. sp.","17332","splink","EAFM","Ferreira, M.J.","1349",,"2016","Ramos, J.","2017","Bronze","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Euphorbiaceae","Indet",,,"EUPHORBIACEAE Indet. sp.","17365","splink","EAFM","Ferreira, M.J.","1384",,"2016","Ramos, J.","2017","Bronze","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Fabaceae","Indet",,,"FABACEAE Indet. sp.","INPA0263172","splink","INPA","Almeida, T.E.","3557",,"2014",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá"
"FLORESTA NACIONAL HUMAITÁ",,"Hymenophyllaceae","Indet",,,"HYMENOPHYLLACEAE Indet. sp.","4495","splink","HFSL","Guimaraes, F.B.","611",,"2004",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá, Às margens do Rio Maici-Mirim."
"FLORESTA NACIONAL HUMAITÁ",,"Hymenophyllaceae","Indet",,,"HYMENOPHYLLACEAE Indet. sp.","4498","splink","HFSL","Guimaraes, F.B.","613",,"2004",,,"Latão","Ouro",,"Humaitá","Floresta Nacional de Humaitá, Às margens do Rio Maici-Mirim."
