"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Asteraceae","Chromolaena",,"DC.","ASTERACEAE Chromolaena DC.","RB01492627","x","RB","Nunes, D.","1598",,"2023",,,"Latão","Ouro",,,"Distrito de Frade, no Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Asteraceae","Chromolaena",,"DC.","ASTERACEAE Chromolaena DC.","HUFU00083075","splink","HUFU","Nunes, D.","1598",,"2023",,,"Latão","Ouro",,"Macaé","Monumento Natural do Pico do Frade, Distrito de Frade, no Ponto da decisão."
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Bromeliaceae","Nidularium",,"Lem.","BROMELIACEAE Nidularium Lem.","RB01492622","x","RB","Nunes, D.","1593",,"2023",,,"Latão","Ouro",,,"Distrito de Frade, na trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Burmanniaceae",,,"Blume","BURMANNIACEAE Burmanniaceae Blume","01493912","x","RBspirit","Nunes, D.","1566",,"2023","Silva, D.F.","2023","Bronze","Ouro",,,"Distrito de Frade, na trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Campanulaceae",,,"A.Juss.","CAMPANULACEAE Campanulaceae A.Juss.","RB01511368","x","RB","Feliz, P.","511",,"2023",,,"Latão","Ouro",,,"Destrito do Frade, trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Gentianaceae",,,"Juss.","GENTIANACEAE Gentianaceae Juss.","01493913","x","RBspirit","Nunes, D.","1570",,"2023","Silva, D.F.","2023","Bronze","Ouro",,,"Distrito de Frade, na trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Gentianaceae",,,"Juss.","GENTIANACEAE Gentianaceae Juss.","01493911","x","RBspirit","Nunes, D.","1565",,"2023","Silva, D.F.","2023","Bronze","Ouro",,,"Distrito de Frade, na trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Iridaceae","Neomarica",,"Sprague","IRIDACEAE Neomarica Sprague","RB01492593","x","RB","Nunes, D.","1561",,"2023",,,"Latão","Ouro",,,"Distrito de Frade, no início da trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Malpighiaceae","Tetrapterys",,"Cav.","MALPIGHIACEAE Tetrapterys Cav.","RB01492589","x","RB","Nunes, D.","1557",,"2023",,,"Latão","Ouro",,,"Distrito de Frade, no início da trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
"MONUMENTO NATURAL PICO DO FRADE","Angiosperms","Menispermaceae","Abuta",,"Barrère ex Aubl.","MENISPERMACEAE Abuta Barrère ex Aubl.","RB01511356","x","RB","Feliz, P.","500",,"2023",,,"Latão","Ouro",,,"Destrito do Frade, trilha rumo ao Ponto da Decisão. Monumento Natural do Pico do Frade"
