"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Amaranthaceae","Gomphrena",,"L.","AMARANTHACEAE Gomphrena L.","R000205383",,"R","Carauta, J.P.P.","7409",,"2004",,,"Latão","Ouro",,"Macaé","Parque Nacional da Restinga de Jurubatiba"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA",,"Annonaceae","Annona","acutifolia","Saff. ex R.E.Fr.","ANNONACEAE Annona acutifolia Saff. ex R.E.Fr.","RFFP27885",,"RFFP","Santos, M.G.","2303",,"2014","Santos, M.G.","2014","Bronze","Ouro",,"Carapebus","Município de Carapebus, Parque Nacional da Restinga de Jurubatiba, Restinga de Carapebus, estrada para a Praia de Carapebus, 22º12´40,61”S – 41º35´15,00”W. Restinga, área degradada (área de pastagem). coordenadas: latitude: 22º58´32,9”S longitude: 43º02´41,8”W."
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Allamanda",,"L.","APOCYNACEAE Allamanda L.","RFA36254",,"RFA","Leal, G.A.","s.n.",,"2015",,,"Latão","Ouro",,"Rio de Janeiro","Parque Nacional da Restinga de Jurubatiba (Macaé, Carapebus e Quissamã). Encontrada dentro da trilha, longe da praia"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Allamanda",,"L.","APOCYNACEAE Allamanda L.","RFA36254","splink","RFA","Leal, G.A.","s.n.",,"2015",,,"Latão","Ouro",,"Rio de Janeiro","Parque Nacional da Restinga de Jurubatiba (Macaé, Carapebus e Quissamã). Encontrada dentro da trilha, longe da praia"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Allamanda",,"L.","APOCYNACEAE Allamanda L.","RFA23063","splink","RFA","Freitas, D.","s.n.",,"2009",,,"Latão","Ouro",,"Macaé","Parque Nacional da Restinga de Jurubatiba"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Allamanda",,"L.","APOCYNACEAE Allamanda L.","RFA35560","splink","RFA","Aramaki, M.","1",,"2009",,,"Latão","Ouro",,"Macaé","Parque Nacional da restinga de Jurubatiba"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Ditassa","arianeae","Fontella","APOCYNACEAE Ditassa arianeae Fontella","RB01452641","x","RB","Deccache, L.S.J.","23",,"2021","Fraga, C.N.","2021","Bronze","Ouro",,,"Parque Nacional Restinga de Jurubatiba. Estrada para a lagoa de Carapebus. Parque Nacional da Restinga de Jurubatiba"
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Forsteronia",,"G.Mey.","APOCYNACEAE Forsteronia G.Mey.","RFA62106",,"RFA","Konno, T.U.P.","1570",,"2013",,,"Latão","Ouro",,"Carapebus","PARNA Restinga de Jurubatiba, arredores da estrada da Fazenda São Lázaro."
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Apocynaceae","Forsteronia",,"G.Mey.","APOCYNACEAE Forsteronia G.Mey.","RFA62106","splink","RFA","Konno, T.U.P.","1570",,"2013",,,"Latão","Ouro",,"Carapebus","PARNA Restinga de Jurubatiba, arredores da estrada da Fazenda São Lázaro."
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Arecaceae","Desmoncus",,"Mart.","ARECACEAE Desmoncus Mart.","145655","x","SPF","Fiaschi, P.","723",,"2001",,,"Latão","Ouro",,,"Parque Nacional da Restinga de Jurubatiba, Estrada de acesso para a praia de Carapebus."
"PARQUE NACIONAL RESTINGA DE JURUBATIBA","Angiosperms","Asparagaceae",,,"Juss.","ASPARAGACEAE Asparagaceae Juss.","RB00761409","x","RB","Castelo, A.J.","197",,"2012","Castelo, A.J.","2012","Bronze","Ouro",,,"Parque Nacional da Restinga de Jurubatiba, entre as Lagoas Comprida e Carapebus. vegetação halófila-psamófila."
