"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Calophyllaceae","Calophyllum",,"L.","CALOPHYLLACEAE Calophyllum L.","254479","x","Herbario INPA","Hopkins, M.","1992",,,"Mari, M.L.G.",,"Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Calophyllaceae","Calophyllum",,"L.","CALOPHYLLACEAE Calophyllum L.","239115","x","Herbario INPA","Hopkins, M.","863",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI",,"Calophyllaceae","Indet",,,"CALOPHYLLACEAE Indet. sp.","INPA0254479","splink","INPA","Costa, F.M.","1992",,"2012","Mari, M.L.G.","2013","Bronze","Ouro",,"Novo Aripuanã","Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI",,"Calophyllaceae","Indet",,,"CALOPHYLLACEAE Indet. sp.","INPA0239115","splink","INPA","Prata, E.M.B.","863",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI",,"Chrysobalanaceae","Indet",,,"CHRYSOBALANACEAE Indet. sp.","INPA0239096","splink","INPA","Prata, E.M.B.","796",,"2010","Prata, E.M.B.","2010","Bronze","Ouro",,"Canutama","Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Chrysobalanaceae","Licania",,"Aubl.","CHRYSOBALANACEAE Licania Aubl.","239096","x","Herbario INPA","Hopkins, M.","796",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Cyperaceae","Fimbristylis",,"Vahl","CYPERACEAE Fimbristylis Vahl","254453","x","Herbario INPA","Hopkins, M.","1966",,,"Mari, M.L.G.",,"Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Cyperaceae","Mapania",,"Aubl.","CYPERACEAE Mapania Aubl.","239135","x","Herbario INPA","Hopkins, M.","891",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Cyperaceae","Mapania",,"Aubl.","CYPERACEAE Mapania Aubl.","239118","x","Herbario INPA","Hopkins, M.","867",,,"Prata, E.M.B.","2010","Bronze","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Lauraceae","Endlicheria",,"Nees","LAURACEAE Endlicheria Nees","254430","x","Herbario INPA","Hopkins, M.","1943",,,"Ramos, J.F.","2014","Prata","Ouro",,,"Parque Estadual do Matupiri"
"PARQUE ESTADUAL MATUPIRI","Angiosperms","Lauraceae","Endlicheria",,"Nees","LAURACEAE Endlicheria Nees","254476","x","Herbario INPA","Hopkins, M.","1989",,,"Ramos, J.F.","2014","Prata","Ouro",,,"Parque Estadual do Matupiri"
