"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SERRA DO ARACÁ","Bryophytes","Aneuraceae","Riccardia","digitiloba","(Spruce ex Steph.) Pagán","ANEURACEAE Riccardia digitiloba (Spruce ex Steph.) Pagán","RB00662008","x","RB","Costa, D.P.","5580","Native","2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Mata do Igarapé. sobre solo da margem do Igrapé."
"PARQUE ESTADUAL SERRA DO ARACÁ","Bryophytes","Aneuraceae","Riccardia","fucoidea","(Sw.) Schiffn.","ANEURACEAE Riccardia fucoidea (Sw.) Schiffn.","RB00661985","x","RB","Costa, D.P.","5559","Native","2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Elfin Forest. sobre pedra no igarape."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Anaxagorea","acuminata","(Dunal) A.DC.","ANNONACEAE Anaxagorea acuminata (Dunal) A.DC.","RB00733114","x","RB","Quinet, A.","2760A","Native","2011","Lobao, A.","2014","Ouro","Ouro",,,"Parque Estadual da Serra do Aracá, igarapé Preto, mata ciliar."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Guatteria","discolor","R.E.Fr.","ANNONACEAE Guatteria discolor R.E.Fr.","RB00930011","x","RB","Forzza, R.C.","8072","Native","2014","A.lobao","2015","Bronze","Ouro",,,"Margens do Igarapé Preto. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Guatteria","ucayalina","Huber","ANNONACEAE Guatteria ucayalina Huber","228210","x","SPF","Quinet, A.","2758","Native","2011","Lobao, A.Q.",,"Ouro","Ouro",,,"Parque Estadual Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Guatteria","ucayalina","Huber","ANNONACEAE Guatteria ucayalina Huber","RB00796902","x","RB","Santos, A.S.","3323","Native","2011","Lobao, A.","2019","Ouro","Ouro",,,"Parque Estadual da Serra Do Aracá. Margem do Igarapé Preto."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Guatteria","ucayalina","Huber","ANNONACEAE Guatteria ucayalina Huber","02707188","x","NY","Quinet, A.","2758","Native","2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, igarapé Preto, mata ciliar."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Ditassa","sobradoi","(Morillo) Liede","APOCYNACEAE Ditassa sobradoi (Morillo) Liede","RB00929935","x","RB","Forzza, R.C.","7997","Native","2014","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Serra do Aracá, acampamento do fosso. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Neocouma","parviflora","(Markgr.) Zarucchi","APOCYNACEAE Neocouma parviflora (Markgr.) Zarucchi","UPCB00047757","x","UPCB","Barbosa-Silva, R.G.","295","Native","2014","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá. Serra do Aracá, cachoeira do Eldorado, mata na margem direita."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Neocouma","parviflora","(Markgr.) Zarucchi","APOCYNACEAE Neocouma parviflora (Markgr.) Zarucchi","97406","x","UPCB","Barbosa-Silva, R.G.","295","Native","2014","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá. Serra do Aracá, cachoeira do Eldorado, mata na margem direita."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Neocouma","parviflora","(Markgr.) Zarucchi","APOCYNACEAE Neocouma parviflora (Markgr.) Zarucchi","212855","x","HUEFS","Barbosa-Silva, R.G.","295A","Native","2014","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá. Serra do Aracá, cachoeira do Eldorado, mata na margem direitra."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Neocouma","parviflora","(Markgr.) Zarucchi","APOCYNACEAE Neocouma parviflora (Markgr.) Zarucchi","RB00694080","x","RB","Moraes, M.A.","206","Native","2011","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual das Serra do Aracá. Margem diretia do Igarapé Preto, acima da Cachoeira do El Dorado."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Tassadia","stricta","(E.Fourn.) Liede & Rapini","APOCYNACEAE Tassadia stricta (E.Fourn.) Liede & Rapini","RB00715558","x","RB","Forzza, R.C.","6622","Unknown","2011","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá. Vegetação arbustiva com afloramentos e alagados; com pequena mata na margem de igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Aquifoliaceae","Ilex","costata","Edwin","AQUIFOLIACEAE Ilex costata Edwin","85373","x","UPCB","Goldenberg, R.","1935","Native","2014","Barbosa-Silva, R.G.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá, Serra do Aracá; trilha do acampamento do fosso."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Aquifoliaceae","Ilex","costata","Edwin","AQUIFOLIACEAE Ilex costata Edwin","RB00865759","x","RB","Goldenberg, R.","1935","Native","2014","R.g.barbosa-Silva","2014","Bronze","Ouro",,,"Serra do Aracá; acampamento do fosso. Parque Estadual da Serra do Aracá"
