"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Acrobolbaceae","Acrobolbus","gradsteinii","(Grolle) Briscoe","ACROBOLBACEAE Acrobolbus gradsteinii (Grolle) Briscoe","RB00661982","x","RB","Costa, D.P.","5556",,"2011","Costa, D.P.","2015","Bronze","Ouro",,,"Elfin Forest. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Adelanthaceae","Syzygiella",,"Spruce","ADELANTHACEAE Syzygiella Spruce","RB00661970","x","RB","Costa, D.P.","5544",,"2011","Costa, D.P.","2015","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá, Elfin Forest. sobre arbusto a beira do igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Anastrophyllaceae","Anastrophyllum","auritum","(Lehm.) Steph.","ANASTROPHYLLACEAE Anastrophyllum auritum (Lehm.) Steph.","RB00873581","x","RB","Barbosa-Silva, R.G.","307",,"2014","Costa, D.P.","2016","Bronze","Ouro",,,"Serra do Aracá, Cachoeira do Eldorado, mata na margem direita. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Anastrophyllaceae","Anastrophyllum","auritum","(Lehm.) Steph.","ANASTROPHYLLACEAE Anastrophyllum auritum (Lehm.) Steph.","RB00873579","x","RB","Barbosa-Silva, R.G.","305",,"2014","Costa, D.P.","2016","Bronze","Ouro",,,"Serra do Aracá, Cachoeira do Eldorado, mata na margem direita. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Anastrophyllaceae","Anastrophyllum","piligerum","(Nees) Steph.","ANASTROPHYLLACEAE Anastrophyllum piligerum (Nees) Steph.","RB00669759","x","RB","Costa, D.P.","5561a",,"2011","Costa, D.P.","2016","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Aneuraceae","Riccardia","digitiloba","(Spruce) Pagán","ANEURACEAE Riccardia digitiloba (Spruce) Pagán","RB00661916","x","RB","Costa, D.P.","5492",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, vegetação campestre de Tepui. Solo a beira do igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Aneuraceae","Riccardia","digitiloba","(Spruce) Pagán","ANEURACEAE Riccardia digitiloba (Spruce) Pagán","RB00662008","x","RB","Costa, D.P.","5580",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Mata do Igarapé. sobre solo da margem do Igrapé."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Aneuraceae","Riccardia","fucoidea","(Sw.) C.Massal.","ANEURACEAE Riccardia fucoidea (Sw.) C.Massal.","RB00661943","x","RB","Costa, D.P.","5517",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Elfin Forest. Sobre raiz a beira do igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Aneuraceae","Riccardia","fucoidea","(Sw.) C.Massal.","ANEURACEAE Riccardia fucoidea (Sw.) C.Massal.","RB00661985","x","RB","Costa, D.P.","5559",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Elfin Forest. sobre pedra no igarape."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Aneuraceae","Riccardia","hymenophytoides","(Spruce) Meenks","ANEURACEAE Riccardia hymenophytoides (Spruce) Meenks","RB00661947","x","RB","Costa, D.P.","5521",,"2011","Cruz, L.C.C.","2013","Bronze","Ouro",,,"Elfin Forest. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Anisophylleaceae",,,"Ridl.","ANISOPHYLLEACEAE Anisophylleaceae Ridl.","UPCB00035504","x","UPCB","Forzza, R.C.","7979",,"2014",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Anisophylleaceae",,,"Ridl.","ANISOPHYLLEACEAE Anisophylleaceae Ridl.","92779","x","UPCB","Forzza, R.C.","7979",,"2014",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Anisophylleaceae",,,"Ridl.","ANISOPHYLLEACEAE Anisophylleaceae Ridl.","RB00929915","x","RB","Forzza, R.C.","7979",,"2014",,,"Latão","Ouro",,,"Trilha da subida para a Serra do Aracá. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Xylopia",,"L.","ANNONACEAE Xylopia L.","65223","x","JPB","Santos, A.S.","3321",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá, Margem do Igarapé Preto"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Annonaceae","Xylopia",,"L.","ANNONACEAE Xylopia L.","RB00796900","x","RB","Santos, A.S.","3321",,"2011",,,"Latão","Ouro",,,"Parque Estadual da Serra Do Aracá. Margem do Igarapé Preto."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Apocynaceae","Tabernaemontana",,"L.","APOCYNACEAE Tabernaemontana L.","333719","x","SP","Coutinho, A.C.","s.n.",,"1995",,,"Latão","Ouro",,,"Serra do Aracá, Areal ao pé da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Araceae","Philodendron","craspedodromum","R.E.Schult.","ARACEAE Philodendron craspedodromum R.E.Schult.","RB00686428","x","RB","Martinelli, G.","17004",,"2011","Nadruz","2012","Bronze","Ouro",,,"Rio Aracá, Parque Estadual da Serra do Aracá, igarapé Ituim. campinas e igapós das margens de igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Araceae","Urospatha",,"Schott","ARACEAE Urospatha Schott","RB01463642","x","RB","Quinet, A.","2793",,"2011",,"2024","Latão","Ouro",,,"rio Aracá, Paraibaquara. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Araliaceae","Schefflera",,"J.R.Forst. & G.Forst.","ARALIACEAE Schefflera J.R.Forst. & G.Forst.","RB00929954","x","RB","Forzza, R.C.","8016",,"2014",,,"Latão","Ouro",,,"Serra do Aracá, margens da Cachoeira do Eldorado. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Araliaceae","Schefflera",,"J.R.Forst. & G.Forst.","ARALIACEAE Schefflera J.R.Forst. & G.Forst.","66625","x","FLOR","Forzza, R.C.","8016",,"2014",,,"Latão","Ouro",,,"Parque Estadual da Serra do Aracá. Serra do Aracá, margens da Cachoeira do Eldorado."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Asteraceae","Eremanthus",,"Less.","ASTERACEAE Eremanthus Less.","RB00686430","x","RB","Martinelli, G.","17006",,"2011",,"2017","Latão","Ouro",,,"Rio Aracá, Parque Estadual da Serra do Aracá, igarapé Ituim. campinas e igapós das margens de igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Bignoniaceae","Adenocalymma",,"Mart. ex Meisn. emend L.G.Lohmann","BIGNONIACEAE Adenocalymma Mart. ex Meisn. emend L.G.Lohmann","RB00686407","x","RB","Martinelli, G.","16987",,"2011",,,"Latão","Ouro",,,"Rio Aracá, Parque Estadual da Serra do Aracá, igarapé Ituim. campinas e igapós das margens de igarapé."
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Bignoniaceae","Adenocalymma",,"Mart. ex Meisn. emend L.G.Lohmann","BIGNONIACEAE Adenocalymma Mart. ex Meisn. emend L.G.Lohmann","RB01462668","x","RB","Quinet, A.","2826",,"2011",,,"Latão","Ouro",,,"margem do rio Demeni. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ","Angiosperms","Bignoniaceae","Amphilophium",,"Kunth emend L.G. Lohmann","BIGNONIACEAE Amphilophium Kunth emend L.G. Lohmann","RB01462640","x","RB","Quinet, A.","2821",,"2011",,,"Latão","Ouro",,,"margem do rio Demeni. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Brachytheciaceae","Squamidium","leucotrichum","(Taylor) Broth.","BRACHYTHECIACEAE Squamidium leucotrichum (Taylor) Broth.","RB00662014","x","RB","Costa, D.P.","5585",,"2011","Costa, D.P.","2014","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá, mata a beira do paredão do Tepui. sobre tronco de arbusto na mata."
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Bromeliaceae","Guzmania","sphaeroidea","(André) André ex Mez","BROMELIACEAE Guzmania sphaeroidea (André) André ex Mez","RB00929930","x","RB","Forzza, R.C.","7993",,"2014","Barbosa-Silva, R.G.","2015","Bronze","Ouro",,,"Serra do Aracá, acampamento do fosso. Parque Estadual da Serra do Aracá"
"PARQUE ESTADUAL SERRA DO ARACÁ",,"Bromeliaceae","Guzmania","squarrosa","(Mez & Sodiro) L.B.Sm. & Pittendr.","BROMELIACEAE Guzmania squarrosa (Mez & Sodiro) L.B.Sm. & Pittendr.","RB00686523","x","RB","Martinelli, G.","17087",,"2011","R.g.barbosa-Silva","2013","Bronze","Ouro",,,"Parque Estadual da Serra do Aracá, formações campestres sobre tepui. formações campestres sobre tepui."
