"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","RFFP27043",,"RFFP","Santos, M.C.F.","2044",,"2006",,,"Latão","Ouro",,"Rio de Janeiro","Município do Rio de Janeiro, Parque Natural Municipal da Serra do Mendanha, área entre a parte média da trilha da Caninana e o rio Fundão."
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","RFFP27043","splink","RFFP","Santos, M.C.F.","2044",,"2006",,,"Latão","Ouro",,"Rio de Janeiro","Município do Rio de Janeiro, Parque Natural Municipal da Serra do Mendanha, área entre a parte média da trilha da Caninana e o rio Fundão."
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Amaryllidaceae","Hippeastrum",,"Herb.","AMARYLLIDACEAE Hippeastrum Herb.","RBR00061577",,"RBR","Gomes-Pimentel, R.","1221",,"2022","Gomes-Pimentel, R.","2022","Bronze","Ouro",,"Rio de Janeiro","Bangu. Estrada do Parque próximo aos presídios. Parque Natural Municipal da Serra do Mendanha"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Araceae","Dieffenbachia",,"Schott","ARACEAE Dieffenbachia Schott","RB01597527","x","RB","Guimaraes, G.S.","722",,"2024",,,"Latão","Ouro",,,"Maciço Gericinó-Mendanha. Margem da trilha cimentada;. Parque Natural Municipal da Serra do Mendanha"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Arecaceae","Astrocaryum",,"G.Mey.","ARECACEAE Astrocaryum G.Mey.","RFFP25366",,"RFFP","Santos, M.C.F.","2194",,"2007",,,"Latão","Ouro",,"Rio de Janeiro","Município do Rio de Janeiro, Campo Grande, Parque Natural Municipal da Serra do Mendanha, Trilha da Caninãna. Mata Atlântica, floresta ombrófila densa submontana."
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Arecaceae","Astrocaryum",,"G.Mey.","ARECACEAE Astrocaryum G.Mey.","RFFP25366","splink","RFFP","Santos, M.C.F.","2194",,"2007",,,"Latão","Ouro",,"Rio de Janeiro","Município do Rio de Janeiro, Campo Grande, Parque Natural Municipal da Serra do Mendanha, Trilha da Caninãna. Mata Atlântica, floresta ombrófila densa submontana."
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Bryophytes","Bryaceae",,,"Schwägr.","BRYACEAE Bryaceae Schwägr.","RBR00061639",,"RBR","Gomes-Pimentel, R.","733",,"2020","Santos, N.D.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/16/39/rbr00061639.jpg","Rio de Janeiro","Bangu. Parque Natural Municipal da Serra do Mendanha"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Capparaceae","Capparidastrum",,"(DC.) Hutch.","CAPPARACEAE Capparidastrum (DC.) Hutch.","RBR00061467",,"RBR","Gomes-Pimentel, R.","575",,"2021","Soares-Neto, R.L.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/14/67/rbr00061467.jpg","Rio de Janeiro","Bangu. Parque Natural Municipal da Serra do Mendanha"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Capparaceae","Capparidastrum",,"(DC.) Hutch.","CAPPARACEAE Capparidastrum (DC.) Hutch.","RBR00061468",,"RBR","Gomes-Pimentel, R.","486",,"2021","Soares-Neto, R.L.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/14/68/rbr00061468.jpg","Rio de Janeiro","Bangu. Parque Natural Municipal da Serra do Mendanha"
"PARQUE NATURAL MUNICIPAL SERRA DO MENDANHA","Angiosperms","Capparaceae","Capparidastrum",,"(DC.) Hutch.","CAPPARACEAE Capparidastrum (DC.) Hutch.","RBR00061651",,"RBR","Gomes-Pimentel, R.","2219",,"2024","Gomes-Pimentel, R.","2024","Bronze","Ouro",,"Rio de Janeiro","Bangu. Na entrada do Sítio Boa Esperança. Parque Natural Municipal da Serra do Mendanha"
