"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Acanthaceae","Beloperone","longipetiolata","Nees","ACANTHACEAE Beloperone longipetiolata Nees","RB01225640","x","RB","Araujo, D.","9026",,"1989","Profice, S.",,"Ouro","Ouro",,,"Ilha Grande, Reserva Biológica Estadual da Praia do Sul 23°10 S. lat 44°17 W, Gr"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Acanthaceae","Beloperone","longipetiolata","Nees","ACANTHACEAE Beloperone longipetiolata Nees","RB01225637","x","RB","Araujo, D.","6486",,"1984","Sophia",,"Bronze","Ouro",,,"Ilha Grande, Reserva Biológica Estadual da Praia do Sul 23°10 S. lat 44°17. W. Gr."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Anacardiaceae","Tapirira",,"Aubl.","ANACARDIACEAE Tapirira Aubl.","RB00040473","x","RB","Scheel-Ybert, R.","434",,"2003",,,"Latão","Ouro",,,"Içha Grande:Reserva Biológica Estadual da Praia Sul. Mata de restinga sobre o segundo cordão arenoso; dossel a ca. 7m de altura."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Anacardiaceae","Tapirira",,"Aubl.","ANACARDIACEAE Tapirira Aubl.","R010083269",,"R","Scheel-Ybert, R.","434",,"2003",,,"Latão","Ouro",,"Angra dos Reis","Ilha Grande: Reserva Biológica Estadual da Praia do Sul"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Arecaceae","Syagrus",,"Mart.","ARECACEAE Syagrus Mart.","RB01479423","x","RB","Scheel-Ybert, R.","473",,"2004","Leitman, P.","2004","Bronze","Ouro",,,"Ilha Grande. Reserva Biológica Estadual da Praia do Sul"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Aristolochiaceae",,,"Juss.","ARISTOLOCHIACEAE Aristolochiaceae Juss.","RBR00003065",,"RBR","Rosa, M.M.T.","266",,"1991",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/0/30/65/rbr00003065.jpg","Angra dos Reis","Ilha Grande, Reserva Biológica Estadual da Praia do Sul, Vila do Aventureiro."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","RB01262740","x","RB","Araujo, D.","6755",,"1985",,,"Latão","Ouro",,,"Ilha Grande, Reserva Biológica Estadual da Praia do Sul, na restinga próxima a Lagoa do Sul"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","NIT00010630","splink","NIT","Araujo, D.","6755",,"1985",,,"Latão","Ouro",,"Angra dos Reis","Ilha Grande. Na restinga próxima a lagoa do Sul. Reserva Biológica Estadual da Praia do Sul."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","NIT00010630",,"NIT","Araujo, D.","6755",,"1985",,,"Latão","Ouro",,"Angra dos Reis","Ilha Grande. Na restinga próxima a lagoa do Sul. Reserva Biológica Estadual da Praia do Sul."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Calophyllaceae","Kielmeyera",,"Mart. & Zucc.","CALOPHYLLACEAE Kielmeyera Mart. & Zucc.","RB01269001","x","RB","Araujo, D.","6688",,"1985",,,"Latão","Ouro",,,"Ilha Grande, Reserva Biológica Estadual da Praia do Sul, no morro atrás do Costão"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Calophyllaceae","Kielmeyera",,"Mart. & Zucc.","CALOPHYLLACEAE Kielmeyera Mart. & Zucc.","157596","x","ALCB","Araujo, D.","6688",,"1985",,,"Latão","Ouro",,,"Ilha grande, Reserva Biológica Estadual da Praia do Sul, no morro atrás do Costão."
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Celastraceae","Hippocratea",,"L.","CELASTRACEAE Hippocratea L.","RBR00062481",,"RBR","Araujo, D.S.D.","6211",,"1984","Alves, M.","1991","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/24/81/rbr00062481.jpg","Angra dos Reis","Ilha Grande. Praia do Sul, na mata de restinga. Reserva Biológica Estadual da Praia do Sul"
"RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","Angiosperms","Clusiaceae","Garcinia","acuminata","Planch. & Triana","CLUSIACEAE Garcinia acuminata Planch. & Triana","K001980352","splink","K","Kurtz, B.C.","285",,"1999",,,"Latão","Ouro",,"Angra dos Reis","Angra dos Reis. Ilha Grande, Reserva Biológica Estadual da Praia do Sul, praia do Sul."
