"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Amaranthaceae","Celosia",,"L.","AMARANTHACEAE Celosia L.","212903","x","SPF","Fiaschi, P.","3883",,"2012",,,"Latão","Ouro",,,"Reserva Biológica de Poço das Antas, Rodovia Silva Jardim-Casimiro de Abreu, ramal à direita ca. 6,5 km antes da sede do parque. Estrada para a barragem Juturnaíba, 5 km. Trilha da Pelonha."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Annonaceae","Oxandra",,"A.Rich.","ANNONACEAE Oxandra A.Rich.","RB00590547","x","RB","Pessoa, S.V.A.","996",,"1999",,,"Latão","Ouro",,,"Reserva Biológica de Poço das Antas, fragmento A, próximo à represa Juturnaiba, floresta submontana.."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Arecaceae","Syagrus",,"Mart.","ARECACEAE Syagrus Mart.","RB00442556","x","RB","Farias, D.S.","316",,"1994","Reis, R.C.C.","2004","Bronze","Ouro",,,"Trilha atrás do Prédio da Educação Ambiental. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Eremanthus",,"Less.","ASTERACEAE Eremanthus Less.","RB01239060","x","RB","Araujo, D.","3462",,"1979",,,"Latão","Ouro",,,"Reserva Biológica de Poço das Antas, à margem da estrada"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Erigeron",,"L.","ASTERACEAE Erigeron L.","RB00442384","x","RB","Lima, H.C.","4766",,"1993","Nakajima, J.N.",,"Ouro","Ouro",,,"Aceiro da casa do Proj. Mico-leao-dourado, atras da mata dos barbados. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Erigeron",,"L.","ASTERACEAE Erigeron L.","RB01406181","x","RB","Lima, H.C.","5107",,"1995",,,"Latão","Ouro",,,"Próximo a antiga Estação Poço D´Antas. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Gochnatia",,"Kunth","ASTERACEAE Gochnatia Kunth","RBR00035964",,"RBR","Somner, G.V.","1650",,"2012","Somner, G.V.","2012","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/3/59/64/rbr00035964.jpg","Silva Jardim","Estrada Ponte de Ferro, próximo a barragem. Reserva Biológica Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Lepidaploa",,"(Cass.) Cass.","ASTERACEAE Lepidaploa (Cass.) Cass.","RB00591133","x","RB","Pessoa, S.V.A.","776",,"1995",,,"Latão","Ouro",,,"Reserva Biológica de Poço das Antas, á22rea entre a BR-101 e rio Pau-Preto, vegetação de capoeirinha.."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","RB01406184","x","RB","Lima, H.C.","5110",,"1995",,,"Latão","Ouro",,,"Estrada para a Barragem de Juturnaiba, após o Morro do Calcário. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","HUENF00012336",,"HUENF","Lima, H.C.","5110",,"1995",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/huenf/huenf/0/1/23/36/huenf00012336.jpg","Silva Jardim","Estrada para a Barragem de Juturnaiba, após o Morro do Calcário. Reserva Biológica de Poço das Antas."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Bignoniaceae","Adenocalymma","ternatum","(Vell.) Mello ex Bureau & K.Schum.","BIGNONIACEAE Adenocalymma ternatum (Vell.) Mello ex Bureau & K.Schum.","RB00441420","x","RB","Braga, J.M.A.","2654",,"1995","Mansano, V.F.","2004","Bronze","Ouro",,,"Estrada para Juturnaiba, trilha da Pelonha. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Commelinaceae","Tripogandra",,"Raf.","COMMELINACEAE Tripogandra Raf.","RB01511301","x","RB","Feliz, P.","449",,"2023",,,"Latão","Ouro",,,"Estrada para Jaturnaíba. Ca. de 2 km antes da Barrragem de Jaturnaíba. Rebio Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Convolvulaceae","Maripa",,"Aubl.","CONVOLVULACEAE Maripa Aubl.","RB00719512","x","RB","Luchiari, C.","775",,"1997",,,"Latão","Ouro",,,"Trilha da Caixa d´água. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Ferns and Lycophytes","Cyatheaceae","Alsophila",,"R.Br.","CYATHEACEAE Alsophila R.Br.","RB00643386","x","RB","Martinelli, G.","8457",,"1982",,,"Latão","Ouro",,"Silva Jardim","Município de Silva Jardim, Reserva Biológica de Poço das Antas, mata de alagado, caminho da Faz.Portuense, 30msm."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Cyperaceae","Bulbostylis",,"Kunth","CYPERACEAE Bulbostylis Kunth","RB00443445","x","RB","Sarahyba, L.S.","1098",,"1994","Portela,g.","2018","Bronze","Ouro",,,"Regiao proxima a BR-101, area do aceiro. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Fabaceae","Dioclea",,"Kunth","FABACEAE Dioclea Kunth","RB00781766","x","RB","Neves, D.R.M.","1254",,"2013",,,"Latão","Ouro",,,"Reserva Biológica Poço das Antas. Estrada da barragem, próxima da barragem. Floresta Ombrófila de Baixada."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Fabaceae","Dioclea",,"Kunth","FABACEAE Dioclea Kunth","RB01272258","x","RB","Araujo, D.","3382",,"1979",,,"Latão","Ouro",,,"Reserva Biológica de Poço das Antas, em capoeira"
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Fabaceae","Marlimorimia","marliae","P.G.Ribeiro & L.P.Queiroz","FABACEAE Marlimorimia marliae P.G.Ribeiro & L.P.Queiroz","UEC029384","splink","UEC","Luchiari, C.","121",,"1993",,,"Latão","Ouro",,"Silva Jardim","Reserva Biológica de Poço das Antas, Juturnaiba"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Fabaceae","Parapiptadenia",,"Brenan","FABACEAE Parapiptadenia Brenan","K003708262","x","K","Luchiari, C.","121",,"1993",,,"Latão","Ouro",,"Silva Jardim","Silva Jardim, Reserva Biológica de Poço das Antas, Estr. p/Juturnaiba, Próx. portão de reserva"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Fabaceae","Parapiptadenia",,"Brenan","FABACEAE Parapiptadenia Brenan","K003708264","x","K","Luchiari, C.","170",,"1993",,,"Latão","Ouro",,"Silva Jardim","Silva Jardim, Reserva Biológica de Poço das Antas, Trilha Rodolfo Sul, direita."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Fabaceae","Pithecellobium",,"Mart.","FABACEAE Pithecellobium Mart.","RB00604532","x","RB","Lima, H.C.","4890",,"1994",,,"Ouro","Ouro",,,"Reserva Biológica de Poço das Antas. trilha do Morro do Cálcariio."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Flacourtiaceae",,,"Mirb.","FLACOURTIACEAE Salicaceae Mirb.","FCAB005349","splink","FCAB","Farias, D.S.","364",,"1994",,,"Latão","Ouro",,"Silva Jardim","Rebio Poço das Antas, Trilha p/ Pelonha, estrada em frente a trilha do Morro do Calcário."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Hippocrateaceae",,,"R.Br.","HIPPOCRATEACEAE Celastraceae R.Br.","PACA0167.0","splink","PACA","Braga, J.M.A.","2727",,,,,"Latão","Ouro",,"Silva Jardim","Reserva Biológica de Poço das Antas, estr. para Juturnaiba, trilha Rodolfo Norte, caminho para a Pelonha."
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Hypericaceae","Vismia","maritima","Reich.","HYPERICACEAE Vismia maritima Reich.","FCAB005381","splink","FCAB","Lima, H.C.","4894",,"1994",,,"Latão","Ouro",,"Silva Jardim","Rebio Poço das Antas, Trilha p/ Fazenda Portuense. Próximo a entrada do cajueiro."
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Lauraceae","Ocotea","deersa","Mart.","LAURACEAE Ocotea deersa Mart.","FCAB005368","splink","FCAB","Barreto, S.","12",,"1993","Araujo, S.A.",,"Bronze","Ouro",,"Silva Jardim","Reserva Biológica de Poço das Antas, Trilha para o morro do Calcário."
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Lejeuneaceae","Metalejeunea","cucullata","(Reinw., Blume & Nees) Grolle","LEJEUNEACEAE Metalejeunea cucullata (Reinw., Blume & Nees) Grolle","RB00597252","x","RB","Costa, D.P.","1944",,"1994","Demoura, A.C.","1994","Bronze","Ouro",,,"Reserva Biológica de Poço das Antas. Parcela Tânia. Sobre liana a mais ou menos1,3m do solo na mata de encosta formando pequenas manchas."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Lythraceae","Lafoensia",,"Vand.","LYTHRACEAE Lafoensia Vand.","RB00443297","x","RB","Luchiari, C.","773",,"1997",,,"Latão","Ouro",,,"Trilha do Pau-Preto. Reserva Biólogica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Lythraceae","Lafoensia",,"Vand.","LYTHRACEAE Lafoensia Vand.","CEN00065356","splink","CEN","Luchiari, C.","773",,"1997",,,"Latão","Ouro",,"Silva Jardim","Reserva Biológica de Poço das Antas, trilha dopAU pRETO"
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Marantaceae","Calathea",,"G.Mey.","MARANTACEAE Calathea G.Mey.","RB00699039","x","RB","Braga, J.M.A.","1828",,"1995",,,"Ouro","Ouro",,,"Reserva Biológica de Poço das Antas, Juturnaíba, estrada principal (km4), proximidades do Aristides."
"RESERVA BIOLÓGICA POÇO DAS ANTAS","Angiosperms","Marantaceae","Calathea",,"G.Mey.","MARANTACEAE Calathea G.Mey.","RB00441762","x","RB","Braga, J.M.A.","1828",,"1995",,,"Ouro","Ouro",,,"Estrada para Juturnaiba, caminho para a casa do Aristides, km 4. Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Melastomataceae","Pleroma","arborea","(Gardner) Cogn.","MELASTOMATACEAE Pleroma arborea (Gardner) Cogn.","RBR00029720","splink","RBR","Luchiari, C.","171",,"1993",,,"Latão","Ouro",,"Silva Jardim","Reserva Biológica de Poço das Antas"
"RESERVA BIOLÓGICA POÇO DAS ANTAS",,"Myristicaceae","Bicuiba","oleifera","(Schott) J.J.de Wilde","MYRISTICACEAE Bicuiba oleifera (Schott) J.J.de Wilde","K003693334","splink","K","Farag, P.R.","22",,"1995",,,"Latão","Ouro",,"Silva Jardim","RJ, Silva Jardim, Reserva Biológica de Poço das Antas, Ilha dos barbados."
