"family","scientificName","scientificNameAuthorship","x"
"Lejeuneaceae","Lejeuneaceae","Rostovzev",1081
"Sphagnaceae","Sphagnum alegrense","Warnst.",591
"Trentepohliaceae","Cephaleuros","Kunze ex E.M.Fries",571
"Leucobryaceae","Leucobryum martianum","(Hornsch.) Hampe ex Müll. Hal.",476
"Sematophyllaceae","Sematophyllum subsimplex","(Hedw.) Mitt.",454
"Octoblepharaceae","Octoblepharum albidum","Hedw.",445
"Heliconiaceae","Heliconia acuminata","A.Rich.",431
"Chlorococcaceae","Chlorococcaceae","F.F.Blackman & Tansley",354
"Octoblepharaceae","Octoblepharum","Hedw.",345
"Radulaceae","Radula flaccida","Lindenb. & Gottsche",321
"Heliconiaceae","Heliconia acuminata","Rich.",276
"Lejeuneaceae","Ceratolejeunea cornuta","(Lindenb.) Steph.",264
"Sematophyllaceae","Sematophyllaceae","Broth.",240
"Plagiochilaceae","Plagiochila","(Dumort.) Dumort.",219
"Stereophyllaceae","Pilosium chlorophyllum","(Hornsch.) Müll. Hal. ex Broth.",218
"Scenedesmaceae","Scenedesmaceae","Oltmanns",216
"Plagiochilaceae","Plagiochila disticha","Lehm. & Lindenb.",213
"Calymperaceae","Octoblepharum albidum","Hedw.",211
"Pylaisiadelphaceae","Taxithelium planum","(Brid.) Mitt.",207
"Plagiochilaceae","Plagiochila subplana","Lindenb.",204
"Lepidoziaceae","Micropterygium leiophyllum","Spruce",203
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",190
"Lejeuneaceae","Ceratolejeunea cornuta","(Lindenb.) Schiffn.",185
"Calymperaceae","Syrrhopodon leprieurii","Mont.",185
"Lejeuneaceae","Cololejeunea surinamensis","Tixier",182
"Lepidoziaceae","Micropterygium","Lindenb., Nees & Gottsche",181
"Lejeuneaceae","Archilejeunea juliformis","(Nees) Gradst.",176
"Fissidentaceae","Fissidens prionodes","Mont.",170
"Coccomyxaceae","Coccomyxaceae","Smith",170
"Gomphillaceae","Setomyces orchidae","Bat. & Peres",161
"Roccellaceae","Mazosia melanophthalma","(Müll. Arg.) R. Sant.",159
"Lejeuneaceae","Cheilolejeunea rigidula","(Nees ex Mont.) R.M. Schust.",159
"Bartramiaceae","Philonotis uncinata","(Schwägr.) Brid.",159
"Calymperaceae","Octoblepharum pulvinatum","(Dozy & Molk.) Mitt.",158
"Gomphillaceae","Setomyces orchideae","Bat. & I.H. Lima",156
"Calymperaceae","Syrrhopodon helicophyllus","Mitt.",155
"Fabaceae","Campsiandra comosa","Benth.",154
"Heliconiaceae","Heliconia acuminata subsp. occidentalis","L.Andersson",151
"Microthyriaceae","Didymopyrostroma xylopiae","Bat. & Cavalc.",148
