"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA ESTADUAL ANTIMARY","Ferns and Lycophytes","Anacardiaceae","Spondias","mombin","L.","ANACARDIACEAE Spondias mombin L.","NY00867421",,"NY","Sothers, C.A.","81","Native","1991","Mitchell, J.D.","2003","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/v-179-00/86/74/21/ny_v-179-00867421.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/0/86/74/21/ny_00867421.dzi",,"Floresta Estadual do Antimary, Colocaçao Boa Vista"
"FLORESTA ESTADUAL ANTIMARY","Ferns and Lycophytes","Cucurbitaceae","Cayaponia","tubulosa","Cogn.","CUCURBITACEAE Cayaponia tubulosa Cogn.","235511","x","SPF","Kataoka, E.Y.","395",,"2016","Gomes-Klein, V.L.","2019","Ouro","Ouro",,,"Floresta Estadual do Antimary, Estrada de acesso à área da Floresta do Antimary sem atividade de manejo florestal."
"FLORESTA ESTADUAL ANTIMARY","Angiosperms","Malvaceae","Quararibea","guianensis","Aubl.","MALVACEAE Quararibea guianensis Aubl.","SPF00232254","splink","SPF","Frazao, A.","403","Native","2016","Ferreira, C.D.M.","2018","Ouro","Ouro",,"Bujari","Floresta Estadual do Antimary"
"FLORESTA ESTADUAL ANTIMARY","Angiosperms","Sapindaceae","Matayba","arborescens","(Aubl.) Radlk.","SAPINDACEAE Matayba arborescens (Aubl.) Radlk.","RB01334651","x","RB","Costa, D.S.","962","Native","2016","Acevedo, P.","2018","Ouro","Ouro",,,"Floresta Estadual do Antimary. Ramal do Úirapuru, a margem do ramal"
"FLORESTA ESTADUAL ANTIMARY","Ferns and Lycophytes","Solanaceae","Solanum","schlechtendalianum","Walp.","SOLANACEAE Solanum schlechtendalianum Walp.","RB01335815","x","RB","Costa, D.S.","980","Native","2016","Giacomin, L.L.","2018","Ouro","Ouro",,,"Floresta Estadual do Antimary. Ramal do Úirapuru, a margem do ramal"
"FLORESTA ESTADUAL ANTIMARY","Ferns and Lycophytes","Bignoniaceae","Bignonia","aequinoctialis","L.","BIGNONIACEAE Bignonia aequinoctialis L.","232252","x","SPF","Frazao, A.","401",,"2016","Zuntini, A.R.","2017","Ouro","Ouro",,,"Floresta Estadual do Antimary"
"FLORESTA ESTADUAL ANTIMARY","Angiosperms","Bignoniaceae","Bignonia","bracteomana","(K.Schum. ex Sprague) L.G.Lohmann","BIGNONIACEAE Bignonia bracteomana (K.Schum. ex Sprague) L.G.Lohmann","232253","x","SPF","Frazao, A.","402",,"2016","Zuntini, A.R.","2017","Ouro","Ouro",,,"Floresta Estadual do Antimary"
"FLORESTA ESTADUAL ANTIMARY","Ferns and Lycophytes","Bignoniaceae","Fridericia","fanshawei","(Sandwith) L.G.Lohmann","BIGNONIACEAE Fridericia fanshawei (Sandwith) L.G.Lohmann","232099","x","SPF","Frazao, A.","408",,"2016","Kaehler, M.","2017","Ouro","Ouro",,,"Floresta Estadual do Antimary"
"FLORESTA ESTADUAL ANTIMARY","Angiosperms","Bignoniaceae","Lundia","laevis","Kaehler","BIGNONIACEAE Lundia laevis Kaehler","232100","x","SPF","Frazao, A.","410","Native","2016","Kaehler, M.","2017","Ouro","Ouro",,,"Floresta Estadual do Antimary"
"FLORESTA ESTADUAL ANTIMARY","Angiosperms","Burseraceae","Protium","nodulosum","Swart","BURSERACEAE Protium nodulosum Swart","04297030","x","NY","Costa, D.S.","979","Native","2016","Daly, D.C.","2017","Ouro","Ouro",,,"Floresta Estadual do Antimary. Ramal do Úirapuru, a margem do ramal."
