"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Rubiaceae","Faramea","anisocalyx","Poepp. & Endl.","RUBIACEAE Faramea anisocalyx Poepp. & Endl.","NY00709889",,"NY","Ming, L.C.","395","Cultivated",,"Delprete, P.","2020","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/v-301-00/70/98/89/ny_v-301-00709889.dzi","Xapuri","Reserva Extrativista Chico Mendes, Seringal Independência, Colocaçao Nova Olinda."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Rutaceae","Metrodorea","flavida","K.Krause","RUTACEAE Metrodorea flavida K.Krause","ALCB047171",,"ALCB","Frazao, A.","396","Native","2016","Pirani, J.R.","2017","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/71/71/alcb00047171.dzi","Xapuri","Reserva extrativista Chico Mendes (Resex Chico Mendes) Seringal Porongaba."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Verbenaceae","Stachytarpheta","cayennensis","(Rich.) Vahl","VERBENACEAE Stachytarpheta cayennensis (Rich.) Vahl","K000944057",,"K","Medeiros, H.","262","Native","2009","Atkins, S.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/9/44/5/7/k000944057.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/9/44/5/7/k000944057_cap.dzi","Xapuri","Reserva Extrativista Chico Mendes Seringal Cachoeira, BR-317 ramal cachoeira 16km."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","NY01487379",,"NY","Daly, D.C.","12000","Native","2003","Wasshausen, D.C.","2012","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/48/73/79/ny_01487379.dzi",,"Bom Futuro,"" Reserva Extrativista Chico Mendes, km 52 of Brasiléia-Assis Brasil road, then 18 km on Ramal (side road) ""Tocandeira."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Sapindaceae","Paullinia","alata","(Ruiz & Pav.) Don","SAPINDACEAE Paullinia alata (Ruiz & Pav.) Don","US01319407",,"US","Alves, M.","2369","Native","2002","Acevedo-Rdgz, P.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/1/31/94/7/us01319407.dzi","Xapuri","Reserva Extrativista Chico Mendes, ao longo da estrada do Seringal Pimentiera para Floresta, na colocação Bom Princípio."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Araceae","Xanthosoma","hylaeae","Engl. & K.Krause","ARACEAE Xanthosoma hylaeae Engl. & K.Krause","UB0002503",,"UB","Goncalves, E.G.","1003","Native","2001","Goncalves, E.G.","2001","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/0/25/3/ub00002503.dzi","Brasiléia","Ramal do Dezenove em direção à Reserva Extrativista Chico Mendes"
"RESERVA EXTRATIVISTA CHICO MENDES","Ferns and Lycophytes","Arecaceae","Chamaedorea","pinnatifrons","(Jacq.) Oerst.","ARECACEAE Chamaedorea pinnatifrons (Jacq.) Oerst.","UB0003134",,"UB","Goncalves, E.G.","1002","Native","2001","Lorenzi, H.","2001","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/0/31/34/ub00003134.dzi","Brasiléia","Ramal do Dezenove em direção à Reserva Extrativista Chico Mendes"
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Sapindaceae","Serjania","altissima","(Poepp.) Radlk.","SAPINDACEAE Serjania altissima (Poepp.) Radlk.","US00798316",,"US","Acevedo-Rodriguez, P.","1655","Native","1999",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/0/79/83/16/us00798316.dzi","Xapuri","Mun. Xapuri, Reserva Extrativista Chico Mendes, Seringal Dois Irmaos, colocaaao Jacomeaa."
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Sapindaceae","Paullinia","imberbis","Radlk.","SAPINDACEAE Paullinia imberbis Radlk.","US01318615",,"US","Oliveira, A.R.","133","Native","1994","Medeiros, H.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/1/31/86/15/us01318615.dzi","Xapuri","Mun. Xapuri; Reserva Extrativista Chico Mendes, Seringal Obiassa, colocaiio Simitumba"
"RESERVA EXTRATIVISTA CHICO MENDES","Angiosperms","Sapindaceae","Paullinia","castaneifolia","Radlk.","SAPINDACEAE Paullinia castaneifolia Radlk.","US01319406",,"US","Figueiredo, C.","171","Native","1993","Acevedo-Rdgz, P.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/1/31/94/6/us01319406.dzi","Xapuri","Reserva Extrativista Chico Mendes, Seringal Floresta. Colocação Maloca."
