"family","scientificName","scientificNameAuthorship","x"
"Corticiaceae","Corticiaceae","R.T. Moore",128
"Stereaceae","Stereum","Hill ex Pers.",49
"Auriculariaceae","Auricularia fuscosuccinea","(Mont.) Henn.",42
"Auriculariaceae","Auricularia delicata","(Mont. ex Fr.) Henn.",41
"Malvaceae","Sterculia chicomendesii","E.L.Taylor",33
"Hypoxylaceae","Hypomontagnella monticulosa","(Mont.) Sir, Wendt & C.Lambert",31
"Heliconiaceae","Heliconia acuminata","A.Rich.",31
"Marasmiaceae","Marasmius","Fr.",25
"Myristicaceae","Virola excisa","D.Santam.",24
"Acanthaceae","Mendoncia meyeniana","Nees",24
"Heliconiaceae","Heliconia acuminata","Rich.",24
"Rubiaceae","Alibertia occidentalis","Delprete & C.H.Perss.",22
"Malvaceae","Spirotheca rosea","(Seem.) P.E.Gibbs & W.S.Alverson",21
"Xylariaceae","Xylaria","Hill ex Schrank",21
"Annonaceae","Cremastosperma pedunculatum","(Diels) R.E.Fr.",19
"Melastomataceae","Henriettea fascicularis","(Sw.) M.Gómez",18
"Hymenochaetaceae","Fomitiporia bambusarum","(Rick) Camp.-Sant. & Decock",16
"Menispermaceae","Curarea tomentocarpa","(Rusby) R.Ortiz",16
"Schizophyllaceae","Schizophyllum commune","Fr.",15
"Lamiaceae","Clerodendrum tessmannii","Moldenke",15
"Polyporaceae","Polyporaceae","R.T. Moore",15
"Xylariaceae","Xylariaceae","R.T. Moore",15
"Polygalaceae","Caamembeca gigantea","(Chodat) J.F.B.Pastore",13
"Auriculariaceae","Auricularia mesenterica","(Dicks.) Pers.",13
"Acanthaceae","Mendoncia bivalvis","(L.fil.) Merr.",13
"Araceae","Philodendron aureimarginatum","Croat",13
"Araceae","Rhodospatha rubropunctata","Croat",13
"Marantaceae","Goeppertia","Nees",13
"Malvaceae","Cavanillesia hylogeiton","Ulbr.",13
"Piperaceae","Piper indecorum","(Kunth) Kunth ex Steud.",12
"Polyporaceae","Pycnoporus sanguineus","(L.) Murrill",12
"Auriculariaceae","Auricularia cornea","Ehrenb.",12
"Polyporaceae","Datronia caperata","(Berk.) Ryvarden",11
"Polyporaceae","Earliella scabrosa","(Pers.) Gilb. & Ryvarden",11
"Gomphillaceae","Setomyces belluciae","Bat. & Peres",11
"Fabaceae","Inga densiflora","Benth.",11
"Malvaceae","Sterculia rebeccae","E.L.Taylor",11
"Meruliaceae","Irpex","Fr.",11
"Violaceae","Rinorea apiculata","Hekking",11
"Araceae","Monstera pinnatipartita","Schott",11
"Polyporaceae","Trametes modesta","(Kunze ex Fr.) Ryvarden",10
"Menispermaceae","Curarea tomentocarpa","(Rusby) R. Ortiz",10
