"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Cleomaceae","Cleome","pernambucensis","Iltis & Costa e Silva","CLEOMACEAE Cleome pernambucensis Iltis & Costa e Silva","IPA0069633","splink","IPA","Oliveira, M.","793",,"2002","Costa","2002","Bronze","Prata",,"São José da Laje","Usina Serra Grande, Brejão."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Cleomaceae","Cleome","pernambucensis","Iltis & Costa e Silva","CLEOMACEAE Cleome pernambucensis Iltis & Costa e Silva","UFRN00001595",,"UFRN","Oliveira, M.","793",,"2002","Costa, M.B.","2002","Bronze","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/15/95/ufrn00001595.dzi","São José da Laje","Usina Serra Grande. Brejão. Vegetação herbácea. Solo argilo-arenoso."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Clusiaceae|Melastomataceae","Tovomitopsis|Bertolonia",,"Planch. & Triana|Raddi","CLUSIACEAE|MELASTOMATACEAE Tovomitopsis Planch. & Triana|Bertolonia Raddi","JPB0048339","splink","JPB","Amorim, B.S.","840",,"2011",,,"Latão","Prata",,"Ibateguara","Usina Serra Grande, Mata de Coimbra, interior da mata."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Cyperaceae|Melastomataceae","Schoenoplectus|Pterolepis",,"(Rchb.) Palla|(DC.) Miq.","CYPERACEAE|MELASTOMATACEAE Schoenoplectus (Rchb.) Palla|Pterolepis (DC.) Miq.","MAC0053504","splink","MAC","Chagas-Mota","11266",,"2011",,,"Latão","Prata",,"Murici","Estação Ecológica de Murici, Bananeiras."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Dryopteridaceae","Stigmatopteris","breviramis","(Fée) R.C. Morton","DRYOPTERIDACEAE Stigmatopteris breviramis (Fée) R.C. Morton","MBM297351","splink","MBM","Silva, M.R.P.","4819",,"2001","Silva, M.R.P.",,"Bronze","Prata",,"Ibateguara","Usina Serra Grande."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Lamiaceae|Bromeliaceae","Clerodendrum|Cryptanthus",,"L.|Otto & A.Dietr.","LAMIACEAE|BROMELIACEAE Clerodendrum L.|Cryptanthus Otto & A.Dietr.","R010005466",,"R","Moura, R.","617",,"2008",,,"Latão","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/5/46/6/r010005466.jpg","Murici","Estação Ecológica de Murici."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Lythraceae","Cuphaea",,,"LYTHRACEAE Cuphaea sp.","1459","splink","HUCPE","Oliveira, M.","1119",,"2002",,,"Latão","Prata",,"Ibateguara","Coimbra - Grota do Varjão."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Lythraceae","Cuphaea",,,"LYTHRACEAE Cuphaea sp.","1460","splink","HUCPE","Oliveira, M.","1063",,"2002",,,"Latão","Prata",,"Ibateguara","Coimbra"
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Lythraceae","Cuphaea",,,"LYTHRACEAE Cuphaea sp.","1478","splink","HUCPE","Oliveira, M.","906",,"2002",,,"Latão","Prata",,"Ibateguara","Coimbra - Grota do Varjão."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Malvaceae","Walteria",,,"MALVACEAE Walteria sp.","1470","splink","HUCPE","Oliveira, M.","893",,"2002",,,"Latão","Prata",,"Ibateguara","Coimbra - Grota da Cotia."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,,"Pteridophyta",,,"NA Pteridophyta sp.","MAC0065566","splink","MAC","Lins, E.","140",,"2019",,"2019","Latão","Ouro",,"Ibateguara","APA de Murici."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Nephrolepidaceae","Nephrolepis","nidularis","(vahl.) king","NEPHROLEPIDACEAE Nephrolepis nidularis (vahl.) king","MAC0020269",,"MAC","Pietrobom, M.R.","4810",,"2001","Pietrobom",,"Bronze","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mac/mac/0/2/2/69/mac00020269.dzi","Ibateguara","Usina Serra Grande, engenho Coimbra, grota do Dudé.Região com formações de colinas, declividades acentuadas e baixios ou vales em ""V"", com fragmentos de vegetaçõa nativa sub-perenifolia, remanescente de Floresta Atlântica."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Orchidaceae","Papilionaceae",,,"ORCHIDACEAE Papilionaceae sp.","1510","splink","HUCPE","Oliveira, M.","1155",,"2002",,,"Latão","Prata",,"Ibateguara","Coimbra - Borda da mata."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Polypodiaceae","Pecluma","ptilodon","(kunze) M.G.Price","POLYPODIACEAE Pecluma ptilodon (kunze) M.G.Price","36942","splink","UFP","Oliveira, M.","970",,"2002",,"2003","Latão","Prata",,"Ibateguara","Coimbra, Grota do Varjão"
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Thelypteridaceae","Thelypteris","jambonii","(Hook.) R.M.Tryon","THELYPTERIDACEAE Thelypteris jambonii (Hook.) R.M.Tryon","MBM292175","splink","MBM","Silva, M.R.P.","5321",,"2001","Silva, M.R.P.",,"Bronze","Prata",,"São José da Laje","Usina Serra Grande, Mata Maria Maior, Grota do Gereba."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Thelypteridaceae","Thelypteris","jambonii","(Hook.) R.M.Tryon","THELYPTERIDACEAE Thelypteris jambonii (Hook.) R.M.Tryon","MBM202174","splink","MBM","Silva, M.R.P.","5355",,"2001","Silva, M.R.P.",,"Bronze","Prata",,"São José da Laje","Usina Serra Grande, Mata Maria Maior, Grota do Zacarias."
"ÁREA DE PROTEÇÃO AMBIENTAL MURICÍ",,"Verbenaceae","Tamonea","maxima","P.H.Cardoso","VERBENACEAE Tamonea maxima P.H.Cardoso","HUEFS0078457","splink","HUEFS","Oliveira, M.","776",,"2002","Cardoso, P.H.","2025","Bronze","Prata",,"São José da Laje","Usina Serra Grande. Brejão, mata dos Pintos."
