"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Sapotaceae","Manilkara","salzmannii","(A.DC.) H.J.Lam","SAPOTACEAE Manilkara salzmannii (A.DC.) H.J.Lam","268689","x","HUEFS","Alves-Silva, J.W.","1812",,"2021","Alves-Araujo, A.","2026","Ouro","Ouro",,,"Penedinho. APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Apocynaceae","Ditassa","crassifolia","Decne.","APOCYNACEAE Ditassa crassifolia Decne.","HUEFS0268667","splink","HUEFS","Alves-Silva, J.W.","1760",,"2021","Rapini","2025","Ouro","Ouro",,"Piaçabuçu","Penedimho. APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Lamiaceae","Hypenia","salzmannii","(Benth.) Harley","LAMIACEAE Hypenia salzmannii (Benth.) Harley","268197","x","HUEFS","Alves-Silva, J.W.","1779",,"2021","Alves, D.S.","2025","Ouro","Ouro",,,"Piaçabaçu, Penedinho, Apa de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Asteraceae","Tridax","procumbens","L.","ASTERACEAE Tridax procumbens L.","131906","x","CEN","Alves-Silva, J.W.","1770",,"2021","Bringel, J.B.","2024","Ouro","Ouro",,,"Penedinho, APA de Piaçabuçu. Coordenadas 10º38'98'S e 37º47'20'W. Beirando a estrada."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Lamiaceae","Vitex","rufescens","A.Juss.","LAMIACEAE Vitex rufescens A.Juss.","MAC0002715","splink","MAC","Rocha, R.F.","498",,"1983","Franca, F.","2005","Ouro","Ouro",,"Piaçabuçu","APA de Piaçabuçu, Acesso ao Pontal do Peba."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Verbenaceae","Lantana","lucida","Schauer","VERBENACEAE Lantana lucida Schauer","MAC0002719","splink","MAC","Rocha, R.F.","397",,"1982","Chagas, E.C.O.","2009","Prata","Ouro",,"Piaçabuçu","APA de Piaçabuçu"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Hypericaceae","Vismia","guianensis","(Aubl.) Choisy","HYPERICACEAE Vismia guianensis (Aubl.) Choisy","MUFAL0000000655",,"MUFAL","Assis, M.G.J.S.","95",,"1991","Correia, M.","2001","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mufal/mufal/0000/0/6/55/mufal0000000655.dzi","Piaçabuçu","Pontal do Peba, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Apocynaceae","Mandevilla","microphylla","(Stadelm.) M.F.Sales & Kin.-Gouv.","APOCYNACEAE Mandevilla microphylla (Stadelm.) M.F.Sales & Kin.-Gouv.","MAC0065988","splink","MAC","Alves-Silva, J.W.","1820",,"2021","Alves-Silva, J.W.",,"Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Apocynaceae","Mandevilla","scabra","(Hoffmanns. ex Roem. & Schult.) K.Schum.","APOCYNACEAE Mandevilla scabra (Hoffmanns. ex Roem. & Schult.) K.Schum.","MAC0065473","splink","MAC","Alves-Silva, J.W.","1782",,"2021","Alves-Silva, J.W.",,"Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Calophyllaceae","Kielmeyera","neglecta","Saddi","CALOPHYLLACEAE Kielmeyera neglecta Saddi","268693","x","HUEFS","Alves-Silva, J.W.","1762",,"2021","Lyra-Lemos, R.P.",,"Bronze","Ouro",,,"Penedinho. APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Euphorbiaceae","Euphorbia","hyssopifolia","L.","EUPHORBIACEAE Euphorbia hyssopifolia L.","MAC0065479","splink","MAC","Alves-Silva, J.W.","1788",,"2021","Oliveira, T.","2025","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Malpighiaceae","Stigmaphyllon","paralias","A.Juss.","MALPIGHIACEAE Stigmaphyllon paralias A.Juss.","MAC0065467","splink","MAC","Alves-Silva, J.W.","1776",,"2021","Silva, A.J.","2025","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Myrtaceae","Eugenia","punicifolia","(Kunth) DC.","MYRTACEAE Eugenia punicifolia (Kunth) DC.","CEN00131908","splink","CEN","Alves-Silva, J.W.","1799",,"2021","Moreira, V.P.","2025","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu. Coordenadas 10º66'86""S e 37º00'20""W."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Humiriaceae","Humiria","balsamifera","(Aubl.) A.St.-Hil.","HUMIRIACEAE Humiria balsamifera (Aubl.) A.St.-Hil.","MAC0065486","splink","MAC","Alves-Silva, J.W.","1794",,"2021","Lyra-Lemos, R.P.","2024","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Polygalaceae","Senega","trichosperma","(Jacq.) J.F.B.Pastore","POLYGALACEAE Senega trichosperma (Jacq.) J.F.B.Pastore","MAC0065453","splink","MAC","Alves-Silva, J.W.","1759",,"2021","Rocha, B.F.","2024","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Rutaceae","Esenbeckia","grandiflora","Kaastra","RUTACEAE Esenbeckia grandiflora subsp. brevipetiolata Kaastra","HCF000037525","splink","HCF","W.-Alves, M.C.S.E.J.","1785","Native","2021","Leal, L.H.Z.","2023","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Fabaceae","Stylosanthes","viscosa","(L.) Sw.","FABACEAE Stylosanthes viscosa (L.) Sw.","MAC0065460","splink","MAC","Alves-Silva, J.W.","1769",,"2021","Esteves, M.C.S.","2022","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Sapindaceae","Paullinia","trigonia","Vell.","SAPINDACEAE Paullinia trigonia Vell.","MAC0065478","splink","MAC","Alves-Silva, J.W.","1787",,"2021","Souza, M.H.N.","2021","Bronze","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Verbenaceae","Lantana","restingensis","Salimena  & T.R.S.Silva","VERBENACEAE Lantana restingensis Salimena & T.R.S.Silva","MAC0007132","splink","MAC","Esteves, G.L.","2142",,"1988","Oliveira Filho, L.F.C.",,"Bronze","Ouro",,"Piaçabuçu","APA de Piaçabuçu, Pato."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Verbenaceae","Stachytarpheta","microphylla","Walp.","VERBENACEAE Stachytarpheta microphylla Walp.","MAC0007091","splink","MAC","Esteves, G.L.","2113",,"1988","Feijo, L.","2023","Bronze","Ouro",,"Piaçabuçu","APA de Piaçabuçu, Dendezeiro, área antrópica, síti"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Verbenaceae","Lantana","camara","L.","VERBENACEAE Lantana camara L.","MAC0002021","splink","MAC","Rocha, R.F.","172",,"1982","Bocage, A.L.","1982","Bronze","Ouro",,"Piaçabuçu","APA de Piaçabuçu, Próximo ao acesso do Pontal do P"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Lauraceae","Ocotea","glomerata","(Nees) Mez","LAURACEAE Ocotea glomerata (Nees) Mez","CEN00131692",,"CEN","Alves-Silva, J.W.","1802","Native","2021",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/13/16/92/cen00131692.dzi","Piaçabuçu","Penedinho. Apa de Piaçabuçu. 10°66'86''S e 37°00'20''W"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Myrtaceae","Eugenia",,"L.","MYRTACEAE Eugenia L.","CEN00131905",,"CEN","Alves-Silva, J.W.","1767","Native","2021",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/13/19/5/cen00131905.dzi","Piaçabuçu","Penedinho, APA de Piaçabuçu. próximo ao lago. (Coordenadas aproximadas, corrigidas e inferidas a partir do Google Earth.)"
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Myrtaceae","Myrcia",,"DC.","MYRTACEAE Myrcia DC.","CEN00131907",,"CEN","Alves-Silva, J.W.","1775","Native","2021",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/13/19/7/cen00131907.dzi","Piaçabuçu","Penedinho, APA de Piaçabuçu. Coordenadas 10º66'86""S e 37º00'20""W."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MAC0065485","splink","MAC","Alves-Silva, J.W.","1793","Native","2021",,,"Latão","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Amaranthaceae","Alternanthera",,"Forssk.","AMARANTHACEAE Alternanthera Forssk.","MAC0065471","splink","MAC","Alves-Silva, J.W.","1780",,"2021",,,"Latão","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
"ÁREA DE PROTEÇÃO AMBIENTAL PIAÇABUÇU","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","MAC0065495","splink","MAC","Alves-Silva, J.W.","1803","Native","2021",,,"Latão","Ouro",,"Piaçabuçu","Penedinho, APA de Piaçabuçu."
