"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Convolvulaceae",,,"Juss.","CONVOLVULACEAE Convolvulaceae Juss.","MAC0063672","splink","MAC","Lyra-Lemos, R.P.","14057","Native","2016",,,"Latão","Ouro",,"Rio Largo","APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Convolvulaceae",,,"Juss.","CONVOLVULACEAE Convolvulaceae Juss.","MAC0063673","x","MAC","Lyra-Lemos, R.P.","14056","Native","2016",,,"Latão","Ouro",,,"APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Cyperaceae",,,"Juss.","CYPERACEAE Cyperaceae Juss.","70747","x","MAC","Lins, E.","876","Native","2024","Lins, E.","2024","Bronze","Ouro",,,"Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Cyperaceae","Cyperus",,"L.","CYPERACEAE Cyperus L.","MAC0063663","splink","MAC","Lyra-Lemos, R.P.","14069","Native","2016",,,"Latão","Ouro",,"Rio Largo","APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae","Centrosema",,"(DC.) Benth.","FABACEAE Centrosema (DC.) Benth.","63671","x","MAC","Lyra-Lemos, R.P.","14058","Native","2016",,,"Latão","Ouro",,,"APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae","Dioclea",,"Kunth","FABACEAE Dioclea Kunth","82486","x","ALCB","Lyra-Lemos, R.P.","4398","Native","1999",,,"Latão","Ouro",,,"área de influência do Pratagy, mata secundária. APA do Pratagy"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","70745","x","MAC","Lins, E.","874","Native","2024","Lins, E.","2024","Bronze","Ouro",,,"Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","70770","x","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,,"Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","63668","x","MAC","Lyra-Lemos, R.P.","14062","Native","2016",,,"Latão","Ouro",,,"APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae","Senna","chrysocarpa","(Desv.) H.S.Irwin & Barneby","FABACEAE Senna chrysocarpa (Desv.) H.S.Irwin & Barneby","82534","x","ALCB","Lyra-Lemos, R.P.","4400",,"1999","Souto, F.S.","2022","Bronze","Ouro",,,"área de influência do Pratagy, mata secundária. APA do Pratagy"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Fabaceae","Stylosanthes",,"Sw.","FABACEAE Stylosanthes Sw.","63661","x","MAC","Lyra-Lemos, R.P.","14072","Native","2016",,,"Latão","Ouro",,,"APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Heliconiaceae","Heliconia","psittacorum","L.f.","HELICONIACEAE Heliconia psittacorum L.f.","MAC0070771","splink","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
