"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Lamiaceae","Marsypianthes","chamaedrys","(Vahl) Kuntze","LAMIACEAE Marsypianthes chamaedrys (Vahl) Kuntze","RB01372436","x","RB","Lyra-Lemos, R.P.","14074","Native","2016","Antar, G.M.","2023","Ouro","Ouro",,,"APA do Pratagy."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Rubiaceae","Borreria","scabiosoides","Cham. & Schltdl.","RUBIACEAE Borreria scabiosoides Cham. & Schltdl.","24035","x","HURB","Lyra-Lemos, R.P.","14059","Native","2016","Jardim, J.","2023","Ouro","Ouro",,,"APA do Pratagy. WGS84"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Rubiaceae","Borreria","humifusa","Mart.","RUBIACEAE Borreria humifusa Mart.","MAC0010578","x","MAC","Rocha, S.","13","Native","1999","Barbosa, M.R.V.",,"Ouro","Ouro",,,"APA do Pratagy, Margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Poaceae","Olyra","latifolia","L.","POACEAE Olyra latifolia L.","392175","splink","SP","Rocha, S.","20","Native","1999","Oliveira, R.P.","2017","Ouro","Ouro",,"Maceió","APA do Pratagy, Margem do Rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Solanaceae","Solanum","paludosum","Moric.","SOLANACEAE Solanum paludosum Moric.","30394","x","JPB","Rocha, S.","25","Native","1999","Sampaio, V.S.","2012","Ouro","Ouro",,,"APA do Pratagy, Margem do Rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Polygalaceae","Bredemeyera","hebeclada","(DC.) J.F.B.Pastore","POLYGALACEAE Bredemeyera hebeclada (DC.) J.F.B.Pastore","MAC0008572","splink","MAC","Lyra-Lemos, R.P.","2871","Native","1994","Mota, M.","2019","Ouro","Ouro",,"Maceió","APA do Pratagy, Fazenda Bamburral, área de influên"
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Rubiaceae","Palicourea","colorata","(Willd. ex Roem. & Schult.) Delprete & J.H.Kirkbr.","RUBIACEAE Palicourea colorata (Willd. ex Roem. & Schult.) Delprete & J.H.Kirkbr.","MAC0010575","x","MAC","Rocha, S.","07","Native","1999","Chagas, E.C.O.",,"Prata","Ouro",,,"APA do Pratagy, Margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Asteraceae","Cyrtocymura","scorpioides","(Lam.) H.Rob.","ASTERACEAE Cyrtocymura scorpioides (Lam.) H.Rob.","MAC0010573","splink","MAC","Rocha, S.","5","Native","1999","Chagas, E.C.O.","2009","Prata","Ouro",,"Maceió","APA do Pratagy, margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Melastomataceae","Clidemia","debilis","Crueg.","MELASTOMATACEAE Clidemia debilis Crueg.","MAC0010584","splink","MAC","Rocha, S.","22","Native","1999","Chagas, E.C.O.","2009","Prata","Ouro",,"Maceió","APA do Pratagy, margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Rutaceae","Ertela","trifolia","(L.) Kuntze","RUTACEAE Ertela trifolia (L.) Kuntze","MAC0010601","splink","MAC","Rocha, S.","09","Native","1999","Chagas, E.C.O.","2008","Prata","Ouro",,"Maceió","APA do Pratagy, margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Vitaceae","Cissus","erosa","Rich.","VITACEAE Cissus erosa Rich.","MAC0010593","splink","MAC","Rocha, S.","32",,"1999","Chagas, E.C.O.","2008","Prata","Ouro",,"Maceió","APA do Pratagy, margem do rio do Meio."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Euphorbiaceae","Euphorbia","hyssopifolia","L.","EUPHORBIACEAE Euphorbia hyssopifolia L.","MAC0070773","splink","MAC","Lins, E.","s.n.","Native","2024","Oliveira, T.","2025","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","MAC0070750","splink","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","MAC0070764","splink","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Asteraceae","Sphagneticola","trilobata","(L.) Pruski","ASTERACEAE Sphagneticola trilobata (L.) Pruski","MAC0070769","splink","MAC","Lins, E.","s.n.",,"2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Cannabaceae","Trema","micranthum","(L.) Blume","CANNABACEAE Trema micranthum (L.) Blume","MAC0070762","splink","MAC","Lins, E.","s.n.",,"2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Chrysobalanaceae","Hirtella","racemosa","Lam.","CHRYSOBALANACEAE Hirtella racemosa Lam.","MAC0070774","splink","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Combretaceae","Laguncularia","racemosa","(L.) C.F.Gaertn.","COMBRETACEAE Laguncularia racemosa (L.) C.F.Gaertn.","MAC0070739","splink","MAC","Lins, E.","868",,"2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Commelinaceae","Commelina","erecta","L.","COMMELINACEAE Commelina erecta L.","MAC0070749","splink","MAC","Lins, E.","s.n.","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Commelinaceae","Commelina",,"L.","COMMELINACEAE Commelina L.","MAC0070736","splink","MAC","Lins, E.","865","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Convolvulaceae","Ipomoea","imperati","(Vahl) Griseb.","CONVOLVULACEAE Ipomoea imperati (Vahl) Griseb.","MAC0070731","splink","MAC","Lins, E.","860","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Convolvulaceae","Ipomoea","pes-caprae","(L.) R.Br.","CONVOLVULACEAE Ipomoea pes-caprae (L.) R.Br.","MAC0070738","splink","MAC","Lins, E.","867","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 1° Ponto."
"ÁREA DE PROTEÇÃO AMBIENTAL PRATAGY","Angiosperms","Cucurbitaceae","Momordica","charantia","L.","CUCURBITACEAE Momordica charantia L.","MAC0070751","splink","MAC","Lins, E.","s.n.",,"2024","Lins, E.","2024","Bronze","Ouro",,"Maceió","Riacho Doce, APA do Pratagy, Povoado 2º Ponto."
