"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Loranthaceae","Struthanthus","podopterus","(Cham. & Schltdl.) G.Don","LORANTHACEAE Struthanthus podopterus (Cham. & Schltdl.) G.Don","MAC0046014","splink","MAC","Chagas-Mota","7518","Native","2010","Caires, C.S.","2019","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Malpighiaceae","Callaeum","psilophyllum","(A.Juss.) D.M.Johnson","MALPIGHIACEAE Callaeum psilophyllum (A.Juss.) D.M.Johnson","MAC0045979","splink","MAC","Chagas-Mota","7483","Native","2010","Amorim, A.M.","2013","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Malpighiaceae","Diplopterys","lutea","(Griseb.) W.R.Anderson & C.C.Davis","MALPIGHIACEAE Diplopterys lutea (Griseb.) W.R.Anderson & C.C.Davis","MAC0045977","splink","MAC","Chagas-Mota","7481","Native","2010","Almeida, R.F.","2013","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Malpighiaceae","Heteropterys",,"Kunth","MALPIGHIACEAE Heteropterys Kunth","MAC0046001","splink","MAC","Chagas-Mota","7505","Native","2010","Amorim, A.","2013","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Poaceae","Raddia","portoi","Kuhlm.","POACEAE Raddia portoi Kuhlm.","MAC0042822","splink","MAC","Chagas-Mota","4342","Native","2009","Oliveira, R.P.","2019","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Moraceae","Ficus","pertusa","L.f.","MORACEAE Ficus pertusa L.f.","MAC0042718","splink","MAC","Chagas-Mota","4238","Native","2009","Machado, A.F.P.","2018","Ouro","Prata",,"Santana do Ipanema","Serra do Gugi"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Cucurbitaceae","Cayaponia","tayuya","(Vell.) Cogn.","CUCURBITACEAE Cayaponia tayuya (Vell.) Cogn.","MAC0045967","splink","MAC","Chagas-Mota","7471","Native","2010","Chagas, E.C.O.",,"Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA",,"Cucurbitaceae","Psiguria","pedata","(L.) R.A.Howard","CUCURBITACEAE Psiguria pedata (L.) R.A.Howard","MAC0045974","splink","MAC","Chagas-Mota","7478",,"2010","Chagas, E.C.O.",,"Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Lamiaceae","Vitex","schaueriana","Moldenke","LAMIACEAE Vitex schaueriana Moldenke","MAC0045972","splink","MAC","Chagas-Mota","7476","Native","2010","Chagas, E.C.O.",,"Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Acanthaceae","Ruellia","asperula","(Mart. ex Nees) Lindau","ACANTHACEAE Ruellia asperula (Mart. ex Nees) Lindau","MAC0045964","splink","MAC","Chagas-Mota","7468","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Acanthaceae","Ruellia","paniculata","L.","ACANTHACEAE Ruellia paniculata L.","MAC0045963","splink","MAC","Chagas-Mota","7467","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Apocynaceae","Prestonia","coalita","(Vell.) Woodson","APOCYNACEAE Prestonia coalita (Vell.) Woodson","MAC0046009","splink","MAC","Chagas-Mota","7513","Cultivated","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Cactaceae","Rhipsalis","baccifera","(J.M.Muell.) Stearn","CACTACEAE Rhipsalis baccifera (J.M.Muell.) Stearn","MAC0046006","splink","MAC","Chagas-Mota","7510","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Cannabaceae","Celtis","iguanaea","(Jacq.) Sarg.","CANNABACEAE Celtis iguanaea (Jacq.) Sarg.","MAC0045962","splink","MAC","Chagas-Mota","7466","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Combretaceae","Combretum","monetaria","Mart.","COMBRETACEAE Combretum monetaria Mart.","MAC0045965","splink","MAC","Chagas-Mota","7469","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Fabaceae","Chamaecrista","serpens","(L.) Greene","FABACEAE Chamaecrista serpens (L.) Greene","MAC0045973","splink","MAC","Chagas-Mota","7477","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Fabaceae","Inga","vera","Willd.","FABACEAE Inga vera Willd.","MAC0046002","splink","MAC","Chagas-Mota","7506","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Fabaceae","Pseudalbizzia","polycephala","(Benth.) E.J.M.Koenen & Duno","FABACEAE Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno","MAC0046013","splink","MAC","Chagas-Mota","7517","Naturalized","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Fabaceae","Senna","martiana","(Benth.) H.S.Irwin & Barneby","FABACEAE Senna martiana (Benth.) H.S.Irwin & Barneby","MAC0045953","splink","MAC","Chagas-Mota","7457","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA CAIÇARA","Angiosperms","Malpighiaceae","Stigmaphyllon","ciliatum","(Lam.) A.Juss.","MALPIGHIACEAE Stigmaphyllon ciliatum (Lam.) A.Juss.","MAC0046020","splink","MAC","Chagas-Mota","7524","Native","2010","Chagas, E.C.O.","2010","Prata","Prata",,"Santana do Ipanema","Serra do Gugi."
