"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Apocynaceae","Tabernaemontana","salzmannii","A.DC.","APOCYNACEAE Tabernaemontana salzmannii A.DC.","MAC0070872","splink","MAC","Silva, A.J.","33","Native","2024","Alves-Silva, J.W.","2025","Bronze","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Apocynaceae","Himatanthus","bracteatus","(A. DC.) Woodson","APOCYNACEAE Himatanthus bracteatus (A. DC.) Woodson","MAC0070847","splink","MAC","Silva, A.J.","8","Native","2024","Silva, J.W.A.","2024","Bronze","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Passifloraceae","Passiflora","watsoniana","Mast.","PASSIFLORACEAE Passiflora watsoniana Mast.","MAC0070866","splink","MAC","Silva, A.J.","27","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Salicaceae","Piparea","multiflora","C. F. Gaertn.","SALICACEAE Piparea multiflora C. F. Gaertn.","MAC0070846","splink","MAC","Silva, A.J.","7","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Solanaceae","Solanum","paludosum","Moric.","SOLANACEAE Solanum paludosum Moric.","MAC0070852","splink","MAC","Silva, A.J.","13","Native","2024","Lins, E.","2024","Bronze","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","MAC0070856","splink","MAC","Silva, A.J.","17","Native","2024",,,"Latão","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Asteraceae","Conyza","sumatrensis","(Retz.) E.Walker","ASTERACEAE Conyza sumatrensis (Retz.) E.Walker","MAC0070857","splink","MAC","Silva, A.J.","18",,"2024",,,"Latão","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Asteraceae","Erechtites",,"Raf.","ASTERACEAE Erechtites Raf.","MAC0070848","splink","MAC","Silva, A.J.","9","Native","2024",,,"Latão","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Asteraceae","Pterocaulon","alopecuroides","(Lam.) DC.","ASTERACEAE Pterocaulon alopecuroides (Lam.) DC.","MAC0070849","splink","MAC","Silva, A.J.","10",,"2024",,,"Latão","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
"RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ","Angiosperms","Bignoniaceae",,,"Juss.","BIGNONIACEAE Bignoniaceae Juss.","MAC0070870","splink","MAC","Silva, A.J.","31","Native","2024",,,"Latão","Ouro",,"Jequiá da Praia","Resex Marinha da Lagoa do Jequiá da Praia, (Na borda da mata ao lado do canavial da Usina Caeté)."
