"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Polygalaceae","Securidaca","coriacea","Bonpl.","POLYGALACEAE Securidaca coriacea Bonpl.","MAC0070606","splink","MAC","Souza, M.H.N.","590","Native","2023","Rocha, B.F.","2025","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Solanaceae","Solanum","paludosum","Moric.","SOLANACEAE Solanum paludosum Moric.","MAC0070559","splink","MAC","Souza, M.H.N.","543","Native","2023","Lins, E.","2023","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Apocynaceae","Himatanthus","bracteatus","(A. DC.) Woodson","APOCYNACEAE Himatanthus bracteatus (A. DC.) Woodson","MAC0065277","splink","MAC","Alves-Silva, J.W.","1681","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Calophyllaceae","Caraipa","densifolia","Mart.","CALOPHYLLACEAE Caraipa densifolia Mart.","MAC0065279","splink","MAC","Alves-Silva, J.W.","1683","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Cyperaceae",,,"Juss.","CYPERACEAE Cyperaceae Juss.","MAC0065284","splink","MAC","Alves-Silva, J.W.","1688","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Hernandiaceae","Sparattanthelium","botocudorum","Mart.","HERNANDIACEAE Sparattanthelium botocudorum Mart.","MAC0065286","splink","MAC","Alves-Silva, J.W.","1690","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Loranthaceae","Struthanthus",,"Mart.","LORANTHACEAE Struthanthus Mart.","MAC0065276","splink","MAC","Alves-Silva, J.W.","1680","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Malpighiaceae","Byrsonima","sericea","DC.","MALPIGHIACEAE Byrsonima sericea DC.","MAC0065281","splink","MAC","Alves-Silva, J.W.","1685",,"2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Malvaceae","Guazuma","ulmifolia","Lam.","MALVACEAE Guazuma ulmifolia Lam.","MAC0065283","splink","MAC","Alves-Silva, J.W.","1687","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Melastomataceae","Henriettea","succosa","(Aubl.) DC.","MELASTOMATACEAE Henriettea succosa (Aubl.) DC.","MAC0065285","splink","MAC","Alves-Silva, J.W.","1689","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Melastomataceae","Miconia","ciliata","(Rich.) DC.","MELASTOMATACEAE Miconia ciliata (Rich.) DC.","MAC0065275","splink","MAC","Alves-Silva, J.W.","1679","Naturalized","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Nyctaginaceae","Guapira",,"Aubl.","NYCTAGINACEAE Guapira Aubl.","MAC0065282","splink","MAC","Alves-Silva, J.W.","1686","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Rhamnaceae","Gouania","colurnifolia","Reissek","RHAMNACEAE Gouania colurnifolia Reissek","MAC0065278","splink","MAC","Alves-Silva, J.W.","1682","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO","Angiosperms","Trigoniaceae","Trigonia","nivea","Cambess.","TRIGONIACEAE Trigonia nivea Cambess.","MAC0065280","splink","MAC","Alves-Silva, J.W.","1684","Native","2017","Alves-Silva, J.W.","2017","Bronze","Ouro",,"Barra de São Miguel","RPPN Boca do Rio Niquim"
