"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Amaryllidaceae",,,"J. St.-Hil.","AMARYLLIDACEAE Amaryllidaceae J. St.-Hil.","26855","x","MAC","Mota, M.C.S.","12835","Native","2016",,,"Latão","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Apocynaceae","Mandevilla","microphylla","(Stadelm.) M.F.Sales & Kin.-Gouv.","APOCYNACEAE Mandevilla microphylla (Stadelm.) M.F.Sales & Kin.-Gouv.","26907","x","MAC","Mota, M.C.S.","12887",,"2016","Mota, M.C.S.","2018","Bronze","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Celastraceae","Prionostemma","asperum","(Lam.) Miers","CELASTRACEAE Prionostemma asperum (Lam.) Miers","50517","x","MAC","Chagas-Mota","9556","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Commelinaceae","Aneilema","brasiliense","C.B.Clarke","COMMELINACEAE Aneilema brasiliense C.B.Clarke","26908","x","MAC","Mota, M.C.S.","12888","Native","2016","Mota, M.C.S.","2018","Bronze","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Cordiaceae","Cordia","toqueve","Aubl.","CORDIACEAE Cordia toqueve Aubl.","MAC0026815","splink","MAC","Mota, M.C.S.","12795",,"2016","Mota, M.C.S.","2018","Bronze","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Cordiaceae","Varronia",,"P.Browne","CORDIACEAE Varronia P.Browne","26834","x","MAC","Mota, M.C.S.","12814","Native","2016",,,"Latão","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Cucurbitaceae","Gurania",,"(Schltdl.) Cogn.","CUCURBITACEAE Gurania (Schltdl.) Cogn.","26973","x","MAC","Mota, M.C.S.","13055","Native","2017",,,"Latão","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Dioscoreaceae","Dioscorea","chondrocarpa","Griseb.","DIOSCOREACEAE Dioscorea chondrocarpa Griseb.","26886","x","MAC","Mota, M.C.S.","12866","Native","2016",,"2025","Latão","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Dioscoreaceae","Dioscorea",,"L.","DIOSCOREACEAE Dioscorea L.","2465730","x","Bioversity","Fonseca, M.L.","531320","Native","2004",,,"Latão","Ouro",,,"Brasil. Gois. Colinas do Sul. RPPN Cachoeira das Pedras Bonitas ( RPPN 01). Proprietrio Oswaldo Ferreira da Silva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Euphorbiaceae","Acalypha",,"L.","EUPHORBIACEAE Acalypha L.","MAC0050485","x","MAC","Chagas-Mota","9524","Native","2010",,,"Latão","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Euphorbiaceae","Croton","gnaphaloides","Schrad.","EUPHORBIACEAE Croton gnaphaloides Schrad.","MAC0026840","splink","MAC","Mota, M.C.S.","12820",,"2016","Oliveira, T.","2025","Bronze","Ouro",,"Tanque d'Arca","RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Euphorbiaceae","Croton","gnaphaloides","Schrad.","EUPHORBIACEAE Croton gnaphaloides Schrad.","MAC0027007","splink","MAC","Mota, M.C.S.","12926",,"2016","Oliveira, T.","2025","Bronze","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Crotalaria",,"L.","FABACEAE Crotalaria L.","MAC0026892","splink","MAC","Mota, M.C.S.","12872","Naturalized","2016",,,"Latão","Ouro",,"Tanque d'Arca","RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Crotalaria",,"L.","FABACEAE Crotalaria L.","HUEFS0268187","splink","HUEFS","Mota.m.c.s","12767","Native","2016",,,"Latão","Ouro",,"Maceió","Tanque D'arca, RPPN Cachoeira"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","26854","x","MAC","Mota, M.C.S.","12834","Native","2016",,,"Latão","Ouro",,,"RPPN Cachoeira, Morro do Cruzeiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Macropsychanthus",,"Harms","FABACEAE Macropsychanthus Harms","K003950390","x","K","Mendoca, R.C.","5582","Native","2004",,,"Latão","Ouro",,,"Município de Colinas do Sul -Estrada de chão entre Colinas do Sul e RPPN Cachoeira das Pedras Bonitas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Swartzia","pickelii","Killip ex Ducke","FABACEAE Swartzia pickelii Killip ex Ducke","MAC0026803","splink","MAC","Mota, M.C.S.","12783","Native","2016","Mota, M.C.S.","2018","Bronze","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Vatairea","heteroptera","(Allemão) Ducke","FABACEAE Vatairea heteroptera (Allemão) Ducke","50484","x","MAC","Chagas-Mota","9523","Native","2010","Cardoso, D.","2019","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Melastomataceae","Miconia","albicans","(Sw.) Steud.","MELASTOMATACEAE Miconia albicans (Sw.) Steud.","50461","x","MAC","Chagas-Mota","9500","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Myrtaceae","Campomanesia",,"Ruiz et Pav.","MYRTACEAE Campomanesia Ruiz et Pav.","MAC0026772","splink","MAC","Mota, M.C.S.","12752","Native","2016",,,"Latão","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Myrtaceae","Campomanesia",,"Ruiz et Pav.","MYRTACEAE Campomanesia Ruiz et Pav.","26814","x","MAC","Mota, M.C.S.","12794","Native","2016",,,"Latão","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Orchidaceae","Oeceoclades","maculata","(Lindl.) Lindl.","ORCHIDACEAE Oeceoclades maculata (Lindl.) Lindl.","50482","x","MAC","Chagas-Mota","9521",,"2010","Chagas, E.C.O.","2010","Bronze","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Passifloraceae","Passiflora","capsularis","L.","PASSIFLORACEAE Passiflora capsularis L.","MAC0026813","splink","MAC","Mota, M.C.S.","12793","Native","2016","Mota, M.C.S.","2018","Bronze","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
