"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Myrtaceae","Campomanesia",,"Ruiz et Pav.","MYRTACEAE Campomanesia Ruiz et Pav.","MAC0026967","splink","MAC","Mota, M.C.S.","13049","Native","2017","Mazine, F.F.","2019","Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Sapindaceae","Paullinia","pinnata","L.","SAPINDACEAE Paullinia pinnata L.","130575","x","CEN","Mota, M.C.S.","12761","Naturalized","2016","Sommer, G.V.",,"Ouro","Ouro",,,"RPPN Cachoeira. WGS84."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Araceae","Colocasia","esculenta","(L.) Schott","ARACEAE Colocasia esculenta (L.) Schott","26804","x","MAC","Mota, M.C.S.","12784","Native","2016","Lima, J.V.","2019","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Moraceae","Maclura","tinctoria","(L.) D.Don ex Steud.","MORACEAE Maclura tinctoria (L.) D.Don ex Steud.","MAC0026816","splink","MAC","Mota, M.C.S.","12796","Native","2016","Machado, A.F.P.","2019","Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Rubiaceae","Borreria","humifusa","Mart.","RUBIACEAE Borreria humifusa Mart.","MAC0027013","splink","MAC","Mota, M.C.S.","12932","Naturalized","2016","Jardim, J.","2019","Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Rubiaceae","Guettarda",,"L.","RUBIACEAE Guettarda L.","MAC0026799","splink","MAC","Mota, M.C.S.","12779","Native","2016","Jardim, J.","2019","Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Solanaceae","Solanum","caavurana","Vell.","SOLANACEAE Solanum caavurana Vell.","27002","x","MAC","Mota, M.C.S.","12921","Native","2016","Sampaio, V.S.","2019","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Loranthaceae","Psittacanthus","dichroos","(Mart.) Mart.","LORANTHACEAE Psittacanthus dichroos (Mart.) Mart.","MAC0055368","splink","MAC","Alves-Silva, J.W.","1299","Native","2013","Caires, C.S.",,"Ouro","Ouro",,"Maragogi","Usina Santa Maria, RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Salicaceae","Piparea","multiflora","C. F. Gaertn.","SALICACEAE Piparea multiflora C. F. Gaertn.","RB01464847","x","RB","Silva, J.W.A.","1297","Native","2013","Marquete, R.","2025","Ouro","Ouro",,,"Usina Santa Marai, RPPN Cachoeira"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Myrtaceae","Myrcia","guianensis","(Aubl.) DC.","MYRTACEAE Myrcia guianensis (Aubl.) DC.","MAC0055367","splink","MAC","Alves-Silva, J.W.","1298","Native","2013","Sobral, M.","2017","Ouro","Ouro",,"Maragogi","Usina Santa Maria, RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Loranthaceae","Struthanthus","syringifolius","(Mart.) Mart.","LORANTHACEAE Struthanthus syringifolius (Mart.) Mart.","MAC0050474","splink","MAC","Chagas-Mota","9513","Native","2010","Caires, C.S.",,"Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Vatairea","heteroptera","(Allemão) Ducke","FABACEAE Vatairea heteroptera (Allemão) Ducke","50491","x","MAC","Chagas-Mota","9530",,"2010","Cardoso, D.","2019","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Polygalaceae","Bredemeyera","hebeclada","(DC.) J.F.B.Pastore","POLYGALACEAE Bredemeyera hebeclada (DC.) J.F.B.Pastore","MAC0050463","splink","MAC","Chagas-Mota","9502","Native","2010","Mota, M.","2019","Ouro","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Moraceae","Brosimum","acutifolium","Huber","MORACEAE Brosimum acutifolium Huber","50515","x","MAC","Chagas-Mota","9554","Native","2010","Esteves, M.C.S.","2010","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Myrtaceae","Myrcia","splendens","(Sw.) DC.","MYRTACEAE Myrcia splendens (Sw.) DC.","MAC0050516","x","MAC","Chagas-Mota","9555","Native","2010","Chagas, E.C.O.","2010","Ouro","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Fabaceae","Samanea","saman","(Jacq.) Merr.","FABACEAE Samanea saman (Jacq.) Merr.","50498","x","MAC","Chagas-Mota","9537","Native","2010","Chagas, E.C.O.",,"Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Lamiaceae","Vitex","rufescens","A.Juss.","LAMIACEAE Vitex rufescens A.Juss.","50473","x","MAC","Chagas-Mota","9512","Native","2010","Chagas, E.C.O.",,"Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Sapindaceae","Cupania","impressinervia","Acev.-Rodr.","SAPINDACEAE Cupania impressinervia Acev.-Rodr.","MAC0050505","splink","MAC","Chagas-Mota","9544","Naturalized","2010","Chagas, E.C.O.","2015","Prata","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Acanthaceae","Nelsonia","canescens","(Lam.) Spreng.","ACANTHACEAE Nelsonia canescens (Lam.) Spreng.","MAC0050477","splink","MAC","Chagas-Mota","9516","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Acanthaceae","Ruellia","geminiflora","Kunth","ACANTHACEAE Ruellia geminiflora Kunth","50466","x","MAC","Chagas-Mota","9505","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Anacardiaceae","Astronium","fraxinifolium","Schott","ANACARDIACEAE Astronium fraxinifolium Schott","MAC0050469","splink","MAC","Chagas-Mota","9508","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Apocynaceae","Aspidosperma","spruceanum","Benth. ex Müll.Arg.","APOCYNACEAE Aspidosperma spruceanum Benth. ex Müll.Arg.","50465","x","MAC","Chagas-Mota","9504","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Burseraceae","Protium","heptaphyllum","(Aubl.) Marchand","BURSERACEAE Protium heptaphyllum (Aubl.) Marchand","50472","x","MAC","Chagas-Mota","9511","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Celastraceae","Prionostemma","asperum","(Lam.) Miers","CELASTRACEAE Prionostemma asperum (Lam.) Miers","MAC0050518","splink","MAC","Chagas-Mota","9557","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,"Tanque d'Arca","RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Chrysobalanaceae","Hirtella","racemosa","Lam.","CHRYSOBALANACEAE Hirtella racemosa Lam.","50504","x","MAC","Chagas-Mota","9543","Naturalized","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Cordiaceae","Cordia","nodosa","Lam.","CORDIACEAE Cordia nodosa Lam.","MAC0050526","x","MAC","Chagas-Mota","9565","Naturalized","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Cordiaceae","Cordia","toqueve","Aubl.","CORDIACEAE Cordia toqueve Aubl.","50479","x","MAC","Chagas-Mota","9518","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Dilleniaceae","Curatella","americana","L.","DILLENIACEAE Curatella americana L.","MAC0050528","x","MAC","Chagas-Mota","9567","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA","Angiosperms","Euphorbiaceae","Croton","gnaphaloides","Schrad.","EUPHORBIACEAE Croton gnaphaloides Schrad.","MAC0050460","x","MAC","Chagas-Mota","9499","Native","2010","Chagas, E.C.O.","2010","Prata","Ouro",,,"RPPN Cachoeira."
