"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Passifloraceae","Passiflora","contracta","Vitta","PASSIFLORACEAE Passiflora contracta Vitta","MAC0056383","splink","MAC","Alves-Silva, J.W.","1277","Native","2012","Nunes, T.S.",,"Ouro","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Convolvulaceae","Distimake","macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","CONVOLVULACEAE Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","MAC0056384","x","MAC","Alves-Silva, J.W.","1278","Native","2012","Buril, M.T.","2017","Ouro","Ouro",,,"RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Apocynaceae","Tabernaemontana","salzmannii","A.DC.","APOCYNACEAE Tabernaemontana salzmannii A.DC.","MAC0056373","splink","MAC","Alves-Silva, J.W.","1267","Native","2012","Alves-Silva, J.W.",,"Bronze","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Sapindaceae","Serjania","caracasana","(Jacq.) Willd.","SAPINDACEAE Serjania caracasana (Jacq.) Willd.","130598","x","CEN","Alves-Silva, J.W.","1261","Native","2012","Souza, M.H.N.",,"Bronze","Ouro",,,"RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Polygalaceae","Senega","paniculata","(L.) J.F.B.Pastore & J.R.Abbott","POLYGALACEAE Senega paniculata (L.) J.F.B.Pastore & J.R.Abbott","MAC0056372","splink","MAC","Alves-Silva, J.W.","1266","Native","2012","Rocha, B.F.","2024","Bronze","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Rhamnaceae","Gouania","blanchetiana","Miq.","RHAMNACEAE Gouania blanchetiana Miq.","HCF000037516","splink","HCF","Alves-Silva, J.W.","1263","Native","2012","Caxambu, M.G.","2024","Bronze","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Marantaceae","Stromanthe","tonckat","(Aubl.) Eichler","MARANTACEAE Stromanthe tonckat (Aubl.) Eichler","56378","x","MAC","Alves-Silva, J.W.","1272","Native","2012","Luna, N.K.","2023","Bronze","Ouro",,,"RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Heliotropiaceae","Myriopus","gardnerianus","(A.DC.) J.I.M. Melo","HELIOTROPIACEAE Myriopus gardnerianus (A.DC.) J.I.M. Melo","MAC0056368","x","MAC","Alves-Silva, J.W.","1262","Native","2012","Melo, J.I.M.","2021","Bronze","Ouro",,,"RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Apocynaceae","Ibatia","ganglinosa","(Vell.) Morillo","APOCYNACEAE Ibatia ganglinosa (Vell.) Morillo","MAC0056379","splink","MAC","Alves-Silva, J.W.","1273","Native","2012","Alves-Silva, J.W.","2019","Bronze","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTRELA DO SUL","Angiosperms","Fabaceae","Senna","chrysocarpa","(Desv.) H.S.Irwin & Barneby","FABACEAE Senna chrysocarpa (Desv.) H.S.Irwin & Barneby","MAC0056362","splink","MAC","Alves-Silva, J.W.","1256","Native","2012","Gibau, A.","2019","Bronze","Ouro",,"Colônia Leopoldina","RPPN Estrela do Sul."
