"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Sapindaceae","Paullinia","pinnata","L.","SAPINDACEAE Paullinia pinnata L.","MAC0035257","splink","MAC","Alves, P.B.","39","Native","2009","Somner, G.V.","2019","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Erythroxylaceae","Erythroxylum","citrifolium","A.St.-Hil.","ERYTHROXYLACEAE Erythroxylum citrifolium A.St.-Hil.","MAC0035327","x","MAC","Alves, P.B.","108","Native","2009","Costa-Lima, J.L.","2016","Ouro","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Euphorbiaceae","Astraea","lobata","(L.) Klotzsch","EUPHORBIACEAE Astraea lobata (L.) Klotzsch","MAC0035069","splink","MAC","Silva, P.B.A.","13","Native","2009","Lima, L.R.","2012","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu, Usina Santo Antônio."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Solanaceae","Solanum","stipulaceum","Willd. ex Roem. & Schult.","SOLANACEAE Solanum stipulaceum Willd. ex Roem. & Schult.","MAC0035313","splink","MAC","Alves, P.B.","94","Native","2009","Sampaio, V.S.","2012","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Myrtaceae","Myrcia","decorticans","DC.","MYRTACEAE Myrcia decorticans DC.","MAC0035329","x","MAC","Alves, P.B.","110","Native","2009","Chagas, E.C.O.","2009","Ouro","Ouro",,,"RPPN Garabu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Myrtaceae","Myrcia","tomentosa","(Aubl.) DC.","MYRTACEAE Myrcia tomentosa (Aubl.) DC.","MAC0035318","splink","MAC","Alves, P.B.","99","Native","2009","Chagas, E.C.O.","2009","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Myrtaceae","Eugenia","umbrosa","O.Berg","MYRTACEAE Eugenia umbrosa O.Berg","MAC0031789","x","MAC","Lyra-Lemos, R.P.","10860","Native","2008","Chagas, E.C.O.","2009","Ouro","Ouro",,,"RPPN Garabu, Usina Santo Antônio."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Myrtaceae","Myrcia","sylvatica","(G.Mey.) DC.","MYRTACEAE Myrcia sylvatica (G.Mey.) DC.","MAC0031812","splink","MAC","Lyra-Lemos, R.P.","10883","Naturalized","2008","Chagas, E.C.O.","2009","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu, Usina Santo Antônio."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Inga","laurina","(Sw.) Willd.","FABACEAE Inga laurina (Sw.) Willd.","MAC0022204","splink","MAC","Cavalcante","12","Native","2005","Cordula, E.","2016","Ouro","Ouro",,"São Luís do Quitunde","Brasil, Alagoas, São Luis do Quitunde, RPPN Garabu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Myrtaceae","Eugenia","hirta","O.Berg","MYRTACEAE Eugenia hirta O.Berg","MAC0021006","x","MAC","Lyra-Lemos, R.P.","8444","Native","2004","Amorim, B.S.",,"Ouro","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Meliaceae","Guarea","macrophylla","Vahl","MELIACEAE Guarea macrophylla Vahl","83653","x","ALCB","Lyra-Lemos, R.P.","8436","Native","2004","Flores, T.B.","2016","Ouro","Ouro",,,"RPPN Garabu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Bromeliaceae","Aechmea","tomentosa","Mez","BROMELIACEAE Aechmea tomentosa Mez","20962","x","MAC","Lyra-Lemos, R.P.","8440","Cultivated","2004","Siqueira Filho, J.A.","2011","Ouro","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Bromeliaceae","Tillandsia","tenuifolia","L.","BROMELIACEAE Tillandsia tenuifolia L.","20975","x","MAC","Lyra-Lemos, R.P.","8455","Native","2004","Siqueira Filho, J.A.","2011","Ouro","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Ormosia","bahiensis","Monach.","FABACEAE Ormosia bahiensis Monach.","20908","x","MAC","Lyra-Lemos, R.P.","8431","Native","2004","Lima, H.C.","2008","Ouro","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Piperaceae","Peperomia","rotundifolia","(L.) Kunth","PIPERACEAE Peperomia rotundifolia (L.) Kunth","MAC0020970","splink","MAC","Lyra-Lemos, R.P.","8450","Native","2004","Guimaraes, E.F.","2008","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Piperaceae","Piper","marginatum","Jacq.","PIPERACEAE Piper marginatum Jacq.","MAC0020903","splink","MAC","Lyra-Lemos, R.P.","8426","Native","2004","Guimaraes, E.F.","2008","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Apocynaceae","Tabernaemontana","salzmannii","A.DC.","APOCYNACEAE Tabernaemontana salzmannii A.DC.","MAC0019957","splink","MAC","Lyra-Lemos, R.P.","8132","Native","2003","Souza-Silva, R.F.","2008","Ouro","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Asteraceae","Vernonanthura","brasiliana","(L.) H.Rob.","ASTERACEAE Vernonanthura brasiliana (L.) H.Rob.","19952","x","MAC","Lyra-Lemos, R.P.","8127","Native","2003","Pereira, R.","2007","Ouro","Ouro",,,"RPPN Garabu, mata em torno 15m a 20m."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Euphorbiaceae","Euphorbia","hyssopifolia","L.","EUPHORBIACEAE Euphorbia hyssopifolia L.","MAC0035334","x","MAC","Alves, P.B.","115","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Andira","fraxinifolia","Benth.","FABACEAE Andira fraxinifolia Benth.","MAC0035309","splink","MAC","Alves, P.B.","90","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Inga","subnuda","Salzm. ex Benth.","FABACEAE Inga subnuda Salzm. ex Benth.","MAC0035071","splink","MAC","Alves, P.B.","15","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,"São Luís do Quitunde","RPPN Garabu, Usina Santo Antônio."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Jupunba","filamentosa","(Benth.) M.V.B.Soares et al.","FABACEAE Jupunba filamentosa (Benth.) M.V.B.Soares et al.","35315","x","MAC","Alves, P.B.","96","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,,"RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Fabaceae","Mimosa","pigra","L.","FABACEAE Mimosa pigra L.","MAC0035335","splink","MAC","Alves, P.B.","116","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,"São Luís do Quitunde","RPPN Garabu."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Melastomataceae","Miconia","nervosa","(Sm.) Triana","MELASTOMATACEAE Miconia nervosa (Sm.) Triana","MAC0035070","splink","MAC","Alves, P.B.","14","Native","2009","Chagas, E.C.O.",,"Prata","Ouro",,"São Luís do Quitunde","RPPN Garabu, Usina Santo Antônio."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU","Angiosperms","Amaranthaceae","Amaranthus","viridis","L.","AMARANTHACEAE Amaranthus viridis L.","MAC0035060","splink","MAC","Alves, P.B.","4","Native","2009","Chagas, E.C.O.","2009","Prata","Ouro",,"São Luís do Quitunde","RPPN Garabu Usina Santo Antônio."
