"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Acanthaceae","Tricharia","carnea","(Müll. Arg.) R. Sant.","ACANTHACEAE Tricharia carnea (Müll. Arg.) R. Sant.","URM0025426","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Acanthaceae","Tricharia","vainioi","R. Sant.","ACANTHACEAE Tricharia vainioi R. Sant.","URM0024095","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Apocynaceae","Desmidophorus","concentricus","Bat. & Cavalc.","APOCYNACEAE Desmidophorus concentricus Bat. & Cavalc.","URM0025882","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Apocynaceae","Desmidophorus","concentricus","Bat. & Cavalc.","APOCYNACEAE Desmidophorus concentricus Bat. & Cavalc.","URM0028298","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Apocynaceae","Mucor",,,"APOCYNACEAE Mucor sp.","URM0023880","splink","URM","Colares, P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Igarapé do Leão"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SP00157022","splink","SP-FUNGI","Yano, O.","s.n.",,"1979",,,"Latão","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Araceae","Manginula","sucuubae","Bat., Bezerra, J. L. & Cavalc.","ARACEAE Manginula sucuubae Bat., Bezerra, J. L. & Cavalc.","URM0025806","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Araceae","Manginula","sucuubae","Bat., Bezerra, J. L. & Cavalc.","ARACEAE Manginula sucuubae Bat., Bezerra, J. L. & Cavalc.","URM0027437","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Araceae","Manginula","sucuubae","Bat., Bezerra, J. L. & Cavalc.","ARACEAE Manginula sucuubae Bat., Bezerra, J. L. & Cavalc.","URM0028289","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Araceae","Manginula","sucuubae","Bat., Bezerra, J. L. & Cavalc.","ARACEAE Manginula sucuubae Bat., Bezerra, J. L. & Cavalc.","URM0028437","splink","URM","Carvalho, J.L.","s.n.",,"1961","Batista, A.C.","1962","Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0023705","splink","URM","Colares, P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Igarapé do Leão"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0023778","splink","URM","Fonseca, O.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Igarapé do Leão"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0025363","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0025792","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0024151","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0024436","splink","URM","Fonseca, O.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0026101","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae","Trichopeltinaceae",,,"ASTERACEAE Trichopeltinaceae sp.","URM0026218","splink","URM","Batista, A.C.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","ASE0010286",,"ASE","Eiten, G.","5184",,"1963",,,"Latão","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ase/ase/0/1/2/86/ase00010286.dzi","Manaus","Ponta Negra, near Ponta Negra , several km upstream from Manaus , at place called ""Cachoeirinha"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Auriculaceae","Auricularia","mesenterica","(Dickson) Pers.","AURICULACEAE Auricularia mesenterica (Dickson) Pers.","INPA0077293","splink","INPA-FUNGOS","Singer, R.","10530",,"1978",,,"Latão","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Aytoniaceae","Asterostomella","lauracearum","Bat. & Bezerra, J. L.","AYTONIACEAE Asterostomella lauracearum Bat. & Bezerra, J. L.","URM0023470","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Bignoniaceae","Stizophyllum","coriaceum","Beyr. & Lohman, LG","BIGNONIACEAE Stizophyllum coriaceum Beyr. & Lohman, LG","INPA0006380","splink","INPA","Almeida, J.C.",,,"1958","Beyer, M.","2018","Bronze","Prata",,"Manaus","Igarapé do Mariano"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Chlorellaceae","Dictyopthyrium","leucopterum","Syd.","CHLORELLACEAE Dictyopthyrium leucopterum Syd.","URM0025768","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0024098","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0025772","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0024052","splink","URM","Colares, P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Igarapé do Leão"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0024162","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0025362","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0025890","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae","Trentepohlia|Cyperus",,"Mart.|L.","CYPERACEAE Trentepohlia Mart.|Cyperus L.","URM0025953","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae|Melastomataceae","Pleroma",,"D.Don","CYPERACEAE|MELASTOMATACEAE Pleroma D.Don","URM0023960","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Cyperaceae|Melastomataceae","Pleroma",,"D.Don","CYPERACEAE|MELASTOMATACEAE Pleroma D.Don","URM0026103","splink","URM","Carvalho, J.M.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Ponta Negra"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Dennstaedtiaceae","Micropeltidaceae",,,"DENNSTAEDTIACEAE Micropeltidaceae sp.","URM0031857","splink","URM","Peres, G.E.P.","s.n.",,,"Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã"
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Dennstaedtiaceae","Micropeltidaceae",,,"DENNSTAEDTIACEAE Micropeltidaceae sp.","URM0021923","splink","URM","Peres, G.E.P.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Tarumã, Cach."
"ÁREA DE PROTEÇÃO AMBIENTAL TARUMA/PONTA NEGRA",,"Dennstaedtiaceae","Micropeltidaceae",,,"DENNSTAEDTIACEAE Micropeltidaceae sp.","URM0023129","splink","URM","Garnier, R.","s.n.",,"1961","Batista, A.C.",,"Bronze","Prata",,"Manaus","Praia de Ponta Negra"
