"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","140545","x","Herbario INPA","Hopkins, M.","7158","Native",,"Mitchell, J.D.","1988","Ouro","Ouro",,,"Limoeiro, Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do Rio Japurá a 40 km do Rio Japurá. Mata alta de terra firme, solo argiloso."
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Annonaceae","Annona","hypoglauca","Mart.","ANNONACEAE Annona hypoglauca Mart.","140634","x","Herbario INPA","Hopkins, M.","7247","Native",,"Maas, P.J.M.","2001","Ouro","Ouro",,,"Limoeiro, Estação Ecológica de Juamí-Japurá. Rio Japurá, margem direita abaixo da confluência com rio Puruê"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Annonaceae","Guatteria","meliodora","R.E.Fr.","ANNONACEAE Guatteria meliodora R.E.Fr.","140546","x","Herbario INPA","Hopkins, M.","7159","Native",,"Coelho, L.F.","1986","Bronze","Ouro",,,"Limoeiro, Estação ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do Rio Japurá a 40 km do Rio Japurá"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Apocynaceae","Forsteronia","laurifolia","(Benth.) A.DC.","APOCYNACEAE Forsteronia laurifolia (Benth.) A.DC.","NY02486308","splink","NY","Ferreira, C.A.C.","7110",,"1986",,,"Latão","Ouro",,,"Limoeiro. Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do rio Japurá a 15 Km da Foz"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Apocynaceae","Spongiosperma","macrophyllum","(Müll.Arg.) Zarucchi","APOCYNACEAE Spongiosperma macrophyllum (Müll.Arg.) Zarucchi","V0099313F","x","F","Ferreira, C.A.C.","7146","Native","1986","Tropicos","2010","Bronze","Ouro",,,"Estação Ecológica Juamí-Japurá. Río Juamí afluente da margem esquerda do"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Chrysobalanaceae","Licania","savannarum","Prance","CHRYSOBALANACEAE Licania savannarum Prance","US01352958",,"US","Ferreira, C.A.C.","7143",,"1986",,"2016","Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/1/35/29/58/us01352958.dzi","Japurá","Limoeiro. Estação Ecológica Juamí-Japurá. Rio Juami, afluente da margem esquerda do Rio Japurá a 40km do Rio Japurá"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Chrysobalanaceae","Licania","savannarum","Prance","CHRYSOBALANACEAE Licania savannarum Prance","US 3135574","x","US","Ferreira, C.A.C.","7143",,"1986",,,"Latão","Ouro",,,"Limoeiro. Estação Ecológica Juamí-Japurá. Rio Juami, afluente da margem esquerda do Rio Japurá a 40km do Rio Japurá"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Clusiaceae",,,"Lindl.","CLUSIACEAE Clusiaceae Lindl.","NY1628625",,"NY","Ferreira, C.A.C.","7114","Native","1986",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/16/28/62/5/ny_1628625.dzi",,"Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do rio Japurá a 15 Km da Foz"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Clusiaceae","Garcinia",,"L.","CLUSIACEAE Garcinia L.","138738","x","Herbario INPA","Hopkins, M.","7104","Native",,,,"Latão","Ouro",,,"Limoeiro, Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do Rio Japurá a 15 Km da Foz"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Clusiaceae","Tovomita","spruceana","Planch. & Triana","CLUSIACEAE Tovomita spruceana Planch. & Triana","HUEFS0279306","splink","HUEFS","Ferreira, C.A.C.","7150","Native","1986","Marinho, L.C.","2017","Ouro","Ouro",,,"Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do Rio Japurá a 40 Km do Rio Japurá."
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Ebenaceae","Diospyros","poeppigiana","A.DC.","EBENACEAE Diospyros poeppigiana A.DC.","02332430","x","NY","Ferreira, C.A.C.","7115","Native","1986",,,"Latão","Ouro",,,"Limoeiro. Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do rio Japurá a 15 Km da Foz"
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Euphorbiaceae","Mabea","nitida","Spruce ex Benth.","EUPHORBIACEAE Mabea nitida Spruce ex Benth.","NY01418958",,"NY","Ferreira, C.A.C.","7153","Native","1976","Esser, H.-J.","1997","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/v-173-01/41/89/58/ny_v-173-01418958.dzi",,"Estação Ecológica Juamí-Japurá. Río Juamí afluente da margem esquerda do rio Japurá a 40 km do Rio Japurá."
"ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ","Angiosperms","Euphorbiaceae","Mabea","nitida","Spruce ex Benth.","EUPHORBIACEAE Mabea nitida Spruce ex Benth.","140540","x","Herbario INPA","Hopkins, M.","7153","Native",,"Esser, H.J.","1997","Ouro","Ouro",,,"Limoeiro, Estação Ecológica Juamí-Japurá. Rio Juamí afluente da margem esquerda do rio Japurá a 40 km do rio Japurá. Mata d e igapó, solo arenoso-humoso."
