"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Malpighiaceae","Mascagnia",,"(Bertero ex DC.) Bertero","MALPIGHIACEAE Mascagnia (Bertero ex DC.) Bertero","INPA0270119","splink","INPA","Carvalho, F.A.","2061","Native","2009","Amorim, A.M.","2023","Ouro","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Burseraceae","Protium","heptaphyllum","(Swart) Daly","BURSERACEAE Protium heptaphyllum subsp. ulei (Swart) Daly","INPA0239321","splink","INPA","Carvalho, F.A.","2047","Native","2009","Daly, D.C.","2011","Ouro","Prata",,"Apuí","Rio Aripuanã - Ramal da Prainha"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Humiriaceae","Humiria","balsamifera","(Mart.) Cuatrec.","HUMIRIACEAE Humiria balsamifera var. floribunda (Mart.) Cuatrec.","INPA0269790","splink","INPA","Assuncao, P.A.C.L.","1096",,"2009","Prance, G.T.","2018","Prata","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Fabaceae","Eperua","oleifera","Ducke","FABACEAE Eperua oleifera var. campestris Ducke","INPA0269788","splink","INPA","Assuncao, P.A.C.L.","1085",,"2009","Fortes, E.A.","2022","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Ferns and Lycophytes","Pentaphylacaceae","Ternstroemia","dentata","(Aubl.) Sw.","PENTAPHYLACACEAE Ternstroemia dentata (Aubl.) Sw.","INPA0269782","splink","INPA","Assuncao, P.A.C.L.","1065","Native","2009","Vieira, J.A.","2020","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Bignoniaceae","Pleonotoma","jasminifolia","(Kunth) Miers","BIGNONIACEAE Pleonotoma jasminifolia (Kunth) Miers","SPF00242727","splink","SPF","Carvalho, F.A.","2059","Native","2009","Fonseca, L.H.M.","2019","Bronze","Prata",,"Apuí","Rio Aripuanã."
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Hymenophyllaceae","Trichomanes","humboldtii","(Bosch) Lellinger","HYMENOPHYLLACEAE Trichomanes humboldtii (Bosch) Lellinger","UPCB0047273",,"UPCB","Carvalho, F.A.","2065","Native","2009","Windisch, P.G.","2017","Bronze","Prata",,"Apuí","Rio Aripuanã, Ramal da Prainha."
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Apocynaceae","Mucoa",,"Zarucchi","APOCYNACEAE Mucoa Zarucchi","INPA0269789","splink","INPA","Assuncao, P.A.C.L.","1095","Native","2009","Vicentini, A.","2014","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Xyridaceae","Abolboda","grandis","Griseb.","XYRIDACEAE Abolboda grandis Griseb.","INPA0270106","splink","INPA","Carvalho, F.A.","2018","Native","2009","Mota, N.F.O.","2013","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Xyridaceae","Xyris","jupicai","Rich.","XYRIDACEAE Xyris jupicai Rich.","INPA0270109","splink","INPA","Carvalho, F.A.","2029","Native","2009","Mota, N.F.O.","2013","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Apocynaceae","Mandevilla",,"Lindl.","APOCYNACEAE Mandevilla Lindl.","INPA0270112","splink","INPA","Carvalho, F.A.","2054","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Bignoniaceae","Adenocalymma","flaviflorum","(Miq.) L.G.Lohmann","BIGNONIACEAE Adenocalymma flaviflorum (Miq.) L.G.Lohmann","INPA0270117","splink","INPA","Carvalho, F.A.","2059","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Bromeliaceae","Aechmea","mertensii","(G.Mey.) Schult. & Schult.f.","BROMELIACEAE Aechmea mertensii (G.Mey.) Schult. & Schult.f.","INPA0269784","splink","INPA","Assuncao, P.A.C.L.","1076","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Clusiaceae","Clusia","insignis","Mart.","CLUSIACEAE Clusia insignis Mart.","INPA0269787","splink","INPA","Assuncao, P.A.C.L.","1081","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Cyperaceae","Lagenocarpus","sabanensis","Gilly","CYPERACEAE Lagenocarpus sabanensis Gilly","INPA0270121","splink","INPA","Carvalho, F.A.","2063","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Cyperaceae","Lagenocarpus","verticillatus","(Spreng.) T.Koyama & Maguire","CYPERACEAE Lagenocarpus verticillatus (Spreng.) T.Koyama & Maguire","INPA0270122","splink","INPA","Carvalho, F.A.","2064","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Fabaceae","Macrolobium","arenarium","Ducke","FABACEAE Macrolobium arenarium Ducke","INPA0270111","splink","INPA","Carvalho, F.A.","2053","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Malpighiaceae","Byrsonima",,"Rich. ex Kunth","MALPIGHIACEAE Byrsonima Rich. ex Kunth","INPA0270115","splink","INPA","Carvalho, F.A.","2057","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Orchidaceae","Epistephium","parviflorum","Lindl.","ORCHIDACEAE Epistephium parviflorum Lindl.","INPA0269786","splink","INPA","Assuncao, P.A.C.L.","1080","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Orchidaceae","Habenaria","heptadactyla","Rchb.f.","ORCHIDACEAE Habenaria heptadactyla Rchb.f.","INPA0269783","splink","INPA","Assuncao, P.A.C.L.","1069","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Rapateaceae","Duckea","cyperaceoidea","(Ducke) Maguire","RAPATEACEAE Duckea cyperaceoidea (Ducke) Maguire","INPA0270120","splink","INPA","Carvalho, F.A.","2062","Native","2009","Boeira, A.S.P.","2010","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Eriocaulaceae","Comanthera","xeranthemoides","(Bong.) L.R.Parra & Giul.","ERIOCAULACEAE Comanthera xeranthemoides (Bong.) L.R.Parra & Giul.","INPA0270113","splink","INPA","Carvalho, F.A.","2055","Native","2009","Carvalho, F.A.","2009","Bronze","Prata",,"Apuí","Rio Aripuanã"
"RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ","Angiosperms","Eriocaulaceae","Syngonanthus","williamsii","(Moldenke) Hensold","ERIOCAULACEAE Syngonanthus williamsii (Moldenke) Hensold","INPA0270107","splink","INPA","Carvalho, F.A.","2019","Native","2009","Carvalho, F.A.","2009","Bronze","Prata",,"Apuí","Rio Aripuanã"
