"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Euphorbiaceae","Croton","palanostigma","Klotzsch","EUPHORBIACEAE Croton palanostigma Klotzsch","MG228328",,"MG","Assis, R.L.","5","Native","2008","Secco, R.","2012","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mg/mg/0/22/83/28/mg00228328.dzi","São Gabriel da Cachoeira","ReBio Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Fabaceae","Derris",,"Lour.","FABACEAE Derris Lour.","226890","x","Herbario INPA","Hopkins, M.","246","Native",,,,"Ouro","Ouro",,,"Coletada às margens do Lago do Dragão (N 00º17' 10,1'' W 066º 40' 56,1''/ 269 metros de elevação). ReBio Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","226886","x","Herbario INPA","Hopkins, M.","197","Native",,,,"Ouro","Ouro",,,"Coletada às margens do igarapé Yá Mirim(N 00º15' 53,3'' W 066º40' 49,4'') , Acampamento base, REBIO Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Fabaceae","Inga",,"Mill.","FABACEAE Inga Mill.","226888","x","Herbario INPA","Hopkins, M.","217","Native",,,,"Ouro","Ouro",,,"Coletada às margens do igarapé Yá Mirim(N 00º16' 20,2'' W 066º 38' 21,2''/ 69 metros de elevação) próximo a ponte, Km 85, BR 307, REBIO Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Fabaceae","Swartzia",,"Schreb.","FABACEAE Swartzia Schreb.","226776","x","Herbario INPA","Hopkins, M.","452","Native",,,,"Ouro","Ouro",,,"Coletada as margens do igarapé Ya-Mirim (N 00º16' 23,2'' W 066º 38' 56,1''). Vegetação densa, com dossel próximo de 30 metros de altura, substrato composto de espessa camada de solo. ReBio Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Annonaceae","Guatteria",,"Ruiz & Pav.","ANNONACEAE Guatteria Ruiz & Pav.","226778","x","Herbario INPA","Hopkins, M.","589","Native",,"Lobao, A.Q.","2014","Ouro","Ouro",,,"Reserva Biológica do Morro dos Seis Lagos. Pé do morro. Vertente. N = 00° 15' 33.4"" W = 066º 040' 36.5"""
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Sapindaceae","Talisia",,"Aubl.","SAPINDACEAE Talisia Aubl.","226766","x","Herbario INPA","Hopkins, M.","161","Native",,"Perdiz, R.O.","2014","Ouro","Ouro",,,"Coletada às margens do Lago do Dração (N 00º17' 12,4'' W 066º40' 37,1'') REBIO Morro dos Seis Lagos, Parque Nacional do Pico da Neblina."
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Annonaceae","Anaxagorea",,"A.St.-Hil.","ANNONACEAE Anaxagorea A.St.-Hil.","226782","x","Herbario INPA","Hopkins, M.","650","Native",,"Lobao, A.Q.","2013","Ouro","Ouro",,,"Reserva Biológica do Morro dos Seis Lagos. Margem do igarapé de acesso ao acampamento. N = 00° 15.0' 51.4"" W = 066º 040' 02.7"""
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Annonaceae","Unonopsis","guatterioides","(A.DC.) R.E.Fr.","ANNONACEAE Unonopsis guatterioides (A.DC.) R.E.Fr.","226779","x","Herbario INPA","Hopkins, M.","605","Native",,"Lobao, A.Q.","2013","Ouro","Ouro",,,"Reserva Biológica do Morro dos Seis Lagos. Margem do igarapé de acesso ao acampamento. S = 00° 15' 29.3"" W = 066º 040' 36.9"""
"RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS","Angiosperms","Annonaceae","Unonopsis","stipitata","Diels","ANNONACEAE Unonopsis stipitata Diels","226777","x","Herbario INPA","Hopkins, M.","581","Native",,"Lobao, A.Q.","2013","Ouro","Ouro",,,"Reserva Biológica do Morro dos Seis Lagos. Pé do morro. Vertente. N = 00° 15' 32.4"" W = 066º 040' 36.5"""
