"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Rubiaceae","Ixora",,"L.","RUBIACEAE Ixora L.","RB01423682","x","RB","Almeida, T.E.","3633","Native","2014","Delprete, P.G.",,"Ouro","Ouro",,,"Reserva Extrativista do lago do Capanã Grande, trilha às margens do lago Capanã."
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Clusiaceae","Garcinia","apostoloi","Mouzinho","CLUSIACEAE Garcinia apostoloi Mouzinho","INPA0263263","splink","INPA","Almeida, T.E.","3648",,"2014","Mouzinho, T.M.","2023","Ouro","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Moraceae","Ficus","trigona","L.f.","MORACEAE Ficus trigona L.f.","RB01420168","x","RB","Almeida, T.E.","3644",,"2014","Pederneiras, L.C.","2022","Ouro","Ouro",,,"Reserva extrativista do Lago do Capanã Grande, trilha ás margens do lago Capanã."
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Lauraceae","Nectandra",,"Rol. ex Rottb.","LAURACEAE Nectandra Rol. ex Rottb.","INPA0263250","splink","INPA","Almeida, T.E.","3635","Native","2014","Ribeiro, H.L.","2019","Ouro","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Piperaceae","Piper","erectipilum","Yunck.","PIPERACEAE Piper erectipilum Yunck.","INPA0263228","splink","INPA","Almeida, T.E.","3613",,"2014","Tepe, E.J.","2018","Ouro","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Rubiaceae","Palicourea",,"Aubl.","RUBIACEAE Palicourea Aubl.","INPA0263225","splink","INPA","Almeida, T.E.","3610","Native","2014","Delprete, P.G.","2018","Ouro","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Fabaceae","Machaerium",,"Pers.","FABACEAE Machaerium Pers.","INPA0263229","splink","INPA","Almeida, T.E.","3614","Native","2014","Mansano, V.F.","2015","Ouro","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Moraceae","Sorocea","muriculata","Miq.","MORACEAE Sorocea muriculata Miq.","RB01422430","x","RB","Almeida, T.E.","3618",,,"Ramos, J.F.","2015","Prata","Ouro",,,"Reserva Extrativista do lago do Capanã Grande, trilha às margens do lago Capanã."
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Moraceae","Sorocea","muriculata","Miq.","MORACEAE Sorocea muriculata subsp. muriculata Miq.","INPA0263238","splink","INPA","Almeida, T.E.","3623","Native","2014","Ramos, J.F.","2016","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Calophyllaceae","Caraipa","grandifolia","Mart.","CALOPHYLLACEAE Caraipa grandifolia Mart.","INPA0263226","splink","INPA","Almeida, T.E.","3611",,"2014","Ramos, J.F.","2015","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Combretaceae","Combretum",,"Loefl.","COMBRETACEAE Combretum Loefl.","INPA0263260","splink","INPA","Almeida, T.E.","3645","Native","2014","Ramos, J.F.","2015","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Lecythidaceae","Eschweilera",,"Mart. ex DC.","LECYTHIDACEAE Eschweilera Mart. ex DC.","INPA0263249","splink","INPA","Almeida, T.E.","3634","Native","2014","Ramos, J.F.","2015","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Picramniaceae","Picramnia","sellowii","Planch.","PICRAMNIACEAE Picramnia sellowii Planch.","INPA0263254","splink","INPA","Almeida, T.E.","3639",,"2014","Ramos, J.F.","2015","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Sapindaceae","Matayba","purgans","Radlk.","SAPINDACEAE Matayba purgans Radlk.","INPA0263235","splink","INPA","Almeida, T.E.","3620",,"2014","Ramos, J.F.","2015","Prata","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Araceae","Philodendron","distantilobum","K.Krause","ARACEAE Philodendron distantilobum K.Krause","RB01422431","x","RB","Almeida, T.E.","3617a",,"2014","Mortara, M.","2024","Bronze","Ouro",,,"Reserva Extrativista do lago do Capanã Grande, trilha às margens do lago Capanã."
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Lecythidaceae","Eschweilera","bracteosa","(Poepp. ex O.Berg) Miers","LECYTHIDACEAE Eschweilera bracteosa (Poepp. ex O.Berg) Miers","RB01422843","x","RB","Almeida, T.E.","3646","Native","2014","Souza, P.F.","2023","Bronze","Ouro",,,"Reserva Extrativista do lago do Capanã Grande, trilha às margens do lago Capanã."
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Poaceae","Piresia","goeldii","Swallen","POACEAE Piresia goeldii Swallen","INPA0263246","splink","INPA","Almeida, T.E.","3631",,"2014","Lopes-Neto, R.B.","2023","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Araceae","Anthurium","plowmanii","Croat","ARACEAE Anthurium plowmanii Croat","INPA0263257","splink","INPA","Almeida, T.E.","3642","Native","2014","Camelo, M.C.","2019","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Araceae","Anthurium","gracile","(Rudge) Lindl.","ARACEAE Anthurium gracile (Rudge) Lindl.","INPA0263264","splink","INPA","Almeida, T.E.","3649","Native","2014","Boggan, J.K.","2018","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Araceae","Thaumatophyllum","solimoesense","(A.C.Smith) Sakur., Calazans & Mayo","ARACEAE Thaumatophyllum solimoesense (A.C.Smith) Sakur., Calazans & Mayo","INPA0263258","splink","INPA","Almeida, T.E.","3643",,"2014","Boggan, J.K.","2018","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Moraceae","Sorocea",,"A.St.-Hil.","MORACEAE Sorocea A.St.-Hil.","INPA0263245","splink","INPA","Almeida, T.E.","3630","Native","2014","Rezende, A.C.C.","2017","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Pteridaceae","Hecistopteris","pumila","(Spreng.) J.Sm.","PTERIDACEAE Hecistopteris pumila (Spreng.) J.Sm.","INPA0263222","splink","INPA","Almeida, T.E.","3607","Native","2014","Windisch, P.G.","2017","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Aspleniaceae","Asplenium","serratum","L.","ASPLENIACEAE Asplenium serratum L.","INPA0263223","splink","INPA","Almeida, T.E.","3608","Native","2014","Silva, M.R.P.","2016","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Gesneriaceae","Codonanthopsis","ulei","Mansf.","GESNERIACEAE Codonanthopsis ulei Mansf.","INPA0263240","splink","INPA","Almeida, T.E.","3625","Native","2014","Ferreira, G.E.","2014","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Ferns and Lycophytes","Hymenophyllaceae","Trichomanes","pinnatum","Hedw.","HYMENOPHYLLACEAE Trichomanes pinnatum Hedw.","INPA0263224","splink","INPA","Almeida, T.E.","3609",,"2014","Almeida, T.E.","2014","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Hymenophyllaceae","Trichomanes","vittaria","DC. ex Poir.","HYMENOPHYLLACEAE Trichomanes vittaria DC. ex Poir.","INPA0263243","splink","INPA","Almeida, T.E.","3628",,"2014","Almeida, T.E.","2014","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
"RESERVA EXTRATIVISTA LAGO DO CAPANÃ GRANDE","Angiosperms","Lecythidaceae","Gustavia","poeppigiana","O.Berg","LECYTHIDACEAE Gustavia poeppigiana O.Berg","INPA0263256","splink","INPA","Almeida, T.E.","3641","Native","2014","Almeida, T.E.","2014","Bronze","Ouro",,"Manicoré","Reserva Extrativista do Lago do Capanã Grande"
