"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","BRBA004090","splink","BRBA","Wanderley, P.H.S.","204",,"2011",,,"Latão","Ouro",,"Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","BRBA004133","splink","BRBA","Chaves, M.M.M.","204",,"2011",,,"Latão","Ouro",,"Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Alismataceae","Echinodorus",,"Rich. ex Engelm.","ALISMATACEAE Echinodorus Rich. ex Engelm.","61182","x","UFP","Yoshida-Arns, K.","220",,"2003",,,"Latão","Ouro",,,"Cerrado. Vereda de Babaçu, lagoa temporária. Estação Ecológica do Rio Preto."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Apocynaceae","Allamanda",,"L.","APOCYNACEAE Allamanda L.","60433","x","UFP","Yoshida-Ans, K.","s.n.",,,,,"Latão","Ouro",,,"Estação Ecológica do Rio Preto"
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","60748","x","UFP","Yoshida-Arns, K.","BHRG135",,,,,"Latão","Ouro",,,"Estação Ecológica do Rio Preto"
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Apocynaceae","Forsteronia",,"G.Mey.","APOCYNACEAE Forsteronia G.Mey.","61237","x","UFP","Yoshida-Arns, K.","BHRG201",,,"Simos, A.O.","2014","Bronze","Ouro",,,"Estação Ecológica do Rio Preto"
"ESTAÇÃO ECOLÓGICA RIO PRETO",,"Apocynaceae","Indet",,,"APOCYNACEAE Indet. sp.","BRBA003883","splink","BRBA","Costa, J.","1772",,"2011",,,"Latão","Ouro",,"Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Araceae","Urospatha",,"Schott","ARACEAE Urospatha Schott","BRBA006150",,"BRBA","Yoshida-Arns, K.","213",,,"Calazans, L.S.B.","2020","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/61/50/brba00006150.dzi","Formosa do Rio Preto","Estação Ecológica do Rio Preto. Cerrado. Mata Ciliar."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Asparagaceae","Herreria",,"Ruiz & Pav.","ASPARAGACEAE Herreria Ruiz & Pav.","60301","x","UFP","Arns, K.Y.","163",,,,,"Latão","Ouro",,,"Estação Ecológica do Rio Preto"
"ESTAÇÃO ECOLÓGICA RIO PRETO",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","BRBA004342","splink","BRBA","Costa, J.","1939",,"2011",,,"Latão","Ouro",,"Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto, ponto da Marantaceae. Floresta Ciliar."
