"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Poaceae","Sporobolus","virginicus","(L.) Kunth","POACEAE Sporobolus virginicus (L.) Kunth","RB00626370","x","RB","Ferreira, L.M.",,"Native",,"Filgueiras","2006","Ouro","Ouro",,,"Parque Nacional Marinho dos Abrolhos."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Nyctaginaceae","Boerhavia","diffusa","L.","NYCTAGINACEAE Boerhavia diffusa L.","RB00266013","x","RB","Ferreira, L.M.",,"Naturalized",,"Farney, C.","1985","Ouro","Ouro",,,"parque Nacional Marinho dos Abrolhos, Ilha Redonda."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Sapindaceae","Paullinia","weinmanniifolia","Mart.","SAPINDACEAE Paullinia weinmanniifolia Mart.","RB00727983","x","RB","Santos, J.A.","01","Native","2007","Sommer, G.V.","2012","Ouro","Ouro",,,"No interior da sede do PNMA. No distrito de Ponta da Areia. Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Cyperaceae","Cyperus","ligularis","L.","CYPERACEAE Cyperus ligularis L.","RB00494586","x","RB","Ferreira, L.M.",,"Native","1984","Hefler, S.M.","2005","Ouro","Ouro",,,"Parque Nacional Marinho dos Abrolhos. Ilha Guarita."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Portulacaceae","Portulaca","halimoides","L.","PORTULACACEAE Portulaca halimoides L.","RB00651981","x","RB","Ferreira, L.M.",,"Native",,"Coelho, A.O.-P.","2004","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Mesophyllumaceae","Melyvonnea","erubescens","(Foslie) Athanasiadis & D.L.Ballantine","MESOPHYLLUMACEAE Melyvonnea erubescens (Foslie) Athanasiadis & D.L.Ballantine","RB01602254","x","RB","Cajueiro Filho",,"Native","2018","Bahia, R.G.","2026","Bronze","Ouro",,,"Abrolhos. Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Lithophyllaceae","Lithophyllum","stictaeforme","(Aresch. in J.Agardh) Hauk","LITHOPHYLLACEAE Lithophyllum stictaeforme (Aresch. in J.Agardh) Hauk","RB00578206","x","RB","Tamega, F.T.S.",,"Native","2008","Tamega, F.T.S.","2009","Bronze","Ouro",,,"Arquipélgo dos Abrolhos, Ilha Santa Bárbara (Mato Verde). Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae",,"Porolithon","onkodes","(Heydr.) Foslie","NA Porolithon onkodes (Heydr.) Foslie","RB00578210","x","RB","Tamega, F.T.S.",,"Native","2008","Tamega, F.T.S.","2009","Bronze","Ouro",,,"Arquipélago dos Abrolhos, Ilha Siriba. Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae",,"Spongites","fruticulosus","Kütz.","NA Spongites fruticulosus Kütz.","RB00578212","x","RB","Tamega, F.T.S.",,"Native","2008","Tamega, F.T.S.","2009","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Halimedaceae","Halimeda","tuna","(J.Ellis & Sol.) J.V.Lamour.","HALIMEDACEAE Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.","HUNI00006366","splink","HUNI","Senra, M.C.E.",,"Native","2007","Paula, J.C.","2019","Bronze","Ouro",,,"Parque Nacional Marinho de Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Corallinaceae","Jania","crassa","J.V.Lamour.","CORALLINACEAE Jania crassa J.V.Lamour.","HUNI00005013","splink","HUNI","Senra, M.C.E.",,"Native","2007","Paula, J.C.","2017","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Galaxauraceae","Tricleocarpa","cylindrica","(J.Ellis & Sol.) Huisman & Borow.","GALAXAURACEAE Tricleocarpa cylindrica (J.Ellis & Sol.) Huisman & Borow.","HUNI00005012","splink","HUNI","Senra, M.C.E.",,"Native","2007","Paula, J.C.","2017","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Ceramiaceae","Ceramium","clarionense","Setchell & N.L.Gardner","CERAMIACEAE Ceramium clarionense Setchell & N.L.Gardner","RB01562239","x","RB","Barros-Barreto, M.B.",,"Native","2002","Barros-Barreto, M.B.",,"Bronze","Ouro",,,"Arquipélago dos Abrolhos, Siriba. Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Ceramiaceae","Pseudoceramium","tenerrimum","(G.Martens) Barros-Barreto & Maggs","CERAMIACEAE Pseudoceramium tenerrimum (G.Martens) Barros-Barreto & Maggs","RB01562240","x","RB","Barros-Barreto, M.B.",,"Native","2002","Barros-Barreto, M.B.",,"Bronze","Ouro",,,"Arquipélago dos Abrolhos, Redonda Sul. Parque Nacional Marinho dos Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Lithophyllaceae","Lithophyllum","congestum","(Foslie) Foslie","LITHOPHYLLACEAE Lithophyllum congestum (Foslie) Foslie","RB00511226","x","RB","Tamega, F.T.S.","2","Native","2001","Tamega, F.T.S.",,"Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Anadyomenaceae","Anadyomene","stellata","(Wulfen) J.Agardh","ANADYOMENACEAE Anadyomene stellata (Wulfen) J.Agardh","HUNI00004181","splink","HUNI","Revizee, P.",,"Native","1997","Macroalgas-Ufrj, L.","1997","Bronze","Ouro",,,"Zona Econômica Exclusiva (ZEE). Em proximidade com Parque Nacional Marinho dos Abrolhos. Região marítima: sul da Bahia"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Caulerpaceae","Caulerpa","verticillata","J.Agardh","CAULERPACEAE Caulerpa verticillata J.Agardh","RB00645912","x","RB","Reis, R.P.","1037a","Native","1994","Barata, D.","2007","Bronze","Ouro",,,"Parque Nacional Marinho de Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Caulerpaceae","Caulerpa","webbiana","Mont.","CAULERPACEAE Caulerpa webbiana Mont.","RB00645915","x","RB","Reis, R.P.","1037b","Native","1994","Barata, D.","2007","Bronze","Ouro",,,"Parque Nacional Marinho de Abrolhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Cleomaceae","Tarenaya","diffusa","(Banks ex DC.) Soares Neto & Roalson","CLEOMACEAE Tarenaya diffusa (Banks ex DC.) Soares Neto & Roalson","RB00066473","x","RB","Ferreira, L.M.",,"Native","1984","Neto, R.L.S.","2016","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos, Ilha Sueste."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Ferns and Lycophytes","Nephrolepidaceae","Nephrolepis","biserrata","(Sw.) Schott","NEPHROLEPIDACEAE Nephrolepis biserrata (Sw.) Schott","RB00643125","x","RB","Figueiredo, M.",,"Naturalized","1984","Maciel, S.","2011","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos, Ilha Redonda."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Portulacaceae","Portulaca","oleracea","L.","PORTULACACEAE Portulaca oleracea L.","RB00321873","x","RB","Ferreira, L.M.",,"Naturalized","1984","Oliveira, A.","2003","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos, Ilha Siriba."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Convolvulaceae","Ipomoea","pes-caprae","(L.) R.Br.","CONVOLVULACEAE Ipomoea pes-caprae (L.) R.Br.","RB00262663","x","RB","Ferreira, L.M.",,"Native","1984","Mantone, L.","1985","Bronze","Ouro",,,"Parque NAcional Marinho dos Abrolhos - Ilha Redonda."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Molluginaceae","Mollugo","verticillata","L.","MOLLUGINACEAE Mollugo verticillata L.","RB00265507","x","RB","Ferreira, L.M.",,"Native","1984","Mantone, L.","1985","Bronze","Ouro",,,"Parque Nacional Marinho dos Abrolhos - Ilha Redonda."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Poaceae","Digitaria","sanguinalis","(L.) Scop.","POACEAE Digitaria sanguinalis (L.) Scop.","RB00614524","x","RB","Ferreira, L.M.",,"Naturalized","1984","Brandao, M.","1985","Bronze","Ouro",,,"Estado da Bahia, Parque Nacional Marinho dos Abrolhos, Ilha Sueste."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Poaceae","Ischaemum","rugosum","Salisb.","POACEAE Ischaemum rugosum Salisb.","RB00618707","x","RB","Ferreira, L.M.",,"Naturalized","1984","Brandao, M.","1985","Bronze","Ouro",,,"Ilha Siriba, Parque Nacional Marinho dos Abrolhos."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Angiosperms","Hydrocharitaceae","Halophila","decipiens","Ostenf.","HYDROCHARITACEAE Halophila decipiens Ostenf.","Rl010071470","splink","R","Azevedo, J.","s.n.","Native","2014",,,"Latão","Ouro",,,"Parque Nacional Marinho dos Abrólhos"
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Caulerpaceae","Caulerpa","fastigiata","Mont.","CAULERPACEAE Caulerpa fastigiata Mont.","RB00534559","x","RB","Reis, R.P.","1177","Native","2004",,,"Latão","Ouro",,,"Parque Nacional Marinho de Abrolhos. Ilha Santa Bárbara - Porto Norte."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Ceramiaceae","Centroceras","clavulatum","(C.Agardh) Mont.","CERAMIACEAE Centroceras clavulatum (C.Agardh) Mont.","RB00534550","x","RB","Reis, R.P.","1168","Native","2004",,,"Latão","Ouro",,,"Parque Nacional Marinho de Abrolhos. Ilha Santa Bárbara - Porto Sul."
"PARQUE NACIONAL MARINHO DOS ABROLHOS","Algae","Cladophoraceae","Cladophora","laetevirens","(Dillwyn) Kütz.","CLADOPHORACEAE Cladophora laetevirens (Dillwyn) Kütz.","RB00534548","x","RB","Reis, R.P.","1166","Native","2004",,,"Latão","Ouro",,,"Parque Nacional Marinho de Abrolhos. Ilha Santa Bárbara - Porto Sul."
