"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Aquifoliaceae","Indet",,,"AQUIFOLIACEAE Indet. sp.","HURB000029575",,"HURB","Zappi, D.C.","5503",,"2022",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/29/57/5/hurb000029575.jpg","Rio de Contas","Trilha para o muro de pedra no limite da RPPN Natura Cerrada. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Aquifoliaceae","Indet",,,"AQUIFOLIACEAE Indet. sp.","UB0312840","splink","UB","Zappi, D.C.","5503",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Aquifoliaceae","Indet",,,"AQUIFOLIACEAE Indet. sp.","UB0312840",,"UB","Zappi, D.C.","5503",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Araliaceae","Indet",,,"ARALIACEAE Indet. sp.","HURB000029412",,"HURB","Zappi, D.C.","5483",,"2022",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hurb/hurb/0/0/29/41/2/hurb000029412.dzi","Rio de Contas","Trilha para o muro de pedra no limite com a RPPN Natura Cerrada. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Araliaceae","Indet",,,"ARALIACEAE Indet. sp.","UB00312822",,"UB","Zappi, D.C.","5483",,"2022",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/31/28/22/ub00312822.dzi","Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Araliaceae","Indet",,,"ARALIACEAE Indet. sp.","UB0312822","splink","UB","Zappi, D.C.","5483",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","HUEFS0278106","splink","HUEFS","Harley, R.M.","58909",,"2024","Morales, D.","2024","Bronze","Ouro",,"Rio de Contas","Serra das Almas. Reserva RPPN Volta do Rio. Trilha sul na direção da RPPN Ave Natura."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","UB00312821",,"UB","Zappi, D.C.","5482",,"2022","Proenca, C.E.B.","2024","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/31/28/21/ub00312821.dzi","Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","UB0312821","splink","UB","Zappi, D.C.","5482",,"2022","Proenca, C.E.B.","2024","Bronze","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","HURB000029386",,"HURB","Zappi, D.C.","5510",,"2022",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/29/38/6/hurb000029386.jpg","Rio de Contas","Trilha para o muro de pedra no limite com a RPPN Natura Cerrada. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO","Angiosperms","Asteraceae","Koanophyllon",,"Arruda","ASTERACEAE Koanophyllon Arruda","219398","x","UB","Zappi, D.C.","5510",,"2022",,,"Latão","Ouro",,,"RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO","Angiosperms","Asteraceae","Koanophyllon",,"Arruda","ASTERACEAE Koanophyllon Arruda","UB00312846","x","UB","Zappi, D.C.","5510",,"2022",,,"Latão","Ouro",,,"RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Campanulaceae","Indet",,,"CAMPANULACEAE Indet. sp.","HURB000029625","splink","HURB","Zappi, D.C.","5504",,"2022",,,"Latão","Ouro",,"Rio de Contas","Trilha para o muro de pedra no limite com a RPPN Natura Cerrada. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Campanulaceae","Indet",,,"CAMPANULACEAE Indet. sp.","UB0312841","splink","UB","Zappi, D.C.","5504",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Campanulaceae","Indet",,,"CAMPANULACEAE Indet. sp.","UB0312841",,"UB","Zappi, D.C.","5504",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o muro de pedra no limite com a RPPN Natura Cerrada."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332054","splink","UB","Zappi, D.C.","6062",,"2023","Farias, D.C.","2024","Bronze","Ouro",,"Rio de Contas","RPPN Volta do Rio, proximidades da sede. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332054",,"UB","Zappi, D.C.","6062",,"2023","Farias, D.C.","2024","Bronze","Ouro",,"Rio de Contas","RPPN Volta do Rio, proximidades da sede. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332098","splink","UB","Zappi, D.C.","6106",,"2023",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o poço do milênio. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332029",,"UB","Zappi, D.C.","6037",,"2023",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, proximidades da sede. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332098",,"UB","Zappi, D.C.","6106",,"2023",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o poço do milênio. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0332105",,"UB","Zappi, D.C.","6113",,"2023",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, trilha para o poço do milênio. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO",,"Cyperaceae","Indet",,,"CYPERACEAE Indet. sp.","UB0322643",,"UB","Zappi, D.C.","5842",,"2022",,,"Latão","Ouro",,"Rio de Contas","RPPN Volta do Rio, limite com a propriedade de Cida. RPPN Volta do Rio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","34240","x","HURB","Zappi, D.C.","6113",,"2023",,,"Latão","Ouro",,,"RPPN Volta do Rio, trilha para o poço do milênio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","34219","x","HURB","Zappi, D.C.","6106",,"2023",,,"Latão","Ouro",,,"RPPN Volta do Rio, trilha para o poço do milênio"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOLTA DO RIO","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","RB01522667","x","RB","Zappi, D.C.","6106",,"2023",,,"Latão","Ouro",,,"RPPN Volta do Rio, trilha para o poço do milênio."
