"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Melastomataceae","Marcetia","ericoides","(Spreng.) O.Berg ex Cogn.","MELASTOMATACEAE Marcetia ericoides (Spreng.) O.Berg ex Cogn.","356968","x","MBM","Sessegolo, G.C.","378","Native","2006","Pacifico, R.","2022","Ouro","Ouro",,,"Área de Proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Fabaceae","Hydrochorea","pedicellaris","(DC.) M.V.B.Soares, Iganci & M.P.Morim","FABACEAE Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim","332568","x","MBM","Sessegolo, G.C.","315","Native","2006","Lima, H.C.","2009","Ouro","Ouro",,,"Área de proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Fabaceae","Stryphnodendron","polyphyllum","Mart.","FABACEAE Stryphnodendron polyphyllum Mart.","332567","x","MBM","Sessegolo, G.C.","325","Native","2006","Lima, H.C.","2009","Ouro","Ouro",,,"Área de proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Piperaceae","Piper","fluminense","Raddi","PIPERACEAE Piper fluminense Raddi","332576","x","MBM","Sessegolo, G.C.","370","Native","2006","Guimaraes, E.F.","2009","Ouro","Ouro",,,"Área de Proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Piperaceae","Piper","ovatum","Vahl","PIPERACEAE Piper ovatum Vahl","332575","x","MBM","Sessegolo, G.C.","375","Native","2006","Guimaraes, E.F.","2009","Ouro","Ouro",,,"Área de proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Poaceae","Atractantha","radiata","McClure","POACEAE Atractantha radiata McClure","MBM332573",,"MBM","Sessegolo, G.C.","405","Native","2006","Viana, P.L.","2008","Ouro","Ouro",,"Camamu","Área de proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Solanaceae","Solanum","crinitum","Lam.","SOLANACEAE Solanum crinitum Lam.","332566","x","MBM","Sessegolo, G.C.","320","Native","2006","Giacomin, L.L.","2008","Ouro","Ouro",,,"Área de proteção Ambiental da Baía de camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Polygonaceae","Coccoloba","rosea","Meisn.","POLYGONACEAE Coccoloba rosea Meisn.","332579","x","MBM","Sessegolo, G.C.","333","Native","2006","Cordeiro, J.",,"Prata","Ouro",,,"Área de Proteção Ambiental da Baía de Camamu."
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Dilleniaceae","Doliocarpus","heterophyllus","Monzoli & D.Sampaio","DILLENIACEAE Doliocarpus heterophyllus Monzoli & D.Sampaio","332559","x","MBM","Sessegolo, G.C.","422",,"2006","Monzoli, J.V.L.","2023","Bronze","Ouro",,,"Área de Proteção Ambiental da Baía de Camamu"
"ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU","Angiosperms","Dilleniaceae","Doliocarpus","validus","Kubitzki","DILLENIACEAE Doliocarpus validus Kubitzki","332581","x","MBM","Sessegolo, G.C.","392",,"2006","Monzoli, J.V.L.","2023","Bronze","Ouro",,,"Área de Proteção Ambiental da Baía de Camamu"
