"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Piperaceae","Piper","divaricatum","G.Mey.","PIPERACEAE Piper divaricatum G.Mey.","CEPEC00032880","x","CEPEC","Cavalo, G.P.","710","Native","1980","Callejas, R.",,"Ouro","Prata",,"Camaçari","Est. Pedra do Cavalo. Vale dos Rios Paraguacu & Jacuipe."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Combretaceae","Terminalia","catappa","L.","COMBRETACEAE Terminalia catappa L.","NY00565726","x","NY","Cavalo, G.P.","708","Native","1980","Stace, C.A.","1997","Ouro","Prata",,"Camaçari","Est. Pedra do Cavalo Cachoeira/Bahia - Vale dos Rios, Paraguaçu/Jacuipe"
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Lamiaceae","Aegiphila","verticillata","Vell.","LAMIACEAE Aegiphila verticillata Vell.","IAN105621","splink","IAN","Magalhaes, M.","7417","Native","1956","Franca, F.","2006","Ouro","Prata",,"Camaçari","Conceição Jacuipe, lugar cultivado com mandioca."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA",,"Heliotropiaceae","Myriopus","rubicundus","(Salzm. ex DC.) Luebert","HELIOTROPIACEAE Myriopus rubicundus (Salzm. ex DC.) Luebert","028585","splink","ALCB","Ribeiro, A.J.","s/n",,"1995","Melo, J.I.M.","2001","Bronze","Prata",,"Camaçari","Caminho."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Amaranthaceae","Chamissoa","acuminata","Mart.","AMARANTHACEAE Chamissoa acuminata var. acuminata Mart.","CEPEC00032908","x","CEPEC","Cavalo, G.P.","410",,"1980","Cavalo, G.P.",,"Bronze","Prata",,"Camaçari","Est. da Mata. Vale dos Rios Paraguacu & Jacuipe."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Microteaceae","Microtea","celosioides","Moq. ex Sennikov & Sukhor.","MICROTEACEAE Microtea celosioides Moq. ex Sennikov & Sukhor.","CEPEC00028103","x","CEPEC","Cavalo, G.P.","424","Native","1980","Cavalo, G.P.",,"Bronze","Prata",,"Camaçari","Est. da Mata. Vale dos Rios Paraguacu/Jacuipe."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Polygonaceae","Polygonum","hydropiperoides","Michx.","POLYGONACEAE Polygonum hydropiperoides Michx.","CEPEC00028200","x","CEPEC","Cavalo, G.P.","347","Native","1980","Howard, G.",,"Bronze","Prata",,"Camaçari","Est. da EMBASA. Vale dos Rios Paraguacu/Jacuipe."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Fabaceae","Calliandra","blanchetii","Benth.","FABACEAE Calliandra blanchetii Benth.","CEPEC00027069","x","CEPEC","Cavalo, G.P.","337",,"1980","Administrador","2017","Bronze","Prata",,"Camaçari","Est. da Embasa. Vale Rios Paraguacu/Jacuipe."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Myrtaceae","Campomanesia","dichotoma","(O.Berg) Mattos","MYRTACEAE Campomanesia dichotoma (O.Berg) Mattos","ALCB057582","splink","ALCB","Cavalo, G.P.","1024","Native","1980","Landim, L.R.","1995","Bronze","Prata",,"Camaçari",
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Hernandiaceae","Sparattanthelium","botocudorum","Mart.","HERNANDIACEAE Sparattanthelium botocudorum Mart.","105627","splink","IAN","Magalhaes, M.G.","7423","Native","1956","Christ, J.A.","2018","Bronze","Prata",,"Camaçari","Local Conceição. Capoeira seca com palmeiras."
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Euphorbiaceae","Sapium",,"Jacq.","EUPHORBIACEAE Sapium Jacq.","ALCB00054704",,"ALCB","Ribeiro, A.G.","s/n","Native","1995",,,"Latão","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/47/4/alcb00054704.dzi","Camaçari",
"ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA","Angiosperms","Fabaceae","Andira",,"Lam.","FABACEAE Andira Lam.","ALCB029015","splink","ALCB","Rego, J.","s/n","Native","1992",,"0-0-0","Latão","Prata",,"Camaçari","Piemonte da Diamantina, Rio Jacuipe"
