"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Bauhinia","brevipes","Vogel","FABACEAE Bauhinia brevipes Vogel","HUEFS159434",,"HUEFS","Yoshida-Arns, K.","121","Native",,"Queiroz, L.P.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/15/94/34/huefs00159434.dzi","Formosa do Rio Preto","Cerrado, Mata Ciliar, Estação Ecológica do Rio Preto."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Bauhinia",,"L.","FABACEAE Bauhinia L.","BRBA003877",,"BRBA","Costa, J.","1765","Native","2011",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/38/77/brba00003877.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Machaerium",,"Pers.","FABACEAE Machaerium Pers.","BRBA003861",,"BRBA","Costa, J.","1749","Native","2011",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/38/61/brba00003861.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Senna","spectabilis","(DC.) H.S.Irwin & Barneby","FABACEAE Senna spectabilis (DC.) H.S.Irwin & Barneby","BRBA003857",,"BRBA","Costa, J.","1745","Native","2011","Costa, J.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/38/57/brba00003857.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Myrtaceae","Psidium","amplexicaule","Pers.","MYRTACEAE Psidium amplexicaule Pers.","BRBA004098",,"BRBA","Wanderley, P.H.S.","212","Native","2011","Tuler, A.C.","2025","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/40/98/brba00004098.dzi","Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Libidibia",,"(DC.) Schltdl.","FABACEAE Libidibia (DC.) Schltdl.","BRBA004333",,"BRBA","Pessoa, C.S.","64","Native","2011","Ribeiro, P.G.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/43/33/brba00004333.dzi","Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto. Floresta Estacional /Pasto próximo a Margem do Rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Senegalia","fiebrigii","(Hassl.) Seigler & Ebinger","FABACEAE Senegalia fiebrigii (Hassl.) Seigler & Ebinger","BRBA003859",,"BRBA","Costa, J.","1748","Native","2011","Ribeiro, P.G.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/38/59/brba00003859.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Polygalaceae","Asemeia",,"Raf. emend. Small","POLYGALACEAE Asemeia Raf. emend. Small","BRBA003924",,"BRBA","Costa, C.B.N.","318","Native","2011","Pastore, J.F.B.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/39/24/brba00003924.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Apocynaceae","Macroscepis","morilloana","(Fontella) Morillo","APOCYNACEAE Macroscepis morilloana (Fontella) Morillo","BRBA003931",,"BRBA","Costa, C.B.N.","326","Native","2011","Rapini","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/39/31/brba00003931.dzi","Formosa do Rio Preto","Estrada em direção à Estação Ecológica do Rio Preto, na margem esquerda do rio."
"ESTAÇÃO ECOLÓGICA RIO PRETO","Angiosperms","Fabaceae","Anadenanthera","colubrina","(Vell.) Brenan","FABACEAE Anadenanthera colubrina (Vell.) Brenan","BRBA004334",,"BRBA","Pessoa, C.S.","65","Native","2011","Costa, J.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/brba/brba/0/0/43/34/brba00004334.dzi","Formosa do Rio Preto","Estrada para Estação Ecológica do Rio Preto. Floresta Estacional /Pasto próximo a Margem do Rio."
