"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Erythroxylaceae","Erythroxylum","polygonoides","Mart.","ERYTHROXYLACEAE Erythroxylum polygonoides Mart.","ALCB037210",,"ALCB","Roque, N.","3985","Naturalized","2013","Costa-Lima, J.L.","2015","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/72/10/alcb00037210_1.dzi|jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/72/10/alcb00037210.dzi","Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Euphorbiaceae","Croton","myrsinites","Baill.","EUPHORBIACEAE Croton myrsinites Baill.","ALCB052143",,"ALCB","Hurbath, F.","533","Native","2013","Cordeiro, I.","2014","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/21/43/alcb00052143.dzi","Morro do Chapéu","Piemonte da Diamantina, Lajedo próximo a mata semidecídua. Parte sul do monumento natural da Cachoeira do Ferro Doido. Unidade de Conservação."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Euphorbiaceae","Croton","nummularius","Baill.","EUPHORBIACEAE Croton nummularius Baill.","ALCB052169",,"ALCB","Hurbath, F.","532","Native","2013","Cordeiro, I.","2014","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/21/69/alcb00052169.dzi","Morro do Chapéu","Piemonte da Diamantina, Lajedo próximo a mata semidecídua. Parte sul do monumento natural da Cachoeira do Ferro Doido. Unidade de Conservação."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Fabaceae","Swartzia","apetala","Raddi","FABACEAE Swartzia apetala Raddi","ALCB032748",,"ALCB","Roque, N.","3988","Native","2013","Pinto, R.B.","2014","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/27/48/alcb00032748.dzi","Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Fabaceae","Bionia","coriacea","(Nees & Mart.) Benth.","FABACEAE Bionia coriacea (Nees & Mart.) Benth.","ALCB00029283","x","ALCB","Gomes, F.S.","143","Native",,"Queiroz, L.P.",,"Ouro","Ouro",,,"Piemonte da Diamantina, Platô Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Asteraceae","Cyrtocymura","harleyi","(H.Rob.) H.Rob.","ASTERACEAE Cyrtocymura harleyi (H.Rob.) H.Rob.","RN00009822","splink","RN","Roque, N.","5418","Native","2024",,,"Ouro","Ouro",,"Morro do Chapéu","Monumento Natural Cachoeira do Ferro Doido."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Asteraceae","Verbesina","macrophylla","(Cass.) S.F.Blake","ASTERACEAE Verbesina macrophylla (Cass.) S.F.Blake","RN00009821","splink","RN","Roque, N.","5417","Native","2024",,,"Ouro","Ouro",,"Morro do Chapéu","Monumento Natural Cachoeira do Ferro Doido."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Bromeliaceae","Hohenbergia","arcuata","Leme & M.Machado","BROMELIACEAE Hohenbergia arcuata Leme & M.Machado","HVASF022418","splink","HVASF","Siqueira Filho, J.A.","3287","Native","2015","Siqueira Filho, J.A.","2021","Ouro","Ouro",,"Morro do Chapéu","Nos arredores do Monumento Natural Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Malpighiaceae","Verrucularina","glaucophylla","(A.Juss.) Rauschert","MALPIGHIACEAE Verrucularina glaucophylla (A.Juss.) Rauschert","HVASF022411","splink","HVASF","Siqueira Filho, J.A.","3280","Native","2015","Sebastiani, R.","2015","Ouro","Ouro",,"Morro do Chapéu","Nos arredores do Monumento Natural Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Convolvulaceae","Evolvulus","pterocaulon","Moric.","CONVOLVULACEAE Evolvulus pterocaulon Moric.","US 3674647","x","US","Roque, N.","4006","Native","2013","Staples, G.W.",,"Ouro","Ouro",,"Morro do Chapéu","Morro do Chapéu, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Sapotaceae","Pouteria","andarahiensis","T.D.Penn.","SAPOTACEAE Pouteria andarahiensis T.D.Penn.","108276","splink","ALCB","Roque, N.","4000","Native","2013","Alves-Araujo, A.","2022","Ouro","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Euphorbiaceae","Euphorbia","sessilifolia","Boiss.","EUPHORBIACEAE Euphorbia sessilifolia Boiss.","ALCB053474","splink","ALCB","Hurbath, F.","537","Native","2013","Silva, O.L.M.","2014","Ouro","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Lajedo próximo a mata semidecídua. Parte sul do monumento natural da Cachoeira do Ferro Doido. Unidade de Conservação."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Asteraceae","Trichogonia","salviifolia","Gardner","ASTERACEAE Trichogonia salviifolia Gardner","108274","splink","ALCB","Roque, N.","3998","Native","2013",,"2013","Ouro","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Euphorbiaceae","Stillingia","loranthacea","(Müll. Arg.) Pax","EUPHORBIACEAE Stillingia loranthacea (Müll. Arg.) Pax","ALCB073731","splink","ALCB","Gomes, F.S.","155","Native","2009","Souza, S.M.A.","2015","Ouro","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Platô Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Bignoniaceae","Jacaranda","irwinii","A.H.Gentry","BIGNONIACEAE Jacaranda irwinii A.H.Gentry","HVASF3205","x","HVASF","Santo, F.S.E.","51","Native","2007","Zuntini, A.R.",,"Ouro","Ouro",,,"Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Velloziaceae","Barbacenia","blanchetii","Goethart & Henrard","VELLOZIACEAE Barbacenia blanchetii Goethart & Henrard","SPF00215299","splink","SPF","Siqueira Filho, J.A.","1893","Native","2007","Mello-Silva, R.",,"Ouro","Ouro",,"Morro do Chapéu","Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Fabaceae","Chamaecrista","blanchetii","(Benth.) Conc., L.P. Queiroz & G.P. Lewis","FABACEAE Chamaecrista blanchetii (Benth.) Conc., L.P. Queiroz & G.P. Lewis","ALCB084479","splink","ALCB","Roque, N.","5420","Native","2024","Guedes, M.L.","2024","Prata","Ouro",,"Morro do Chapéu","Monumento Natural Cachoeira do Ferro Doido."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Acanthaceae","Ruellia","incomta","(Nees) Lindau","ACANTHACEAE Ruellia incomta (Nees) Lindau","108275","splink","ALCB","Roque, N.","3999","Native","2013","Guedes, M.L.","2022","Prata","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA."
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Lamiaceae","Leptohyptis","calida","(Mart. ex Benth.) Harley & J.F.B.Pastore","LAMIACEAE Leptohyptis calida (Mart. ex Benth.) Harley & J.F.B.Pastore","88656","splink","ALCB","Gomes, F.S.","146","Native","2009","Guedes, M.L.","2009","Prata","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Platô Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Malvaceae","Waltheria","cinerascens","A.St.-Hil.","MALVACEAE Waltheria cinerascens A.St.-Hil.","88701","splink","ALCB","Gomes, F.S.","170","Native","2009","Guedes, M.L.","2009","Prata","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Platô Monumento Natural da Cachoeira do Ferro Doido"
"MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO","Angiosperms","Salicaceae","Casearia","eichleriana","Sleumer","SALICACEAE Casearia eichleriana Sleumer","ALCB049999","splink","ALCB","Gomes, F.S.","204","Native","2009","Guedes, M.L.","2009","Prata","Ouro",,"Morro do Chapéu","Piemonte da Diamantina, Platô Monumento Natural da Cachoeira do Ferro Doido"
