"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","HVC00008174",,"HVC","Pereira, F.C.","15","Native","2022",,,"Latão","Ouro",,"Andaraí","Trilha do Capa Bode- Igatu. Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA",,"Amaranthaceae","Gomphrena","mollis","Mart.","AMARANTHACEAE Gomphrena mollis Mart.","HUEFS0192384","splink","HUEFS","Almeida-Silva, G.","259",,"2012","Senna, L.R.",,"Bronze","Ouro",,"Palmeiras","Parque Nacional Chapada Diamantina - Serra do Candombá."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA",,"Amaranthaceae","Gomphrena","mollis","Mart.","AMARANTHACEAE Gomphrena mollis Mart.","RB01565645","x","RB","Silva, G.A.","259",,"2012","Senna, L.R.",,"Bronze","Ouro",,,"Parque Nacional Chapada Diamantina - Serra do Candombá"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA",,"Amaranthaceae","Gomphrena","mollis","Mart.","AMARANTHACEAE Gomphrena mollis Mart.","HUEFS0099117","splink","HUEFS","Funch, R.","723",,"2005","Senna, L.R.","2005","Bronze","Ouro",,"Lençóis","Parque Nacional da Chapada Diamantina."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Amaranthaceae","Gomphrena","mollis","Mart.","AMARANTHACEAE Gomphrena mollis Mart.","HUEFS0094637","splink","HUEFS","Cardoso, D.","401","Native","2005",,,"Latão","Ouro",,"Palmeiras","Parque Nacional da Chapada Diamantina, Morro Mãe Inácia."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Amaranthaceae","Xerosiphon","aphyllus","(Pohl ex Moq.) Pedersen","AMARANTHACEAE Xerosiphon aphyllus (Pohl ex Moq.) Pedersen","RB01565612","x","RB","Silva, G.A.","255","Native","2012","Senna, L.R.",,"Bronze","Ouro",,,"Parque Nacional Chapada Diamantina - Serra do Candombá"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","149514","x","CEPEC","Labiak, P.H.","6076","Native","2015",,,"Latão","Ouro",,,"Parque Nacional da Chapada Diamantina. Br-242, entre Seabra e Itaberaba. Às margens da Rodovia."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","ALCB00066249","x","ALCB","Stradmann, M.T.S.","765","Native","2000",,,"Latão","Ouro",,,"Chapada Diamantina, Foz do rio Capivara, situado a 14 Km de Lençóis, com acesso pela estrada de terra Lençóis/Andaraí. Localizado nos limites do Parque Nacional da Chapada Diamantina e a APA de Iraquara/Marimbus. Dissertação Mestrado em fitossociolog"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","R010033931","splink","R","Alves, R.J.V.",,"Native","1992",,,"Latão","Ouro",,"Rio de Contas","Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira",,"Aubl.","ANACARDIACEAE Tapirira Aubl.","UPCB0079769","splink","UPCB","Labiak, P.H.","6076","Native","2015","Daly, D.","2015","Bronze","Ouro",,"Lençóis","Parque Nacional da Chapada Diamantina. BR 242, entre Seabra e Itaberaba."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","42800","splink","ALCB","Stradmann, M.T.S.","0082","Native","1995","Guedes, M.L.","1997","Prata","Ouro",,"Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","42801","splink","ALCB","Stradmann, M.T.S.","0083","Native","1995","Guedes, M.L.","1997","Prata","Ouro",,"Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","ALCB065733","splink","ALCB","Stradmann, M.T.S.","0709","Native","1999","Stradmann, M.T.S.","2000","Bronze","Ouro",,"Lençóis","Chapada Diamantina, Foz do rio Capivara, situado a 14 Km de Lençóis, com acesso pela estrada de terra Lençóis/Andaraí. Localizado nos limites do Parque Nacional da Chapada Diamantina e a APA de Iraquara/Marimbus. Dissertação Mestrado em Fitossociolo"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","ALCB00065841",,"ALCB","Stradmann, M.T.S.","PCD0081","Native","1995","Stradmann, M.T.S.","1999","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/58/41/alcb00065841.dzi","Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","ALCB00065842",,"ALCB","Stradmann, M.T.S.","PCD0083","Native","1995","Stradmann, M.T.S.","1999","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/58/42/alcb00065842.dzi","Lençóis","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina"
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","HUEFS043947","x","HUEFS","Ribeiro Filho, A.A.","45","Native","2000","Funch, L.",,"Bronze","Ouro",,,"Rio Mandassaia, Barro Branco, Parque Nacional da Chapada Diamantina."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","CEPEC00095296","x","CEPEC","Ribeiro Filho, A.A.","29","Native","2000","Funch, L.",,"Bronze","Ouro",,,"Rio Mandassaia, Barro Branco, Parque Nacional da Chapada Diamantina."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anacardiaceae","Tapirira","obtusa","(Benth.) J.D.Mitch.","ANACARDIACEAE Tapirira obtusa (Benth.) J.D.Mitch.","43931","x","HUEFS","Ribeiro Filho, A.A.","29","Native","2000","Funch, L.","2000","Bronze","Ouro",,,"Rio Mandassaia, Barro Branco, Parque Nacional da Chapada Diamantina."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Anemiaceae","Anemia","villosa","Humb. & Bonpl. ex Willd.","ANEMIACEAE Anemia villosa Humb. & Bonpl. ex Willd.","136433","splink","CEPEC","Assis, E.L.M.","1063","Native","2012","Dittrich, V.A.O.",,"Bronze","Ouro",,"Lençóis","Parque Nacional da Chapada Diamantina. Estrada Lençóis/Palmeiras (BR 242), a 3Km da ponte do Rio Mucugezinho."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Annonaceae","Guatteria","sellowiana","Schltdl.","ANNONACEAE Guatteria sellowiana Schltdl.","HUEFS00092626","x","HUEFS","Conceicao, A.A.","1227","Native","2005","Lobao, A.",,"Ouro","Ouro",,,"Parque Nacional Chapada Diamantina. Margem do Rio Ribeirão."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Apiaceae","Eryngium","canaliculatum","Cham. & Schltdl.","APIACEAE Eryngium canaliculatum Cham. & Schltdl.","FLOR0057110","splink","FLOR","Santos, M.F.","826","Native","2012","Lucas, D.","2017","Bronze","Ouro",,"Mucugê","Parque Nacional da Chapada Diamantina. Trilha Guiné-Pati, na subida da trilha a partir da Guiné."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Apiaceae","Eryngium","canaliculatum","Cham. & Schltdl.","APIACEAE Eryngium canaliculatum Cham. & Schltdl.","HUEFS0185943","splink","HUEFS","Almeida-Silva, G.","120","Native","2012","Lucas, D.","2017","Bronze","Ouro",,"Palmeiras","Parque Nacional Chapada Diamantina - Morro dos ventos."
"PARQUE NACIONAL CHAPADA DA DIAMANTINA","Angiosperms","Apocynaceae",,,"Juss.","APOCYNACEAE Apocynaceae Juss.","HVC00011038","splink","HVC","Lima, J.V.N.","14","Native","2025",,,"Latão","Ouro",,"Mucugê","Trilha das Sete Quedas. Parque Nacional da Chapada Diamantina"
