"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL PAU BRASIL",,"Acanthaceae|Lamiaceae","Schaueria|Mesosphaerum",,"Nees|P.Browne","ACANTHACEAE|LAMIACEAE Schaueria Nees|Mesosphaerum P.Browne","GCPP00003792","splink","GCPP","Carrasco, H.J.","107",,"2025",,,"Latão","Ouro",,"Porto Seguro","TRILHA DA MUÇUNUNGA. Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,"Auriculaceae","Auriculariaceae",,,"AURICULACEAE Auriculariaceae sp.","HVC00005439","splink","HVC","Silva, E.A.","7",,"2017",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,"Dictyotaceae","Lobophora","dispersa","Camacho, Freshwater & Fredericq","DICTYOTACEAE Lobophora dispersa Camacho, Freshwater & Fredericq","HUFABC003694","splink","HUFABC","Lyra, G.M.","L321",,"2025","Mamedio, L.B.","2025","Bronze","Prata",,"Porto Seguro","Arraial da Ajuda"
"PARQUE NACIONAL PAU BRASIL",,"Melastomataceae","Coriolopsis",,,"MELASTOMATACEAE Coriolopsis sp.","HVC00004811",,"HVC","Brandao, D.A.","11",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,"Melastomataceae","Coriolopsis",,,"MELASTOMATACEAE Coriolopsis sp.","HVC00005425",,"HVC","Lopes, F.R.","2",,"2017",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,"Melastomataceae","Pleroma","granulosa","(Desr.) D.Don.","MELASTOMATACEAE Pleroma granulosa (Desr.) D.Don.","MBML044169","splink","MBML","Carvalho, G.M.","185",,"2009","Meirelles, J.","2024","Bronze","Prata",,"Porto Seguro","Parque Nacional do Pau-Brasil. Floresta de Tabuleiros. Área alterada"
"PARQUE NACIONAL PAU BRASIL",,,"Botryocladia","martinsiae","C.C.Santos, Cassano & J.M.C.Nunes","NA Botryocladia martinsiae C.C.Santos, Cassano & J.M.C.Nunes","ALCB082811","splink","ALCB","Santos, C.C.","s.n.",,"2018","Santos, C.C.","2025","Bronze","Prata",,"Porto Seguro","Arraial d'ajuda. Coletado em Mucugê."
"PARQUE NACIONAL PAU BRASIL",,,"Botryocladia","martinsiae","C.C.Santos, Cassano & J.M.C.Nunes","NA Botryocladia martinsiae C.C.Santos, Cassano & J.M.C.Nunes","ALCB082778","splink","ALCB","Santos, C.C.","s.n.",,"2018","Santos, C.C.","2025","Bronze","Prata",,"Porto Seguro","Arraial d'ajuda. Coletado em Mucugê."
"PARQUE NACIONAL PAU BRASIL",,,"Botryocladia","martinsiae","C.C.Santos, Cassano & J.M.C.Nunes","NA Botryocladia martinsiae C.C.Santos, Cassano & J.M.C.Nunes","ALCB082766","splink","ALCB","Santos, C.C.","s.n.",,"2018","Santos, C.C.","2025","Bronze","Prata",,"Porto Seguro","Arraial d'ajuda. Coletado na praia do Apaga Fogo."
"PARQUE NACIONAL PAU BRASIL",,,,,,"NA Fungae-Basidiomycota sp.","HVC00005475",,"HVC","Caires, B.","7",,"2017",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00004804",,"HVC","Brandao, D.A.","4",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00004817",,"HVC","Batista, P.S.","3",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00004822",,"HVC","Batista, P.S.","8",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00004826",,"HVC","Santos, A.F.M.","1",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00004850",,"HVC","Duarte, L.E.S.","3",,"2018",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
"PARQUE NACIONAL PAU BRASIL",,,"Fuscoporia",,,"NA Fuscoporia sp.","HVC00005424",,"HVC","Lopes, F.R.","1",,"2017",,,"Latão","Ouro",,"Porto Seguro","Parque Nacional do Pau Brasil"
