"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Fabaceae","Hymenolobium","janeirense","Kuhlm.","FABACEAE Hymenolobium janeirense Kuhlm.","HURB000031045",,"HURB","Cardoso, D.","3828","Native","2015",,,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/31/4/5/hurb000031045.jpg","Miguel Calmon","Área de Pastagem do lado esquerdo logo na portaria de entrada do parque. Parque Estadual Sete Passagens"
"PARQUE ESTADUAL SETE PASSAGENS",,"Fabaceae","Poecilanthe","ulei","(Harms) Arroyo & Rudd","FABACEAE Poecilanthe ulei (Harms) Arroyo & Rudd","HURB000031044",,"HURB","Cardoso, D.","3826",,"2015",,,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/31/4/4/hurb000031044.jpg","Miguel Calmon","Na beira da estrada para o Parque estadual Sete Passagens."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Malpighiaceae","Ptilochaeta","bahiensis","Turcz.","MALPIGHIACEAE Ptilochaeta bahiensis Turcz.","ALCB049439",,"ALCB","Cardoso, D.","3827","Native","2015","Almeida, R.F.","2019","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/94/39/alcb00049439.dzi","Miguel Calmon","Caatinga antropizada na beira da estrada para o Parque Estadual Sete Passagens."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Cyperaceae","Rhynchospora","albiceps","Kunth","CYPERACEAE Rhynchospora albiceps Kunth","HRB00044038",,"HRB","Ribeiro, T.","104","Native","2001","Thomas, W.W.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hrb/hrb/0/4/40/38/hrb00044038.jpg","Miguel Calmon","Serra das Sete Passagens, Parque Estadual das Sete Passagens, próximo à sede do parque. Folha cartográfica SC-24-Y-C. Coordenada coletada."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Chrysobalanaceae","Hirtella","racemosa","Lam.","CHRYSOBALANACEAE Hirtella racemosa Lam.","ALCB042554",,"ALCB","Bautista, H.P.","3004","Native","2001","Asprino, R.","2015","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/25/54/alcb00042554.dzi","Miguel Calmon","Piemonte da Diamantina, Serra das Sete Passagens. Parque Estadual das Sete Passagens, próximo à sede do parque"
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Myrtaceae","Myrcia","pubescens","DC.","MYRTACEAE Myrcia pubescens DC.","ALCB00059750",,"ALCB","Jesus, N.G.","1267","Native","2001","Amorim, B.S.","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/97/50/alcb00059750.dzi","Miguel Calmon","Piemonte da Diamantina, Serra das Sete Passagens, Parque Estadual das Sete Passagens, próximo a sede do parque."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Fabaceae","Plathymenia","reticulata","Benth.","FABACEAE Plathymenia reticulata Benth.","ALCB024661",,"ALCB","Bautista, H.P.","3006","Native","2001","Ribeiro, P.G.","2011","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/2/46/61/alcb00024661.dzi","Miguel Calmon","Piemonte da Diamantina, serra das Sete Passagens, Parque Estadual das Sete Passagens, próximo  sede do parque."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Myrtaceae","Psidium","cattleyanum","Sabine","MYRTACEAE Psidium cattleyanum Sabine","ALCB00060727",,"ALCB","Ribeiro, T.","105","Native","2001","Ibrahim, M.","2010","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/7/27/alcb00060727.dzi","Miguel Calmon","Piemonte da Diamantina, Serra dos Sete Passagens, Parque Estadual das Sete Passagens, próximo à sede do parque"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Euphorbiaceae","Croton","velutinus","Baill.","EUPHORBIACEAE Croton velutinus Baill.","ALCB00052677",,"ALCB","Ribeiro, T.","112","Native","2001","Carneiro-Torres, D.S.","2006","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/26/77/alcb00052677.dzi","Miguel Calmon","Piemonte da Diamantina, Serra das sete passagens. Parque estadual das sete passagens, próximo a sede do parque"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Melastomataceae","Marcetia","bahiensis","(Brade & Markgr.) Wurdack","MELASTOMATACEAE Marcetia bahiensis (Brade & Markgr.) Wurdack","ALCB00061987",,"ALCB","Bautista, H.P.","3016","Native","2001","Santos, A.K.A.","2004","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/19/87/alcb00061987.dzi","Miguel Calmon","Piemonte da Diamantina, Serra das Sete Passagens, Parque Estadual das Sete Passagens, próximo à sede do parque."
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Polygalaceae","Caamembeca","oxyphylla","(DC.) J.F.B.Pastore","POLYGALACEAE Caamembeca oxyphylla (DC.) J.F.B.Pastore","ALCB034131","x","ALCB","Bastos, C.","s/n","Native",,"Miranda, E.B.",,"Ouro","Ouro",,,"Piemonte da Diamantina, Parque Estadual das Sete Passagens"
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Fabaceae","Chamaecrista","desvauxii","(Benth.) H.S.Irwin & Barneby","FABACEAE Chamaecrista desvauxii var. mollissima (Benth.) H.S.Irwin & Barneby","ALCB025994","x","ALCB","Bastos, C.","s/n","Native",,"Conceicao, A.S.","2004","Ouro","Ouro",,,"Piemonte da Diamantina, Parque Estadual das Sete Passagens"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Sapotaceae","Micropholis","gardneriana","(A.DC.) Pierre","SAPOTACEAE Micropholis gardneriana (A.DC.) Pierre","ALCB083479","splink","ALCB","Alves-Araujo, A.","2128","Native","2024",,"0-0-0","Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens, Trilha para o Bico do Urubu"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Asteraceae","Baccharis","retusa","DC.","ASTERACEAE Baccharis retusa DC.","ALCB083485","splink","ALCB","Alves-Araujo, A.","2134","Native","2024","Heiden, G.","2025","Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens, Trilha para o Bico do Urubu"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Orchidaceae","Habenaria","fluminensis","Hoehne","ORCHIDACEAE Habenaria fluminensis Hoehne","BHCB186893","splink","BHCB","Batista, J.A.N.","3401","Native","2016","Batista, J.A.N.","2016","Ouro","Ouro",,"Miguel Calmon","Parque Estadual das Sete Passagens, margem da trilha em direção a Cachoeira do Sinvaldo"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Orchidaceae","Habenaria","hamata","Barb.Rodr.","ORCHIDACEAE Habenaria hamata Barb.Rodr.","BHCB186891","splink","BHCB","Batista, J.A.N.","3399","Native","2016","Batista, J.A.N.","2016","Ouro","Ouro",,"Miguel Calmon","Parque Estadual das Sete Passagens, margem da trilha em direção a Cachoeira do Sinvaldo"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Orchidaceae","Habenaria","josephensis","Barb.Rodr.","ORCHIDACEAE Habenaria josephensis Barb.Rodr.","BHCB186892","splink","BHCB","Batista, J.A.N.","3400","Native","2016","Batista, J.A.N.","2016","Ouro","Ouro",,"Miguel Calmon","Parque Estadual das Sete Passagens, margem da trilha em direção a Cachoeira do Sinvaldo"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Fabaceae","Ormosia","arborea","(Vell.) Harms","FABACEAE Ormosia arborea (Vell.) Harms","HUEFS0248737","splink","HUEFS","Cardoso, D.","3819","Native","2015",,,"Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens, trilha do Campo Limpo."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Ochnaceae","Sauvagesia","insolita","Queiroz-Lima & D.B.O.S.Cardoso","OCHNACEAE Sauvagesia insolita Queiroz-Lima & D.B.O.S.Cardoso","229213","x","HUEFS","Queiroz-Lima, A.","152","Native","2015","Queiroz-Lima, A.",,"Ouro","Ouro",,,"Parque Estadual Sete Passagens"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Rubiaceae","Molopanthera","paniculata","Turcz.","RUBIACEAE Molopanthera paniculata Turcz.","158369","splink","CEPEC","Cardoso, D.","3814","Native","2015","Jardim, J.G.",,"Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens, trilha do Campo Limpo"
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Rubiaceae","Retiniphyllum","laxiflorum","(Benth.) N.E.Br.","RUBIACEAE Retiniphyllum laxiflorum (Benth.) N.E.Br.","HUEFS00248734","x","HUEFS","Cardoso, D.","3816","Native","2015","Jardim, J.",,"Ouro","Ouro",,,"Parque Estadual Sete Passagens, trilha do Campo Limpo."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Asteraceae","Richterago","discoidea","(Less.) Kuntze","ASTERACEAE Richterago discoidea (Less.) Kuntze","ALCB067764","splink","ALCB","Cardoso, D.","3818","Native","2015","Roque, N.","2023","Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens, trilha do Campo Limpo."
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Apocynaceae","Oxypetalum","jacobinae","Decne.","APOCYNACEAE Oxypetalum jacobinae Decne.","HUEFS215029","x","HUEFS","Vasconcelos, L.V.","618","Native","2013","Rapini, A.",,"Ouro","Ouro",,,"Estrada para o Parque Estadual Sete Passagens."
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Droseraceae","Drosera","riparia","Rivadavia & Gonella","DROSERACEAE Drosera riparia Rivadavia & Gonella","RB00949944","x","RB","Gonella, P.M.","543","Native","2012","Gonella, P.M.",,"Ouro","Ouro",,,"Parque Estadual das Sete Passagens. Cachoeira do Coração, margem de rio."
"PARQUE ESTADUAL SETE PASSAGENS","Angiosperms","Apocynaceae","Tabernaemontana","solanifolia","A.DC.","APOCYNACEAE Tabernaemontana solanifolia A.DC.","HVASF1764","x","HVASF","Souza, C.O.","82","Native","2011","Rapini, A.",,"Ouro","Ouro",,,"Zona de amortecimento do Parque Estadual das Sete Passagens. Cachoeira próximo à Fazenda Molhadinha"
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Asteraceae","Chromolaena","morii","R.M.King & H.Rob.","ASTERACEAE Chromolaena morii R.M.King & H.Rob.","HUEFS0294049","splink","HUEFS","Freitas, F.G.","253","Native","2007","Esteves, R.L.","2025","Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens."
"PARQUE ESTADUAL SETE PASSAGENS","Bryophytes","Asteraceae","Mikania","elliptica","DC.","ASTERACEAE Mikania elliptica DC.","HUEFS0294062","splink","HUEFS","Freitas, J.G.","268","Native","2007","Esteves, R.L.","2025","Ouro","Ouro",,"Miguel Calmon","Parque Estadual Sete Passagens."
