"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA UNA","Angiosperms","Acanthaceae","Justicia","phaeocarpa","(Nees) Costa-Lima & E.C.O.Chagas","ACANTHACEAE Justicia phaeocarpa (Nees) Costa-Lima & E.C.O.Chagas","MO2142171","x","MO","Amorim, A.M.","2647","Native","1998","Costa-Lima, J.L.",,"Bronze","Ouro",,"Una","Mun. de Una. REBIO de Una. Coletas efetuadas na estrada que leva à sede Maruim."
"RESERVA BIOLÓGICA UNA","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","RB01604284","x","RB","Lopes, M.M.M.","2738","Native","2026","Jardim, J.G.","2026","Bronze","Ouro",,,"Programa de Monitoramento da Biodiversidade. Unidade Amostral 02. PÁ ""Norte"". Reserva Biológica de Una"
"RESERVA BIOLÓGICA UNA","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","ALCB043013","splink","ALCB","Passos Junior, L.A.","838","Native","2001","Jardim, J.G.","2001","Bronze","Ouro",,"Una","Reserva Biológica de Una, Trilha do Rio Maruim."
"RESERVA BIOLÓGICA UNA","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","ALCB00043010","x","ALCB","Silva, L.A.M.","4011","Native","1999",,,"Latão","Ouro",,,"Litoral Sul, Fazenda Juerana. Ramal com entrada no km 18 da Rodovia Una/São José da Vitória.Coletas na mata próxima a REBIO (Reserva Biológica de Una)"
"RESERVA BIOLÓGICA UNA","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","K004435082","splink","K","Jardim, J.G.","99","Native","1993",,,"Latão","Ouro",,"Una","Rebio De Una; Município de Una, Reserva Biológica do Mico-leão (Ibama). Entrado no km 46 da Rod. BA-001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana."
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","UESC00000703",,"UESC","Miranda, A.S.","8","Native","1999",,,"Ouro","Ouro",,"Una","Parque Ecoturístico de Una, próximo à REBIO (Reserva Biológica de Una)."
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","RB01604142","x","RB","Lopes, M.M.M.","2596","Native","2026","Jardim, J.G.","2026","Bronze","Ouro",,,"Programa de Monitoramento da Biodiversidade. Unidade Amostral 01. PÁ ""Oeste"". Reserva Biológica de Una"
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","HUEFS057573","x","HUEFS","Nunes, T.S.","744","Native","2002","Correia, C.",,"Bronze","Ouro",,"Una","Una. Próximo a Reserva Biológica de UNA, beira de estrada."
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","UEC077461","splink","UEC","Nunes, T.S.","744","Native","2002","Jardim, J.G.","2002","Bronze","Ouro",,"Una","Próximo a Reserva Biológica de UNA"
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","RB00040288","x","RB","Nunes","744","Native","2002","Jardim, J.G.","2002","Bronze","Ouro",,"Una","Una. Próximo a Reserva Biológica de UNA,beira de estrada. Reserva Biológica de Una"
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","RB01604134","x","RB","Lopes, M.M.M.","2588","Native","2026","Lopes, M.M.M.","2026","Bronze","Ouro",,,"Programa de Monitoramento da Biodiversidade. Unidade Amostral 01. PÁ ""Oeste"". Reserva Biológica de Una"
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","RB01604214","x","RB","Lopes, M.M.M.","2668","Native","2026","Jardim, J.G.","2026","Bronze","Ouro",,,"Programa de Monitoramento da Biodiversidade. Unidade Amostral 01. PÁ ""Norte"". Reserva Biológica de Una"
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","87049","x","ALCB","Passos Junior, L.A.","619","Native","2001","Jardim, J.G.",,"Bronze","Ouro",,,"Litoral Sul, Reserva Biológica de Una, Trilha do Rio Maruim."
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","HUEFS00250979","x","HUEFS","Nascimento, F.H.F.","1900","Native","2013",,,"Latão","Ouro",,,"REBIO de Una."
"RESERVA BIOLÓGICA UNA","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","UNOP013427",,"UNOP","Nascimento, F.H.F.","1900","Native","2013",,,"Latão","Ouro",,"Una","REBIO de Una."
"RESERVA BIOLÓGICA UNA","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","NY00749540",,"NY","Thomas, W.W.","12655","Native","2001","Mickel, J.T.","2004","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/0/74/95/40/ny_00749540.dzi",,"Reserva Biologica de Una"
"RESERVA BIOLÓGICA UNA","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","UPCB0000845","x","UPCB","Amorim, A.M.","4501","Native","2004","Matos, F.B.",,"Bronze","Ouro",,,"Reserva Biológica de Una (REBIO), Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana. Picada do Rio Maruím."
"RESERVA BIOLÓGICA UNA","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","UPCB0000845","splink","UPCB","Amorim, A.M.","4501","Native","2004","Matos, F.B.","2010","Bronze","Ouro",,"Una","Reserva Biológica de Una (REBIO), Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Região da Mata Higrófila Sul Baiana. Picada do Rio Maruím."
"RESERVA BIOLÓGICA UNA","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","MO0100650979","splink","MO","Thomas, W.W.","12655","Native","2001","Mickel, J.T.","2004","Bronze","Ouro",,"Una","Mun. Una: Reserva Biologica de Una. Southern Bahian Wet Forest. Floodplain forest on banks of the Rio Maruim."
"RESERVA BIOLÓGICA UNA","Bryophytes","Aneuraceae","Riccardia","digitiloba","(Spruce ex Steph.) Pagán","ANEURACEAE Riccardia digitiloba (Spruce ex Steph.) Pagán","84665e","x","UFP","Reis, L.C.","TM02","Native","2014","Reis, L.C.","2016","Bronze","Ouro",,,"Reserva Biológica de Una, região do Maruim, próx. a fluxo de água, sobre tronco em decomposição"
