"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Araceae","Anthurium","sinuatum","Benth. ex Schott","ARACEAE Anthurium sinuatum Benth. ex Schott","BRBA009157","splink","BRBA","Brito, G.D.","21","Native","2024","Pereira, A.","2024","Bronze","Ouro",,"Barreiras","Mirante Cachoeira do Redondo, beira do rio. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Cordiaceae","Varronia","globosa","Jacq.","CORDIACEAE Varronia globosa Jacq.","BRBA009443","splink","BRBA","Brito, G.D.","13",,"2024","Pereira, A.","2024","Bronze","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Fabaceae","Tachigali","vulgaris","L.G.Silva & H.C.Lima","FABACEAE Tachigali vulgaris L.G.Silva & H.C.Lima","BRBA009162","splink","BRBA","Brito, G.D.","26",,"2024","Pereira, A.","2024","Bronze","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Malpighiaceae","Byrsonima","rotunda","Griseb.","MALPIGHIACEAE Byrsonima rotunda Griseb.","BRBA009448","splink","BRBA","Brito, G.D.","18",,"2024","Pereira, A.","2024","Bronze","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Violaceae","Pombalia","calceolaria","(L.) Paula-Souza","VIOLACEAE Pombalia calceolaria (L.) Paula-Souza","BRBA009161","splink","BRBA","Brito, G.D.","25",,"2024","Pereira, A.","2024","Bronze","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Annonaceae","Annona",,"L.","ANNONACEAE Annona L.","BRBA009159","splink","BRBA","Brito, G.D.","23",,"2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Apocynaceae",,,"Juss.","APOCYNACEAE Apocynaceae Juss.","BRBA009158","splink","BRBA","Brito, G.D.","22","Native","2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Aquifoliaceae","Ilex",,"L.","AQUIFOLIACEAE Ilex L.","BRBA009160","splink","BRBA","Brito, G.D.","24","Native","2024",,,"Latão","Ouro",,"Barreiras","Área de banho Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Fabaceae","Bauhinia",,"L.","FABACEAE Bauhinia L.","BRBA009156","splink","BRBA","Brito, G.D.","20",,"2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Fabaceae","Chamaecrista",,"(L.) Moench","FABACEAE Chamaecrista (L.) Moench","BRBA009155","splink","BRBA","Brito, G.D.","19",,"2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Fabaceae","Copaifera",,"L.","FABACEAE Copaifera L.","BRBA009445","splink","BRBA","Brito, G.D.","15","Native","2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","BRBA009447","splink","BRBA","Brito, G.D.","17","Native","2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO REDONDO","Angiosperms","Sapindaceae","Matayba",,"Aubl.","SAPINDACEAE Matayba Aubl.","BRBA009444","splink","BRBA","Brito, G.D.","14","Native","2024",,,"Latão","Ouro",,"Barreiras","Trilha da Cachoeira do Redondo. RPPN Cachoeira do Redondo"
