"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Fabaceae","Inga","nobilis","Willd.","FABACEAE Inga nobilis Willd.","MO2905387",,"MO","L.r.de Moraes, H.D.W.P.","4272","Native","2014","Pennington, T.D.","1993","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/missouri/mo/2/90/53/87/mo02905387.dzi","Porto Seguro","RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Hypericaceae","Vismia","pentagyna","(Spreng.) Ewan","HYPERICACEAE Vismia pentagyna (Spreng.) Ewan","SPF00215593",,"SPF","Daneu, L.","314","Native","2010","Shimizu, G.H.","3/17","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/55/93/spf00215593.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Myrtaceae","Myrcia","sylvatica","(G.Mey.) DC.","MYRTACEAE Myrcia sylvatica (G.Mey.) DC.","SPF00215587",,"SPF","Daneu, L.","310","Native","2010","Giaretta, A.","5/15","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/55/87/spf00215587.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Myrtaceae","Myrciaria","floribunda","(H.West ex Willd.) O.Berg","MYRTACEAE Myrciaria floribunda (H.West ex Willd.) O.Berg","SPF00215651",,"SPF","Daneu, L.","278","Native","2010","Giaretta, A.","5/15","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/56/51/spf00215651.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Salicaceae","Piparea","dentata","Aubl.","SALICACEAE Piparea dentata Aubl.","SPF00215628",,"SPF","Daneu, L.","372","Native","2010","Nepomuceno, F.A.A.","3/17","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/56/28/spf00215628.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Salicaceae","Piparea","spruceana","(Benth. ex Eichler) T. Samar. & M. H. Alford,","SALICACEAE Piparea spruceana (Benth. ex Eichler) T. Samar. & M. H. Alford,","SPF00215582",,"SPF","Daneu, L.","296","Native","2010","Nepomuceno, F.A.A.","3/17","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/55/82/spf00215582.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Sapotaceae","Pradosia",,"Liais","SAPOTACEAE Pradosia Liais","ALCB006976",,"ALCB","Carvalho, G.M.","321","Native","2010","Alves-Araujo, A.","2022","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/69/76/alcb00006976.dzi","Porto Seguro","RPPN Estação Veracel. Jardim arborizado, entorno do centro de visitantes."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Lauraceae","Ocotea","glauca","(Nees & Mart.) Mez","LAURACEAE Ocotea glauca (Nees & Mart.) Mez","ALCB006995",,"ALCB","Carvalho, G.M.","377","Native","2010","Moraes, P.L.R.","2018","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/69/95/alcb00006995.dzi","Porto Seguro","RPPN Estação Veracel. Interior de Floresta Alta, Platô."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Solanaceae","Solanum","polytrichum","Moric.","SOLANACEAE Solanum polytrichum Moric.","SPF00215592",,"SPF","Daneu, L.","255","Native","2010","Agra, M.F.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/21/55/92/spf00215592.dzi","Porto Seguro","RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Oxalidaceae","Oxalis","neuwiedii","Zucc.","OXALIDACEAE Oxalis neuwiedii Zucc.","SPF00201633",,"SPF","Carvalho, G.M.","275","Native","2010","Fiaschi, P.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/20/16/33/spf00201633.dzi","Porto Seguro","RPPN Estação Veracel"
