"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","MBML044339","x","MBML","Carvalho, G.M.","220",,"2010",,,"Latão","Ouro",,,"RPPN Estação Veracel. Floresta de Tabuleiros. Floresta Alta"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Annonaceae","Anaxagorea",,"A.St.-Hil.","ANNONACEAE Anaxagorea A.St.-Hil.","CEPEC00127531","x","CEPEC","Daneu, L.","266",,,,,"Latão","Ouro",,,"Trilha do Pequí, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Bignoniaceae","Adenocalymma",,"Mart. ex Meisn. emend L.G.Lohmann","BIGNONIACEAE Adenocalymma Mart. ex Meisn. emend L.G.Lohmann","RB00720126","x","RB","Daneu, L.","312",,"2010",,"2016","Latão","Ouro",,,"Trilha da RPPN Estação Veracel, ao lado da plataforma, onde sai na Polícia Federal de Porto Seguro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Bignoniaceae","Tabebuia",,"Gomes ex DC.","BIGNONIACEAE Tabebuia Gomes ex DC.","RB00720133","x","RB","Daneu, L.","284",,"2010",,,"Latão","Ouro",,,"Trilha da divisa do bloco 3 e 4 da RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","CEPEC00127571","x","CEPEC","Daneu, L.","306",,,,,"Latão","Ouro",,,"Trilha do Pequí, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL",,"Bromeliaceae","Catopsis","berteroana","(Schult. & Schult.f.) Mez","BROMELIACEAE Catopsis berteroana (Schult. & Schult.f.) Mez","GCPP00000492","splink","GCPP","Santos, V.C.","238",,"2018","Santos, V.C.","2018","Bronze","Ouro",,"Porto Seguro","RPPN Estação Veracel - Setores 6 e 7. RPPN"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL",,"Bromeliaceae","Catopsis","berteroana","(Schult. & Schult.f.) Mez","BROMELIACEAE Catopsis berteroana (Schult. & Schult.f.) Mez","GCPP00000493","splink","GCPP","Santos, V.C.","239",,"2018","Santos, V.C.","2018","Bronze","Ouro",,"Porto Seguro","RPPN Estação Veracel - Setores 6 e 7. RPPN"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Caricaceae","Jacaratia",,"A.DC.","CARICACEAE Jacaratia A.DC.","251591","x","HUEFS","Moraes, P.L.R.","4321",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Caricaceae","Jacaratia",,"A.DC.","CARICACEAE Jacaratia A.DC.","100882731","x","MO","Moraes, P.L.R.","4321",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","RB00722456","x","RB","Daneu, L.","302",,"2010","Melo, J.I.M.","2023","Bronze","Ouro",,,"Trilha do Pequi, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","RB00922936","x","RB","Daneu, L.","253",,"2010","Jardim, J.","2015","Bronze","Ouro",,,"Estrada dos blocos 2 e 3 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","MBML044423","x","MBML","Carvalho, G.M.","295",,"2010",,,"Latão","Ouro",,,"RPPN Estação Veracel. Floresta de Tabuleiros. Floresta Alta"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","215633","x","SPF","Carvalho, G.M.","368",,"2010",,,"Latão","Ouro",,,"RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","RB00774727","x","RB","Carvalho, G.M.","368",,"2010",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","127883","x","CEPEC","Daneu, L.","368",,"2010",,,"Latão","Ouro",,,"Trilha do Pequí, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Cordiaceae","Cordia",,"L.","CORDIACEAE Cordia L.","RB00778458","x","RB","Daneu, L.","368",,"2010",,,"Latão","Ouro",,,"Trilha do Pequi, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Ferns and Lycophytes","Cyatheaceae","Cyathea",,"J.Sm.","CYATHEACEAE Cyathea J.Sm.","100929847","x","MO","Moraes, P.L.R.","4316",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Eriocaulaceae",,,"Martinov","ERIOCAULACEAE Eriocaulaceae Martinov","68539","x","HRCB","Moraes, P.L.R.","4845",,"2015",,,"Latão","Ouro",,,"RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Adenophaedra",,"(Müll.Arg.) Müll.Arg.","EUPHORBIACEAE Adenophaedra (Müll.Arg.) Müll.Arg.","RB00770811","x","RB","Carvalho, G.M.","297",,"2010","J.f.carrion","2016","Bronze","Ouro",,,"RPPN Estação Veracel. Floresta de Tabuleiros. Floresta Alta. Interior de Floresta Alta, plato."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Dalechampia",,"L.","EUPHORBIACEAE Dalechampia L.","100880896","x","MO","Moraes, P.L.R.","4290",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Dalechampia",,"L.","EUPHORBIACEAE Dalechampia L.","100880897","x","MO","Moraes, P.L.R.","4291",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Dalechampia",,"L.","EUPHORBIACEAE Dalechampia L.","66542","x","HRCB","Moraes, P.L.R.","4291",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Dalechampia",,"L.","EUPHORBIACEAE Dalechampia L.","66541","x","HRCB","Moraes, P.L.R.","4290",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL",,"Euphorbiaceae","Indet",,,"EUPHORBIACEAE Indet. sp.","SPSF00050998",,"SPSF","Moraes, P.L.R.","4326",,"2014","Pereira, A.P.N.","2020","Bronze","Ouro",,"Porto Seguro","RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Euphorbiaceae","Sebastiania",,"Spreng.","EUPHORBIACEAE Sebastiania Spreng.","100880893","x","MO","Moraes, P.L.R.","4279",,"2014",,,"Latão","Ouro",,,"RPPN Estação Veracel."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Fabaceae","Clitoria",,"L.","FABACEAE Clitoria L.","RB00736307","x","RB","Daneu, L.","304",,"2010",,,"Latão","Ouro",,,"Trilha do Pequí, bloco 4 da RPPN Estação VERACEL."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Flacourtiaceae",,,"Mirb.","FLACOURTIACEAE Salicaceae Mirb.","MBML044099","x","MBML","Daneu, L.","272",,"2010",,,"Latão","Ouro",,,"Trilha do Pequi, bloco 4 da RPPN, Estação VERACEL. Vertente, Mata alta"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL","Angiosperms","Flacourtiaceae",,,"Mirb.","FLACOURTIACEAE Salicaceae Mirb.","127537","x","CEPEC","Daneu, L.","272",,"2010",,,"Latão","Ouro",,,"Trilha do Pequí, bloco 4 da RPPN Estação VERACEL."
