"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Anacardiaceae","Astronium","concinnum","Schott","ANACARDIACEAE Astronium concinnum Schott","SPF00175770",,"SPF","Jardim, J.G.","3926","Native","2001","Pirani, J.R.","2006","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/57/70/spf00175770.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/17/57/70/spf00175770_1.dzi","Jussari","RPPN Reserva Natural da Serra do Teimoso, Entrada 7.6 km da rod. Jussarí/Palmira. Faz. Teimoso 1.7 km da entrada. Sede da Reserva. Linha mestra das parcelas e trilha que leva ao topo da serra. Floresta Higrófila."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Solanaceae","Brunfelsia",,"L.","SOLANACEAE Brunfelsia L.","166937","splink","BHCB","Giacomin, L.L.","1984","Native","2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Solanaceae","Solanum","bahianum","S.Knapp","SOLANACEAE Solanum bahianum S.Knapp","HUEFS0204287","splink","HUEFS","Giacomin, L.L.","1975","Native","2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimosos, trilha que leva ao alto da serra. Subosque de Floresta Ombrófila Densa com afloramentos graníticos."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Solanaceae","Solanum","megalonyx","Sendtn.","SOLANACEAE Solanum megalonyx Sendtn.","HUEFS0204288","splink","HUEFS","Giacomin, L.L.","1977","Native","2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimosos, entrada da trilha que leva ao alto da serra. Borda de floresta secundária, próxima a casa."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Solanaceae","Solanum","paralum","Bohs","SOLANACEAE Solanum paralum Bohs","02240743","splink","NY","Giacomin, L.L.","1982","Native","2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Poaceae","Ichnanthus","nemoralis","(Schrad. ex Schult.) Hitchc. & Chase","POACEAE Ichnanthus nemoralis (Schrad. ex Schult.) Hitchc. & Chase","HUEFS00205236","x","HUEFS","Snak, C.","1067",,"2013","Silva, C.",,"Bronze","Ouro",,,"RPPN Reserva Natural da Serra do Teimoso, logo no início da trilha próximo ao reservatório de água."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Polypodiaceae","Campyloneurum",,"C.Presl","POLYPODIACEAE Campyloneurum C.Presl","166936","splink","BHCB","Giacomin, L.L.","1983","Native","2013","Salino, A.","0-0-0","Bronze","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso, Trilha que leva ao alto da Serra, ca. 3 km da sede. Em Floresta Ombrófila Densa próximo ao primeiro cume. Margem de riacho."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Polypodiaceae","Microgramma","vacciniifolia","(Langsd. & Fisch.) Copel.","POLYPODIACEAE Microgramma vacciniifolia (Langsd. & Fisch.) Copel.","166929","splink","BHCB","Giacomin, L.L.","1976",,"2013","Salino, A.","0-0-0","Bronze","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso, Trilha que leva ao alto da Serra. Subosque de Floresta Ombrófila Densa com afloramentos graníticos."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Sapotaceae","Chloroluma","gonocarpa","(Mart. & Eichler ex Miq.) Baill. ex Aubrév.","SAPOTACEAE Chloroluma gonocarpa (Mart. & Eichler ex Miq.) Baill. ex Aubrév.","SPF00230257","splink","SPF","Thomas, W.W.","12139",,"2000","Fiaschi, P.","2006","Bronze","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Cannabaceae","Celtis","orthacanthos","Planch.","CANNABACEAE Celtis orthacanthos Planch.","SPF00235835","splink","SPF","Pengel, H.O.","10",,"1998","Zamengo, H.B.S.","2022","Bronze","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Meliaceae","Trichilia",,"P.Browne","MELIACEAE Trichilia P.Browne","SPF00165661",,"SPF","Fiaschi, P.","1921","Native","2004",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/56/61/spf00165661.dzi","Jussari","RPPN Reserva Natural da Serra do Teimoso"
