"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","RB00868830","x","RB","Giacomin, L.L.","1985",,"2013",,,"Latão","Ouro",,,"RPPN Reserva Natural da Serra do Teimoso, trilha que leva ao alto da serra, ca. 3 km da sede."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Apocynaceae","Indet",,,"APOCYNACEAE Indet. sp.","SPF00205852","splink","SPF","Thomas, W.W.","12142",,"2000","Anonimo",,"Latão","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso, Fazenda Teimoso, 7 km NW of Jussari, Southern Bahian moist forest near transition with drier forests."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Meliaceae","Indet",,,"MELIACEAE Indet. sp.","SPF00165661","splink","SPF","Fiaschi, P.","1921",,"2004",,,"Latão","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Meliaceae","Indet",,,"MELIACEAE Indet. sp.","SPF00165662","splink","SPF","Fiaschi, P.","1972",,"2004",,,"Latão","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Meliaceae","Indet",,,"MELIACEAE Indet. sp.","SPF00158713",,"SPF","Fiaschi, P.","1216",,"2002",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/15/87/13/spf00158713.dzi","Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Meliaceae","Indet",,,"MELIACEAE Indet. sp.","SPF00232323","splink","SPF","Pengel, H.O.","14",,"1998",,,"Latão","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO","Angiosperms","Poaceae","Sucrea",,"Soderstr.","POACEAE Sucrea Soderstr.","HUEFS0205238","x","HUEFS","Snak, C.","1069",,"2013",,,"Latão","Ouro",,,"RPPN Reserva Natural da Serra do Teimoso, logo no início da trilha próximo ao reservatório de água."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Polypodiaceae","Indet",,,"POLYPODIACEAE Indet. sp.","166936","splink","BHCB","Giacomin, L.L.","1983",,"2013","Salino, A.","0-0-0","Bronze","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso, Trilha que leva ao alto da Serra, ca. 3 km da sede. Em Floresta Ombrófila Densa próximo ao primeiro cume. Margem de riacho."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Solanaceae","Indet",,,"SOLANACEAE Indet. sp.","3266","splink","BHZB","Giacomin, L.L.","1982",,"2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Solanaceae","Indet",,,"SOLANACEAE Indet. sp.","166934","splink","BHCB","Giacomin, L.L.","1981",,"2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL DA SERRA DO TEIMOSO",,"Solanaceae","Indet",,,"SOLANACEAE Indet. sp.","166937","splink","BHCB","Giacomin, L.L.","1984",,"2013",,,"Ouro","Ouro",,"Jussari","RPPN Reserva Natural da Serra do Teimoso"
