"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Clusiaceae","Clusia","panapanari","(Aubl.) Choisy","CLUSIACEAE Clusia panapanari (Aubl.) Choisy","UFRN00024477",,"UFRN","Tomaz, E.C.","138","Native","2017","Marinho, L.C.","2023","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/2/44/77/ufrn00024477.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rubiaceae","Amaioua",,"Aubl.","RUBIACEAE Amaioua Aubl.","UFRN00016657",,"UFRN","Jardim, J.G.","6580","Native","2014",,,"Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/57/ufrn00016657.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rubiaceae","Chomelia",,"Jacq.","RUBIACEAE Chomelia Jacq.","UFRN00016656",,"UFRN","Jardim, J.G.","6579","Native","2014",,,"Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/56/ufrn00016656.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rubiaceae","Faramea",,"Aubl.","RUBIACEAE Faramea Aubl.","UFRN00016661",,"UFRN","Jardim, J.G.","6584","Native","2014",,,"Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/61/ufrn00016661.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rubiaceae","Eumachia","chaenotricha","(DC.) C.M. Taylor & Razafim.","RUBIACEAE Eumachia chaenotricha (DC.) C.M. Taylor & Razafim.","UFRN00016659",,"UFRN","Jardim, J.G.","6582","Native","2014",,"2024","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/59/ufrn00016659.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Cactaceae","Pilosocereus","chrysostele","P.J.Braun & Esteves","CACTACEAE Pilosocereus chrysostele subsp. cearensis P.J.Braun & Esteves","UFRN00017128",,"UFRN","Lavor, P.","37","Native","2014","Zappi, D.C.","2020","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/71/28/ufrn00017128.dzi","Guaramiranga","Pico alto, Serra de Guaramiranga."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Bromeliaceae","Guzmania","monostachia","(L.) Rusby ex Mez","BROMELIACEAE Guzmania monostachia (L.) Rusby ex Mez","UFRN00016605",,"UFRN","Versieux, L.M.","753","Native","2014","Versieux, L.M.","2014","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/5/ufrn00016605.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rubiaceae","Hamelia","patens","Jacq.","RUBIACEAE Hamelia patens Jacq.","UFRN00016660",,"UFRN","Jardim, J.G.","6583","Native","2014","Jardim, J.G.","2014","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/66/60/ufrn00016660.dzi","Guaramiranga","Pico Alto."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Cucurbitaceae","Cayaponia","tayuya","(Vell.) Cogn.","CUCURBITACEAE Cayaponia tayuya (Vell.) Cogn.","IBGE00073470",,"IBGE","Marquete, R.","4296","Native","2010","Gomes-Klein, V.L.","2012","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/7/34/70/ibge00073470.jpg","Guaramiranga","Pico Alto, atrás da torre de telefonia. coordenadas coletadas."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Piperaceae","Piper","amalago","L.","PIPERACEAE Piper amalago L.","HUEFS0138568",,"HUEFS","Edilberto","41634","Native","2007","Monteiro, D.","2012","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/13/85/68/huefs00138568.dzi","Guaramiranga","Pico Alto. Cialne."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Ferns and Lycophytes","Apocynaceae","Aspidosperma","pyrifolium","Mart. & Zucc.","APOCYNACEAE Aspidosperma pyrifolium Mart. & Zucc.","IBGE00069111",,"IBGE","Gomes, V.","61-3","Native","2004","Castello, A.C.D.","2016","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/6/91/11/ibge00069111.jpg","Guaramiranga","Sítio Salva-Vidas."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Araceae","Philodendron","pedatum","(Hook.) Kunth","ARACEAE Philodendron pedatum (Hook.) Kunth","UFRN00005761",,"UFRN","Andrade, I.M.","528","Native","2002","Andrade, I.M.","2002","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/57/61/ufrn00005761.dzi","Guaramiranga","Serra de Baturité, Sítio Arvoredo."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Sapindaceae","Allophylus",,"L.","SAPINDACEAE Allophylus L.","ASE0023725",,"ASE","Figueiredo, M.A.","ASE17040","Native","1994","Ferrucci, M.S.","1997","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ase/ase/0/2/37/25/ase00023725.dzi","Guaramiranga","Sítio Cana Brava, M. das Pedrinhas, S. de Baturité"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Solanaceae","Brunfelsia","uniflora","(Pohl) D.Don","SOLANACEAE Brunfelsia uniflora (Pohl) D.Don","IBGE00069373",,"IBGE","Oliveira, M.R.","416","Native","1994","Agra, M.F.","1997","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/6/93/73/ibge00069373.jpg","Guaramiranga","Sitio Cana Brava. Folha Cartográfica SB-24-X-A. Coordenada Calculada."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Anacardiaceae","Thyrsodium","spruceanum","Benth.","ANACARDIACEAE Thyrsodium spruceanum Benth.","ASE0023773",,"ASE","Oliveira, M.R.","ASE16996","Native","1994","Pirani, J.R.","1994","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ase/ase/0/2/37/73/ase00023773.dzi","Guaramiranga","Sítio Cana Brava"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Fabaceae","Machaerium","hirtum","(Vell.) Stellfeld","FABACEAE Machaerium hirtum (Vell.) Stellfeld","EAC00020492",,"EAC","Oliveira, M.R.L.","89","Native","1993","Lima, H.C.","2002","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/eac/eac/0/2/4/92/eac00020492.dzi","Guaramiranga","Sítio Cana Brava"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Sapindaceae","Serjania","obtusidentata","Radlk.","SAPINDACEAE Serjania obtusidentata Radlk.","ASE0023640",,"ASE","Oliveira, M.R.","ASE17096","Native","1993","Ferrucci, M.S.","1997","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ase/ase/0/2/36/40/ase00023640.dzi","Guaramiranga","Sítio Cana Brava"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Rutaceae","Esenbeckia","grandiflora","Mart.","RUTACEAE Esenbeckia grandiflora subsp. grandiflora Mart.","EAC00021018",,"EAC","Oliveira, M.R.L.","160","Native","1993","Pirani, J.R.","1994","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/eac/eac/0/2/10/18/eac00021018.dzi","Guaramiranga","Sítio Cana Brava"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Poaceae","Setaria","sulcata","Raddi","POACEAE Setaria sulcata Raddi","IBGE00012978",,"IBGE","Fernandes, A.","s.n","Native","1981","Filgueiras, T.S.","1999","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/1/29/78/ibge00012978.jpg","Guaramiranga","Serra de Baturité. Coordenada calculada."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Fabaceae","Senna","pilifera","(Vogel) H.S.Irwin & Barneby","FABACEAE Senna pilifera (Vogel) H.S.Irwin & Barneby","UFRN00006571",,"UFRN","Fernandes, A.","s.n.","Native","1976","Fernandes, A.","1995","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/65/71/ufrn00006571.dzi","Guaramiranga","Serra de Baturité, Sítio Venezuela."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DE BATURITÉ","Angiosperms","Fabaceae","Periandra","coccinea","(Schrad.) Benth.","FABACEAE Periandra coccinea (Schrad.) Benth.","UFRN00006298",,"UFRN","Fernandes, A.","UFRN6298","Native","1959","Fernandes, A.","1959","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/62/98/ufrn00006298.dzi","Guaramiranga","Serra de Baturité."
