"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bignoniaceae","Fridericia","chica","(Bonpl.) L.G.Lohmann","BIGNONIACEAE Fridericia chica (Bonpl.) L.G.Lohmann","HUEFS00246675",,"HUEFS","Frazao, A.","168","Native","2015","Zuntini, A.","2015","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/24/66/75/huefs00246675.dzi","Crato","Floresta Nacional do Araripe-Apodi. Cancelão. Em beira de estrada, área com alta luminosidade. Solo argilo-arenoso."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Rubiaceae","Coccocypselum","guianense","(Aubl.) K.Schum.","RUBIACEAE Coccocypselum guianense (Aubl.) K.Schum.","UFRN00017542",,"UFRN","Ferreira, E.V.R.","274","Native","2011","Jardim, J.G.","2014","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/75/42/ufrn00017542_2.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/75/42/ufrn00017542_1.dzi","Barbalha","FLONA Araripe-Apodi, Trilha para a nascente dos Cocos. Área prioritária para conservação: CA-397-Chapada do Araripe- 1 - Extremamente alta."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Polygalaceae","Senega","paniculata","(L.) J.F.B.Pastore & J.R.Abbott","POLYGALACEAE Senega paniculata (L.) J.F.B.Pastore & J.R.Abbott","HUEFS178769",,"HUEFS","Ferreira, E.V.R.","293","Native","2011","Pastore, J.F.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/17/87/69/huefs00178769.dzi","Barbalha","FLONA Araripe-Apodi, Trilha para a nascente dos Cocos. CA-397-Chapada do Araripe-1."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Poaceae","Setaria","tenax","(Rich.) Desv.","POACEAE Setaria tenax (Rich.) Desv.","IBGE00061277",,"IBGE","Simon, M.F.","216","Native","1999","Valls, J.F.M.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/6/12/77/ibge00061277.jpg","Crato","Floresta Nacional do Araripe. Coordenada calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Salicaceae","Piparea","multiflora","C. F. Gaertn.","SALICACEAE Piparea multiflora C. F. Gaertn.","IBGE00069823",,"IBGE","Miranda, A.M.","3095","Native","1999","Marquete, R.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/6/98/23/ibge00069823.jpg","Crato","Floresta Nacional do Araripe. Coordenada Calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Amaranthaceae","Alternanthera","brasiliana","(L.) Kuntze","AMARANTHACEAE Alternanthera brasiliana (L.) Kuntze","IBGE00069780",,"IBGE","Miranda, A.M.","3316","Native","1999","Siqueira, J.C.","2003","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/6/97/80/ibge00069780.jpg","Crato","Floresta Nacional do Araripe, estrada do aeroporto. Folha Cartográfica: SB-24-Y-D. Coordenada Calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Apocynaceae","Temnadenia","violacea","(Vell.) Miers","APOCYNACEAE Temnadenia violacea (Vell.) Miers","HVASF1772","x","HVASF","Ferreira, E.V.R.","286","Native","2011","Rapini, A.",,"Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bromeliaceae","Aechmea","bromeliifolia","(Rudge) Baker","BROMELIACEAE Aechmea bromeliifolia (Rudge) Baker","HVASF3911","x","HVASF","Ferreira, E.V.R.","328","Native","2011","Siqueira Filho, J.A.",,"Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Myrtaceae","Myrcia","splendens","(Sw.) DC.","MYRTACEAE Myrcia splendens (Sw.) DC.","12510","x","HVASF","Ferreira, E.V.R.","273","Native","2011","Rosa, P.O.","2016","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Poaceae","Hildaea","pallens","(Sw.) C.Silva & R.P.Oliveira","POACEAE Hildaea pallens (Sw.) C.Silva & R.P.Oliveira","78253","x","CEN","Ferreira-Hvasf, E.V.R.","278","Native","2011","Valls, J.F.M.","2016","Ouro","Ouro",,,"Brasil - Ceará - Barbalha, FLONA Araripe-Apodi trilha para a nascente dos Cocos, área prioritária para conservação CA-397-Chapada do Araripe-1."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Rubiaceae","Borreria","diacrodonta","L.M. Miguel & E.L. Cabral","RUBIACEAE Borreria diacrodonta L.M. Miguel & E.L. Cabral","12514","x","HVASF","Ferreira, E.V.R.","277","Native","2011","Souza, E.B.","2015","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Ochnaceae","Ouratea","parvifolia","(A.St.-Hil.) Engl.","OCHNACEAE Ouratea parvifolia (A.St.-Hil.) Engl.","HVASF012537","splink","HVASF","Ferreira, E.V.R.","300","Native","2011","Chacon, R.G.","2014","Ouro","Ouro",,"Barbalha","FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Salicaceae","Casearia","grandiflora","Cambess.","SALICACEAE Casearia grandiflora Cambess.","12560","x","HVASF","Ferreira, E.V.R.","324","Native","2011","Marquete, R.","2013","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Myrtaceae","Myrcia","guianensis","(Aubl.) DC.","MYRTACEAE Myrcia guianensis (Aubl.) DC.","12525","x","HVASF","Ferreira, E.V.R.","288","Native","2011","Proenca, C.","2012","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Myrtaceae","Myrcia","multiflora","(Lam.) DC.","MYRTACEAE Myrcia multiflora (Lam.) DC.","12519","x","HVASF","Ferreira, E.V.R.","282","Native","2011","Proenca, C.","2012","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Turneraceae","Turnera","melochioides","Urb.","TURNERACEAE Turnera melochioides var. latifolia Urb.","12531","x","HVASF","Ferreira, E.V.R.","294","Native","2011","Arbo, M.M.","2012","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Acanthaceae","Dicliptera","ciliaris","Juss.","ACANTHACEAE Dicliptera ciliaris Juss.","HVASF20","x","HVASF","Ferreira, E.V.R.","296","Native","2011","Kameyama, C.","2011","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bromeliaceae","Aechmea","bromeliifolia","Philcox","BROMELIACEAE Aechmea bromeliifolia var. albobracteata Philcox","12564","x","HVASF","Ferreira, E.V.R.","328","Native","2011","Siqueira Filho, J.A.","2011","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bromeliaceae","Tillandsia","mallemontii","Glaz. ex Mez","BROMELIACEAE Tillandsia mallemontii Glaz. ex Mez","HURB000025666","splink","HURB","Ferreira, E.V.R.","279","Native","2011","Siqueira Filho, J.A.","2011","Ouro","Ouro",,"Barbalha","FLONA Araripe-Apodi."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bromeliaceae","Tillandsia","recurvata","(L.) L.","BROMELIACEAE Tillandsia recurvata (L.) L.","HVASF4485","x","HVASF","Ferreira, E.V.R.","279","Native","2011","Siqueira Filho, J.A.","2011","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Cocos"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Cucurbitaceae","Momordica","charantia","L.","CUCURBITACEAE Momordica charantia L.","12543","x","HVASF","Ferreira, E.V.R.","306","Native","2011","Klein, V.L.G.","2011","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Malpighiaceae","Byrsonima","variabilis","A.Juss.","MALPIGHIACEAE Byrsonima variabilis A.Juss.","12557","x","HVASF","Ferreira, E.V.R.","320","Native","2011","Sebastiani, R.","2011","Ouro","Ouro",,,"FLONA Araripe-Apodi, Trilha para a nascente dos Mundés"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Rubiaceae","Coussarea","contracta","(Walp.) Müll.Arg.","RUBIACEAE Coussarea contracta (Walp.) Müll.Arg.","IBGE00069730","splink","IBGE","Miranda, A.M.","337","Native","1999","Jardim, J.G.","2010","Ouro","Ouro",,"Crato","Floresta Nacional do Araripe. Guaripas. Coordenada calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Fabaceae","Leptolobium","dasycarpum","Vogel","FABACEAE Leptolobium dasycarpum Vogel","BHCB002957","splink","BHCB","Miranda, A.M.","3099","Native","1999","Lima, H.C.","2009","Ouro","Ouro",,"Crato","Floresta Nacional Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Euphorbiaceae","Euphorbia","heterophylla","L.","EUPHORBIACEAE Euphorbia heterophylla L.","BHCB004898","splink","BHCB","Miranda, A.M.","3378","Native","1999","Lucena, M.F.A.","2007","Ouro","Ouro",,"Crato","Floresta Nacional Araripe-Apodi, Guaribas, margem da rodovia"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Asteraceae","Elephantopus","mollis","Kunth","ASTERACEAE Elephantopus mollis Kunth","77654","splink","BHCB","Miranda, A.M.","3381","Native","1999","Semir, J.","1999","Ouro","Ouro",,"Crato","Floresta Nacional Araripe-Apodi, Guaribas."
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Euphorbiaceae","Croton","jacobinensis","Baill.","EUPHORBIACEAE Croton jacobinensis Baill.","BHCB050573","splink","BHCB","Miranda, A.M.","3140","Native","1999","Lucena, M.F.A.","1999","Ouro","Ouro",,"Crato","Floresta Nacional Araripe-Apodi, Guaribas"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Solanaceae","Solanum","campaniforme","Roem. & Schult.","SOLANACEAE Solanum campaniforme Roem. & Schult.","18722","x","BHCB","Martins, P.","s.n.","Native","1979","Agra, M.F.","1998","Ouro","Ouro",,,"Floresta Nacional Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI",,"Proteaceae","Roupala","montana","Aubl.","PROTEACEAE Roupala montana Aubl.","IBGE00069744","splink","IBGE","Miranda, A.M.","3094",,"1999","Guedes, M.L.","2010","Prata","Ouro",,"Crato","Floresta Nacional do Araripe. Coordenada calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI",,"Sapindaceae","Serjania","lethalis","A.St.-Hil.","SAPINDACEAE Serjania lethalis A.St.-Hil.","IBGE00069105","splink","IBGE","Roberto, P.","s.n.",,"1997","Lima-Verde, L.W.","1997","Prata","Ouro",,"Crato","Ch. Araripe - FLONA. Coordenada Calculada. Floresta Nacional do Araripe-Apodi"
"FLORESTA NACIONAL ARARIPE-APODI","Angiosperms","Bignoniaceae","Anemopaegma","laeve","DC.","BIGNONIACEAE Anemopaegma laeve DC.","HUEFS00246689",,"HUEFS","Frazao, A.","169","Naturalized","2015","Frazao, A.","2015","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/24/66/89/huefs00246689.dzi","Crato","Floresta Nacional do Araripe-Apodi. Cancelão. Em beira de estrada, área com alta luminosidade. Solo argilo-arenoso."
"FLORESTA NACIONAL ARARIPE-APODI",,"Caryocaraceae","Caryocar","brasiliense","Cambess.","CARYOCARACEAE Caryocar brasiliense Cambess.","UFRN00018184",,"UFRN","Ferreira, E.V.R.","304",,"2011","Ferreira, E.V.R.","2011","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/1/81/84/ufrn00018184.dzi","Barbalha","FLONA Araripe-Apodi, Trilha para a nascente dos Mundés."
