"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Pityrocarpa","moniliformis","(Benth.) Luckow & R.W.Jobson","FABACEAE Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson","IBGE00085412",,"IBGE","Nascimento, F.H.F.","1403","Native","2014","Ribeiro, P.G.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/12/ibge00085412.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Cenostigma","nordestinum","Gagnon & G.P.Lewis","FABACEAE Cenostigma nordestinum Gagnon & G.P.Lewis","IBGE00085479",,"IBGE","Nascimento, F.H.F.","1426","Native","2014","Queiroz, L.P.","2016","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/79/ibge00085479.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Erythroxylaceae","Erythroxylum","bezerrae","Plowman","ERYTHROXYLACEAE Erythroxylum bezerrae Plowman","EAC0058213",,"EAC","Teixeira, D.","1","Native","2014","Loiola, M.I.B.","2015","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/eac/eac/0/5/82/13/eac00058213.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Ancistrotropis","peduncularis","(Fawc. & Rendle) A.Delgado","FABACEAE Ancistrotropis peduncularis (Fawc. & Rendle) A.Delgado","IBGE00085411",,"IBGE","Nascimento, F.H.F.","1401","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/11/ibge00085411.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Bauhinia","acuruana","Moric.","FABACEAE Bauhinia acuruana Moric.","IBGE00085419",,"IBGE","Nascimento, F.H.F.","1406","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/19/ibge00085419.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Bauhinia","cheilantha","(Bong.) Steud.","FABACEAE Bauhinia cheilantha (Bong.) Steud.","IBGE00085413",,"IBGE","Nascimento, F.H.F.","1400","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/13/ibge00085413.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Bauhinia","pulchella","Benth.","FABACEAE Bauhinia pulchella Benth.","IBGE00085410",,"IBGE","Nascimento, F.H.F.","1398","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/10/ibge00085410.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Chamaecrista","nictitans","(L.) Moench","FABACEAE Chamaecrista nictitans (L.) Moench","IBGE00085460",,"IBGE","Nascimento, F.H.F.","1419","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/60/ibge00085460.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Chamaecrista","tenuisepala","(Benth.) H.S.Irwin & Barneby","FABACEAE Chamaecrista tenuisepala (Benth.) H.S.Irwin & Barneby","IBGE00085455",,"IBGE","Nascimento, F.H.F.","1418","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/55/ibge00085455.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Cratylia","mollis","Mart. ex Benth.","FABACEAE Cratylia mollis Mart. ex Benth.","IBGE00085462",,"IBGE","Nascimento, F.H.F.","1422","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/62/ibge00085462.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Mimosa","verrucosa","Benth.","FABACEAE Mimosa verrucosa Benth.","IBGE00085414",,"IBGE","Nascimento, F.H.F.","1405","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/14/ibge00085414.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Senna","splendida","(Vogel) H.S.Irwin & Barneby","FABACEAE Senna splendida (Vogel) H.S.Irwin & Barneby","IBGE00085409",,"IBGE","Nascimento, F.H.F.","1393","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/9/ibge00085409.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Senna","trachypus","(Benth.) H.S.Irwin & Barneby","FABACEAE Senna trachypus (Benth.) H.S.Irwin & Barneby","IBGE00085405",,"IBGE","Nascimento, F.H.F.","1385","Native","2014","Queiroz, L.P.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ibge/ibge/0/8/54/5/ibge00085405.jpg","Crateús","RPPN Serra das Almas. RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Dioscoreaceae","Dioscorea","glandulosa","(Klotzsch ex Griseb.) Kunth","DIOSCOREACEAE Dioscorea glandulosa (Klotzsch ex Griseb.) Kunth","UFRN00002440",,"UFRN","Costa, R.C.","15","Native","2005","Xifreda, C.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/24/40/ufrn00002440.dzi","Crateús","RPPN Serra das Almas. Carrasco."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Commelinaceae","Aneilema","brasiliense","C.B.Clarke","COMMELINACEAE Aneilema brasiliense C.B.Clarke","UFRN00002436",,"UFRN","Costa, R.C.","168","Naturalized","2003","Aona, L.Y.S.","2017","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/24/36/ufrn00002436.dzi","Crateús","Grajau - RPPN - Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Croton","blanchetianus","Baill.","EUPHORBIACEAE Croton blanchetianus Baill.","UFRN00002298",,"UFRN","Costa, R.C.","360","Native","2003","Lucena, M.F.A.","2007","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/98/ufrn00002298.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Myrtaceae","Myrcia","amazonica","DC.","MYRTACEAE Myrcia amazonica DC.","UFRN00002433",,"UFRN","Costa, R.C.","241","Native","2003","Sobral, M.","2006","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/24/33/ufrn00002433.dzi","Crateús","RPPN Serra das Almas., Mata seca."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Centrosema","brasilianum","(L.) Benth.","FABACEAE Centrosema brasilianum (L.) Benth.","UFRN00002278",,"UFRN","Costa, R.C.","451","Native","2003","Nunes, E.","2003","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/78/ufrn00002278.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Apocynaceae","Tabernaemontana","catharinensis","A.DC.","APOCYNACEAE Tabernaemontana catharinensis A.DC.","HUEFS079627",,"HUEFS","Araujo, F.S.","1595","Native","2002","Souza-Silva, R.F.","7/7","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/7/96/27/huefs00079627.dzi","Crateús","RPPN Serra das Almas"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Manihot","baccata","Allem","EUPHORBIACEAE Manihot baccata Allem","UFRN00002297",,"UFRN","Araujo, F.S.","1305","Native","2002","Martins, M.","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/97/ufrn00002297.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Croton","nepetifolius","Baill.","EUPHORBIACEAE Croton nepetifolius Baill.","UFRN00002301",,"UFRN","Araujo, F.S.","1282","Native","2002","Lucena, M.F.A.","2008","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/23/1/ufrn00002301.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Croton","grewioides","Baill.","EUPHORBIACEAE Croton grewioides Baill.","UFRN00002299",,"UFRN","Araujo, F.S.","1281",,"2002","Cordeiro, I.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/99/ufrn00002299.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Dalechampia","pernambucensis","Baill.","EUPHORBIACEAE Dalechampia pernambucensis Baill.","UFRN00002300",,"UFRN","Araujo, F.S.","1428","Native","2002","Cordeiro, I.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/23/0/ufrn00002300.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Bauhinia","ungulata","L.","FABACEAE Bauhinia ungulata L.","UFRN00002351",,"UFRN","Araujo, F.S.","1569","Native","2002","Nunes, E.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/23/51/ufrn00002351.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Chamaecrista","barbata","(Nees & Mart.) H.S.Irwin & Barneby","FABACEAE Chamaecrista barbata (Nees & Mart.) H.S.Irwin & Barneby","UFRN00002257",,"UFRN","Araujo, F.S.","1573","Native","2002","Nunes, E.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/57/ufrn00002257.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Periandra","coccinea","(Schrad.) Benth.","FABACEAE Periandra coccinea (Schrad.) Benth.","UFRN00002279",,"UFRN","Araujo, F.S.","1419","Native","2002","Nunes, E.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/79/ufrn00002279.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Senna","cearensis","Afr.Fern.","FABACEAE Senna cearensis Afr.Fern.","UFRN00002268",,"UFRN","Araujo, F.S.","1433","Native","2002","Nunes, E.","2002","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/22/68/ufrn00002268.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Euphorbiaceae","Gymnanthes","boticario","Esser, M. F. A. Lucena & M. Alves","EUPHORBIACEAE Gymnanthes boticario Esser, M. F. A. Lucena & M. Alves","UFRN00002303",,"UFRN","S. Sobrinho, M.","8","Native","2001","Oliveira, L.S.D.","2011","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ufrn/ufrn/0/0/23/3/ufrn00002303.dzi","Crateús","RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Piptadenia","retusa","(Jacq.) P.G.Ribeiro, Seigler & Ebinger","FABACEAE Piptadenia retusa (Jacq.) P.G.Ribeiro, Seigler & Ebinger","211950","x","HUEFS","Nascimento, F.H.F.","1650","Native","2017","Ribeiro, P.G.","2020","Ouro","Ouro",,,"RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Apocynaceae","Aspidosperma",,"Mart. & Zucc.","APOCYNACEAE Aspidosperma Mart. & Zucc.","UEC167562","splink","UEC","Castello, A.C.D.","172","Native","2015",,,"Ouro","Ouro",,"Crateús","Trilha Lajeiros, RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Apocynaceae","Aspidosperma","pyrifolium","Mart. & Zucc.","APOCYNACEAE Aspidosperma pyrifolium Mart. & Zucc.","UEC190392","splink","UEC","Castello, A.C.D.","187","Native","2015",,,"Ouro","Ouro",,"Crateús","próximo ao centro ecológico da RPPN Serra das Almas, Grajal"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Erythroxylaceae","Erythroxylum","laetevirens","O.E.Schulz","ERYTHROXYLACEAE Erythroxylum laetevirens O.E.Schulz","EAC00058214","x","EAC","Teixeira, D.","2","Native","2015","Loiola, M.I.B.",,"Ouro","Ouro",,,"RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Cassia","ferruginea","(Schrad.) Schrad. ex DC.","FABACEAE Cassia ferruginea (Schrad.) Schrad. ex DC.","211948","x","HUEFS","Nascimento, F.H.F.","1648","Native","2015","Queiroz, L.P.","2014","Ouro","Ouro",,,"RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Libidibia","juca","F.G.A.Oliveira & L.P.Queiroz","FABACEAE Libidibia juca F.G.A.Oliveira & L.P.Queiroz","211575","x","HUEFS","Nascimento, F.H.F.","1315","Native","2014","Oliveira, F.G.","2024","Ouro","Ouro",,,"RPPN Serra das Almas."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DAS ALMAS","Angiosperms","Fabaceae","Macropsychanthus","megacarpus","(Rolfe) L.P.Queiroz & Snak","FABACEAE Macropsychanthus megacarpus (Rolfe) L.P.Queiroz & Snak","211652","x","HUEFS","Nascimento, F.H.F.","1392","Native","2014","Queiroz, L.P.","2021","Ouro","Ouro",,,"RPPN Serra das Almas."
