"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Acrochaetiaceae","Acrotheca",,,"ACROCHAETIACEAE Acrotheca sp.","URM0036263","splink","URM","Heringer, E.P.","s.n.",,"1963","Batista, A.C.",,"Bronze","Prata",,"Brasília","Rio São Bartolomeu, Margem"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Asteraceae","Calea","ferruginosa",,"ASTERACEAE Calea ferruginosa","116027","splink","IAN","Pires, J.M.","9366",,"1963","Cabrera, A.L.","1964","Ouro","Prata",,"Brasília","Sobradinho,Granja Rui Malta."
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Aytoniaceae","Asteromella","caldensis","(C. Massal.) Petr.","AYTONIACEAE Asteromella caldensis (C. Massal.) Petr.","URM0060299","splink","URM","Heringer, E.P.","s.n.",,"1965","Batista, A.C.",,"Bronze","Prata",,"Brasília","Rio São Bartolomeu"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Dennstaedtiaceae","Micropeltidaceae",,,"DENNSTAEDTIACEAE Micropeltidaceae sp.","URM0048400","splink","URM","Heringer, E.P.","s.n.",,"1964","Batista, A.C.",,"Bronze","Prata",,"Brasília","Sobradinho"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Gentianaceae","Chelonanthus","abditus","Calió & Pirani","GENTIANACEAE Chelonanthus abditus Calió & Pirani","UEC134452","splink","UEC","Heringer, E.P.","3440",,"1980","Calio, M.F.","2010","Ouro","Prata",,"Brasília","Bacia do Rio São Bartolomeu."
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Lamiaceae","Hyptis","hilariana","Benth.","LAMIACEAE Hyptis hilariana Benth.","118806","splink","IAN","Belem, R.P.","486",,"1965","Harley, R.M.","2014","Ouro","Prata",,"Brasília","Sobradinho. Cerrado úmido."
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Lamiaceae","Stachybotrys","clitoriae","Bat. & Peres","LAMIACEAE Stachybotrys clitoriae Bat. & Peres","URM0054718","splink","URM","Heringer, E.P.","s.n.",,"1965","Batista, A.C.",,"Bronze","Prata",,"Brasília","Rio São Bartolomeu"
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Lophocoleaceae","Heteroxyphus",,,"LOPHOCOLEACEAE Heteroxyphus sp.","UB1170587","splink","UB","Soares, A.E.R.","55",,"2009","Soares, A.E.R.","2009","Bronze","Ouro",,"Brasília","APA da Bacia do rio São Bartolomeu. Reserva da Escola Técnica Federal de Brasília - Unidade Agrotécnica de Planaltina. Próximo ao acampamento do MST, DF-330, interior da mata, descida rumo ao curso d´ água."
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Lophocoleaceae","Heteroxyphus",,,"LOPHOCOLEACEAE Heteroxyphus sp.","UB1170587",,"UB","Soares, A.E.R.","55",,"2009","Soares, A.E.R.","2009","Bronze","Ouro",,"Brasília","APA da Bacia do rio São Bartolomeu. Reserva da Escola Técnica Federal de Brasília - Unidade Agrotécnica de Planaltina. Próximo ao acampamento do MST, DF-330, interior da mata, descida rumo ao curso d´ água."
"ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO SÃO BARTOLOMEU",,"Malpighiaceae","Heteropterys","duarteana","A.Juss.","MALPIGHIACEAE Heteropterys duarteana A.Juss.","IBGE00001941",,"IBGE","Heringer, E.P.","3533",,"1980","Mamede, M.C.H.","2016","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/0/19/41/ibge00001941.dzi","Brasília","Bacia do Rio São Bartolomeu. Folha Cartográfica SD-23-Y-C Coordenada Calculada."
