"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Fabaceae","Chamaecrista","septemtrionalis","(Viv.) H.S. Irwin & Barneby","FABACEAE Chamaecrista septemtrionalis (Viv.) H.S. Irwin & Barneby","UB1337700",,"UB","Irwin, H.S.","15611",,"1966","Barneby, R.",,"Ouro","Prata",,"Brasília","Córrego Landim, ca. 20 Km. N.E of Brasília, DF."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Magnoliaceae",,,,"MAGNOLIACEAE Magnoliopsida sp.","155466","x","UEC","Chacon, R.G.","794",,"2010",,,"Latão","Ouro",,"Brasília","APA Cafuringa, Em frente à fazenda C-1167 em direção Padre Bernardo, 6km depois do ribeirão Cafuringa. Ponto 4."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Myrtaceae","Campomanesia","aulomyrcia","(DC.) O.Berg","MYRTACEAE Campomanesia aulomyrcia variabilis (DC.) O.Berg","FUEL028769","splink","FUEL","Soares-Silva, L.H.","1342",,"2002","Soares-Silva, L.H.","2022","Ouro","Ouro",,"Brasília","Fazenda Palestina., APA de Cafuringa. Salto do Rio do Sal"
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Myrtaceae","Myrcia","hirea",,"MYRTACEAE Myrcia hirea","UB1357548",,"UB","Heringer, E.P.","12132",,"1972","Ignorado",,"Bronze","Prata",,"Brasília","Chapada da Contagem."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Myrtaceae","Myrcia","hirea",,"MYRTACEAE Myrcia hirea","UB1357548","splink","UB","Heringer, E.P.","12132",,"1972","Ignorado",,"Bronze","Prata",,"Brasília","Chapada da Contagem."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,"Myrtaceae","Siphoneugena","rostrata","Matteri","MYRTACEAE Siphoneugena rostrata Matteri","UB1094892",,"UB","Irwin, H.S.","5318",,"1964","Proenca, C.E.B.","1984","Ouro","Prata",,"Brasília","Chapada da Contagem, ca. 20 km E of Brasília."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,,,,,"NA ?","U.1779958","splink","L","Pereira, B.A.S.","Pereira, BAS; Alvarenga, D 2236",,"1992",,,"Latão","Ouro",,"Brasília","Distrito federal. Apa de Cafuringa. Fazenda Dois Irmaos."
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,,"Camarosporium","hendersonioides","Gonz. Frag.","NA Camarosporium hendersonioides Gonz. Frag.","URM0072204","splink","URM","Heringer, E.P.","s.n.",,"1970","Peres, G.","1972","Bronze","Prata",,"Brasília","Chapada da Contagem, Cerrado"
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,,"Canoparmelia",,,"NA Canoparmelia sp.","UB0119084","splink","UB","Eiten, G.","13",,"1973","Souza, M.G.M.","2025","Bronze","Prata",,"Brasília","Chapada da Contagem. Canyon head at north edge of Chapada da Contagem, 19 km N e 2 km W of the center of Brasília. Steep slope of mid level on valley side in cerrado on tree woodland"
"ÁREA DE PROTEÇÃO AMBIENTAL CAFURINGA",,,"Canoparmelia",,,"NA Canoparmelia sp.","UB0119085","splink","UB","Eiten, G.","14",,"1973","Souza, M.G.M.","2025","Bronze","Prata",,"Brasília","Chapada da Contagem. Canyon head at north edge of Chapada da Contagem, 19 km N e 2 km W of the center of Brasília. Steep slope of mid level on valley side in cerrado on tree woodland"
