"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Asteraceae","Lepidaploa","aurea","(Mart. ex DC.) H.Rob.","ASTERACEAE Lepidaploa aurea (Mart. ex DC.) H.Rob.","UB00054577",,"UB","Bijos, N.R.","PP-ESECAE244","Native","2013","Bringel, J.B.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/5/45/77/ub00054577.dzi","Brasília","Estação Ecológica Águas Emendadas (ESECAE). ACG 21 TR MI B de SII."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Asteraceae","Aldama","bracteata","(Gardner) E.E.Schill. & Panero","ASTERACEAE Aldama bracteata (Gardner) E.E.Schill. & Panero","UB00116732",,"UB","Zanatta, M.R.V.","1251","Native","2012","Bringel, J.B.","2021","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ub/ub/0/11/67/32/ub00116732.dzi","Brasília","Estação Ecológica de Águas Emendadas (ESECAE)."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Poaceae","Saccharum","villosum","Steud.","POACEAE Saccharum villosum Steud.","IBGE00073521",,"IBGE","Ribeiro, D.G.","202","Native","2010","Filgueiras, T.S.","2010","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/7/35/21/ibge00073521.dzi","Brasília","Entrada do marco Castro Alves, lado esquerdo da trilha. Folha Cartográfica SD-23-Y-C Coordenada Coletada. Estação Ecológica de Águas Emendadas"
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Clusiaceae","Clusia","nemorosa","G.Mey.","CLUSIACEAE Clusia nemorosa G.Mey.","IBGE00063432",,"IBGE","Ribeiro, D.","140","Native","2006","Bittrich, V.","2006","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/6/34/32/ibge00063432.dzi","Brasília","Folha Cartográfica SC-23-Y-C Coordenada Calculada. Estação ecologica águas emendadas."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Rubiaceae","Palicourea","trichophora","(Müll. Arg.) Delprete & J.H.Kirkbr.","RUBIACEAE Palicourea trichophora (Müll. Arg.) Delprete & J.H.Kirkbr.","IBGE00064315",,"IBGE","Consolaro, H.","135","Native","2005","Delprete, P.G.","2012","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/6/43/15/ibge00064315.dzi","Brasília","Estação Ecológica de Águas Emendadas. Região Administrativa de Planatina (RA VI). Folha: SD-23-Y-C. Coordenada calculada."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Rubiaceae","Palicourea","hoffmannseggiana","(Roem. & Schult.) Borhidi","RUBIACEAE Palicourea hoffmannseggiana (Roem. & Schult.) Borhidi","IBGE00064324",,"IBGE","Consolaro, H.","144","Native","2005","Delprete, P.G.","2006","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/6/43/24/ibge00064324.dzi","Brasília","Região Administrativa de Planaltina (RA VI). Estação Ecológica de Águas Emendadas. Mata de galeria da CAESB. Coordenada calculada."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Annonaceae","Annona","monticola","Mart.","ANNONACEAE Annona monticola Mart.","TEPB0022358",,"TEPB","Pontes, A.F.","574","Native","2002",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/tepb/tepb/0/22/35/8/tepb0022358.dzi","Brasília","Estação Ecológica de Águas Emendadas a cerca de 40Km de Brasília. Cerrado na beira da estrada de terra que vai para o córrego Vereda Grande."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Annonaceae","Duguetia","furfuracea","(A.St.-Hil.) Saff.","ANNONACEAE Duguetia furfuracea (A.St.-Hil.) Saff.","TEPB0022359",,"TEPB","Pontes, A.F.","571","Native","2002",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/tepb/tepb/0/22/35/9/tepb0022359.dzi","Brasília","a cerca de 40Km de Brasília. Estação Ecológica de Águas Emendadas"
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Annonaceae","Annona","crassiflora","Mart.","ANNONACEAE Annona crassiflora Mart.","CEN00046228",,"CEN","Pontes, A.F.","572","Native","2002","Pontes, A.F.","2002","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/4/62/28/cen00046228.dzi","Brasília","Estação Ecológica de Águas Emendadas a cerca de 40 km da Brasília."
"ESTAÇÃO ECOLÓGICA ÁGUAS EMENDADAS","Angiosperms","Fabaceae","Chamaecrista",,"(L.) Moench","FABACEAE Chamaecrista (L.) Moench","LUSC000764",,"LUSC","Souza, V.C.","24567","Native","2000",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/lusc/lusc/0/0/7/64/lusc00000764.dzi","Brasília","Rodovia Brasília-Planaltina de Goiás (DF-128), km 6. Próximo a estação Ecológica de Águas emendadas."
