"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL BRASÍLIA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","UB1007304",,"UB","Bijos, N.R.","PP-FLONA23",,"2008",,,"Latão","Ouro",,"Brasília","Floresta Nacional de Brasília. L11UA01 Nº10."
"FLORESTA NACIONAL BRASÍLIA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","UB1250547",,"UB","Bijos, N.R.","PP-FLONA17",,"2008",,,"Latão","Ouro",,"Brasília","Floresta Nacional de Brasília. L06UA02 Nº02."
"FLORESTA NACIONAL BRASÍLIA",,"Calyceraceae","Calocera",,,"CALYCERACEAE Calocera sp.","URM0094620","splink","URM","Alvarenga, R.L.M.","s.n.",,"2017","Alvarenga, R.L.M.","2021","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,"Calyceraceae","Calocera",,,"CALYCERACEAE Calocera sp.","URM0094621","splink","URM","Alvarenga, R.L.M.","s.n.",,"2017","Alvarenga, R.L.M.","2021","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,"Malvaceae","Sida","urosepala","R.E.Fr.","MALVACEAE Sida urosepala R.E.Fr.","UB0319985",,"UB","Munhoz, C.B.R.","5386",,"2008","Eugenio, C.U.O.","2008","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília (FLONA)"
"FLORESTA NACIONAL BRASÍLIA",,"Malvaceae","Sida","urosepala","R.E.Fr.","MALVACEAE Sida urosepala R.E.Fr.","IBGE00061480",,"IBGE","Munhoz, C.B.R.","5386",,"2008","Eugenio, C.U.O.","2008","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/6/14/80/ibge00061480.dzi","Brasília","Floresta Nacional de Brasília (FLONA). Folha: SD-22-Z-D. Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,"Malvaceae","Sida","urosepala","R.E.Fr.","MALVACEAE Sida urosepala R.E.Fr.","UB0319985","splink","UB","Munhoz, C.B.R.","5386",,"2008","Eugenio, C.U.O.","2008","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília (FLONA)"
"FLORESTA NACIONAL BRASÍLIA",,,"Dacryopinax","eleganas","(Berk. & M.A. Curtis) G.W. Martin","NA Dacryopinax eleganas (Berk. & M.A. Curtis) G.W. Martin","URM0094619","splink","URM","Alvarenga, R.L.M.","s.n.",,"2017","Alvarenga, R.L.M.","2021","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,,"Exidia",,,"NA Exidia sp.","URM0093436","splink","URM","Alvarenga, R.L.M.A.","84GO",,"2017","Alvarenga, R.L.M.A.","2019","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,,"Femsjonia","pezizoidea","(Henn.) McNabb","NA Femsjonia pezizoidea (Henn.) McNabb","URM0094345","splink","URM","Alvarenga, R.L.M.","RLMA425",,"2017","Alvarenga, R.L.M.A.","2020","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,,"Ramaria",,,"NA Ramaria sp.","URM0094274","splink","URM","Alvarenga, R.L.M.","RLMA81",,"2017","Meiras-Ottoni, A.","2019","Bronze","Ouro",,"Brasília","Flona de Brasília"
"FLORESTA NACIONAL BRASÍLIA",,"Orchidaceae","Houlletia","juruensis","Hoehne","ORCHIDACEAE Houlletia juruensis Hoehne","UB0019740",,"UB","Lima, J.H.","8",,"2012","Lima, J.H.","2012","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília (Área 1)."
"FLORESTA NACIONAL BRASÍLIA",,"Orchidaceae","Houlletia","juruensis","Hoehne","ORCHIDACEAE Houlletia juruensis Hoehne","UB0019740","splink","UB","Lima, J.H.","8",,"2012","Lima, J.H.","2012","Bronze","Ouro",,"Brasília","Floresta Nacional de Brasília (Área 1)."
