"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Rubiaceae","Coussarea","hydrangeifolia","(Benth.) Müll.Arg.","RUBIACEAE Coussarea hydrangeifolia (Benth.) Müll.Arg.","NY01067736",,"NY","Ramos, P.C.M.","s.n.","Native",,"Delprete, P.G.","2007","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/6/77/36/ny_01067736.dzi","Brasília","Parque Nacional de Brasilia"
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Elionurus","muticus","(Spreng.) Kuntze","POACEAE Elionurus muticus (Spreng.) Kuntze","UFRN00029279",,"UFRN","Martins, C.R.","3877","Native","2024","Oliveira, R.C.","2025","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ufrn/ufrn/0/2/92/79/ufrn00029279.jpg","Brasília","Parque Nacional de Brasília. Campo sujo, queimado em setembro de 2024."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Oncorachis","macrantha","(Trin.) Morrone & Zuloaga","POACEAE Oncorachis macrantha (Trin.) Morrone & Zuloaga","UFRN00029278",,"UFRN","Martins, C.R.","3868","Native","2024","Oliveira, R.C.","2025","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ufrn/ufrn/0/2/92/78/ufrn00029278.jpg","Brasília","Parque Nacional de Brasília. Campo sujo, queimado em setembro de 2024."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Dasyphyllum","brasiliense","(Spreng.) Cabrera","ASTERACEAE Dasyphyllum brasiliense (Spreng.) Cabrera","CEN00130074",,"CEN","Martins, C.R.","3829","Native","2023","Bringel, J.B.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/13/0/74/cen00130074.dzi","Brasília","Parque Nacional de Brasília. Borda de mata cerca de 100 m da ponte que passa sobre o Córrego Acampamento sentido Administração do Parque."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Baccharis","reticularia","DC.","ASTERACEAE Baccharis reticularia DC.","CEN00126680",,"CEN","Martins, C.R.","3780","Naturalized","2023","Bringel, J.B.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/66/80/cen00126680.dzi","Brasília","Parque Nacional de Brasília. Borda de Campo sujo queimado em agosto de 2022 entorno da estrada que liga o portão 9 a Fazenda Santa Maria."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Lessingianthus","elegans","(Gardner) H.Rob.","ASTERACEAE Lessingianthus elegans (Gardner) H.Rob.","CEN00127530",,"CEN","Martins, C.R.","3795","Native","2023","Bringel, J.B.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/30/cen00127530.dzi","Brasília","Parque Nacional de Brasília. Campo sujo antropizado entorno da estrada de acesso a Administração do parque."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Raulinoreitzia","tremula","(Hook. & Arn.) R.M.King & H.Rob.","ASTERACEAE Raulinoreitzia tremula (Hook. & Arn.) R.M.King & H.Rob.","CEN00127538",,"CEN","Martins, C.R.","3804","Native","2023","Bringel, J.B.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/38/cen00127538.dzi","Brasília","Parque Nacional de Brasília. Borda da Mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Erythroxylaceae","Erythroxylum","niziae","Loiola & L.S.Cordeiro","ERYTHROXYLACEAE Erythroxylum niziae Loiola & L.S.Cordeiro","CEN00130078",,"CEN","Martins, C.R.","3833","Native","2023","Loiola, M.I.B.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/13/0/78/cen00130078.dzi","Brasília","Parque Nacional de Brasília. Borda de campo sujo, entorno da trilha Cristal. Sentido Cascalheira do Exército."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Euphorbiaceae","Croton","glandulosus","L.","EUPHORBIACEAE Croton glandulosus L.","CEN00127529",,"CEN","Martins, C.R.","3794","Native","2023","Silva, O.L.M.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/29/cen00127529.dzi","Brasília","Parque Nacional de Brasília. Borda do dreno do Decantador."
"PARQUE NACIONAL BRASÍLIA","Bryophytes","Poaceae","Aristida","longifolia","Trin.","POACEAE Aristida longifolia Trin.","CEN00127523",,"CEN","Martins, C.R.","3775","Native","2023","Valls, J.F.M.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/23/cen00127523.dzi","Brasília","Parque Nacional de Brasília. Borda de Cerrado entorno da estrada que passa ao lado da área denominada peito de moça."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Gymnopogon","foliosus","(Willd.) Nees","POACEAE Gymnopogon foliosus (Willd.) Nees","CEN00127542",,"CEN","Martins, C.R.","3808","Native","2023","Valls, J.F.M.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/42/cen00127542.dzi","Brasília","Parque Nacional de Brasília. Borda de Cerrado margem da estrada de acesso ao córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Paspalum","gardnerianum","Nees","POACEAE Paspalum gardnerianum Nees","CEN00127528",,"CEN","Martins, C.R.","3793","Native","2023","Valls, J.F.M.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/28/cen00127528.dzi","Brasília","Parque Nacional de Brasília. Borda de Cerrado entorno da estrada Trilha Cristal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Bignoniaceae","Fridericia","craterophora","(DC.) L.G.Lohmann","BIGNONIACEAE Fridericia craterophora (DC.) L.G.Lohmann","CEN00121109",,"CEN","Martins, C.R.","3525","Native","2022","Lohmann, L.G.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/9/cen00121109.dzi","Brasília","Parque Nacional de Brasília. Borda de mata entorno da Trilha Cristal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Orchidaceae","Vanilla","chamissonis","Klotzsch","ORCHIDACEAE Vanilla chamissonis Klotzsch","CEN00121991",,"CEN","Martins, C.R.","3595","Naturalized","2022","Bianchetti, L.B.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/19/91/cen00121991.dzi","Brasília","Parque Nacional de Brasília. Capão de Mata entorno da cerca do parque próximo a barragem do Torto."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Achyrocline","gertiana","Deble & Marchiori","ASTERACEAE Achyrocline gertiana Deble & Marchiori","CEN00127516",,"CEN","Martins, C.R.","3606","Native","2022","Bringel, J.B.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/16/cen00127516.dzi","Brasília","Parque Nacional de Brasília. Entorno de Mata Campo do córrego Bananal. Ao lado do Posto Pluviométrico da CAESB. Lateral da antiga estrada Real Santa Luzia à Contagem."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Andropogon","leucostachyus","Kunth","POACEAE Andropogon leucostachyus Kunth","CEN00127518",,"CEN","Martins, C.R.","3661","Native","2022","Valls, J.F.M.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/75/18/cen00127518.dzi","Brasília","Parque Nacional de Brasília. Entorno da Mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Parodiophyllochloa","penicillata","(Nees ex Trin.) Zuloaga & Morrone","POACEAE Parodiophyllochloa penicillata (Nees ex Trin.) Zuloaga & Morrone","CEN00126673",,"CEN","Martins, C.R.","3658","Native","2022","Oliveira, R.C.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/66/73/cen00126673.dzi","Brasília","Parque Nacional de Brasília. Mata ciliar do córrego Bananal, entorno da Ponte do Bigode."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Asteraceae","Leptostelma","tweediei","(Hook. & Arn.) D.J.N.Hind & G.L.Nesom","ASTERACEAE Leptostelma tweediei (Hook. & Arn.) D.J.N.Hind & G.L.Nesom","CEN00124151",,"CEN","Martins, C.R.","3625","Native","2022","Teles, A.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/41/51/cen00124151.dzi","Brasília","Parque Nacional de Brasília. Entorno do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Euphorbiaceae","Microstachys","serrulata","(Mart.) F.Dietr","EUPHORBIACEAE Microstachys serrulata (Mart.) F.Dietr","CEN00124442",,"CEN","Martins, C.R.","3663","Native","2022","Silva, O.L.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/42/cen00124442.dzi","Brasília","Parque Nacional de Brasília. Entorno da Mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Fabaceae","Mimosa","somnians","Humb. & Bonpl. ex Willd.","FABACEAE Mimosa somnians Humb. & Bonpl. ex Willd.","CEN00124426",,"CEN","Martins, C.R.","3643","Native","2022","Simon, M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/26/cen00124426.dzi","Brasília","Parque Nacional de Brasília. Borda de mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Lamiaceae","Hyptis","linarioides","Pohl ex Benth.","LAMIACEAE Hyptis linarioides Pohl ex Benth.","CEN00124446",,"CEN","Martins, C.R.","3667","Native","2022","Antar, G.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/46/cen00124446.dzi","Brasília","Parque Nacional de Brasília. Entorno da Mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Lamiaceae","Hyptis","nudicaulis","Benth.","LAMIACEAE Hyptis nudicaulis Benth.","CEN00121123",,"CEN","Martins, C.R.","3540","Native","2022","Antar, G.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/23/cen00121123.dzi","Brasília","Parque Nacional de Brasília. Queimado em abril de 2021. Próximo a estrada de acesso ao Posto Fluviométrico da CAESB."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Lamiaceae","Hyptis","sinuata","Pohl ex Benth.","LAMIACEAE Hyptis sinuata Pohl ex Benth.","CEN00124434",,"CEN","Martins, C.R.","3651","Native","2022","Antar, G.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/34/cen00124434.dzi","Brasília","Parque Nacional de Brasília. Borda do canal que leva água para piscina velha. Entorno do Decantador."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Lamiaceae","Ocimum","carnosum","(Spreng.) Link & Otto ex Benth.","LAMIACEAE Ocimum carnosum (Spreng.) Link & Otto ex Benth.","CEN00123240",,"CEN","Martins, C.R.","3547","Native","2022","Antar, G.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/32/40/cen00123240.dzi","Brasília","Parque Nacional de Brasília. Entorno da antiga sede da fazenda Santa Maria."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Lamiaceae","Ocimum","gratissimum","L.","LAMIACEAE Ocimum gratissimum L.","CEN00123241",,"CEN","Martins, C.R.","3555","Native","2022","Antar, G.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/32/41/cen00123241.dzi","Brasília","Parque Nacional de Brasília. Borda da mata ao lado da piscina velha. Próximo ao banheiro público."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Melastomataceae","Miconia","burchellii","Triana","MELASTOMATACEAE Miconia burchellii Triana","CEN00124433",,"CEN","Martins, C.R.","3650","Native","2022","Goldenberg, R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/33/cen00124433.dzi","Brasília","Parque Nacional de Brasília. Entorno da estrada de acesso ao córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Melastomataceae","Miconia","hirtella","Cogn.","MELASTOMATACEAE Miconia hirtella Cogn.","CEN00121110",,"CEN","Martins, C.R.","3526","Native","2022","Goldenberg, R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/10/cen00121110.dzi","Brasília","Parque Nacional de Brasília. Mata entorno da margem do córrego Cristal, próximo a Trilha Cristal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Melastomataceae","Miconia","ligustroides","(DC.) Naudin","MELASTOMATACEAE Miconia ligustroides (DC.) Naudin","CEN00121128",,"CEN","Martins, C.R.","3546","Native","2022","Goldenberg, R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/28/cen00121128.dzi","Brasília","Parque Nacional de Brasília. Entorno da antiga sede da fazenda Santa Maria."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Melastomataceae","Miconia","minutiflora","(Bonpl.) DC.","MELASTOMATACEAE Miconia minutiflora (Bonpl.) DC.","CEN00121438",,"CEN","Martins, C.R.","3566","Native","2022","Goldenberg, R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/14/38/cen00121438.dzi","Brasília","Parque Nacional de Brasília. Borda da mata entorno da rotatória de acesso à piscina velha. Próximo ao Centro de Visitantes."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Melastomataceae","Miconia","theaezans","(Bonpl.) Cogn.","MELASTOMATACEAE Miconia theaezans (Bonpl.) Cogn.","CEN00124438",,"CEN","Martins, C.R.","3657","Native","2022","Goldenberg, R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/38/cen00124438.dzi","Brasília","Parque Nacional de Brasília. Borda da mata do córrego Cristal. Entorno da ponte que passa sobre o córrego."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Onagraceae","Ludwigia","octovalvis","(Jacq.) P.H.Raven","ONAGRACEAE Ludwigia octovalvis (Jacq.) P.H.Raven","CEN00121114",,"CEN","Martins, C.R.","3530","Native","2022","Vieira, A.O.S.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/14/cen00121114.dzi","Brasília","Parque Nacional de Brasília. Bacião formado na margem da estrada da Trilha Cristal."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Orchidaceae","Habenaria","hexaptera","Lindl.","ORCHIDACEAE Habenaria hexaptera Lindl.","CEN00121119",,"CEN","Martins, C.R.","3536","Native","2022","Bianchetti, L.B.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/19/cen00121119.dzi","Brasília","Parque Nacional de Brasília. Queimado em abril de 2021. Próximo a estrada de acesso ao Posto Fluviométrico da CAESB."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Piperaceae","Piper","crassinervium","Kunth","PIPERACEAE Piper crassinervium Kunth","CEN00123242",,"CEN","Martins, C.R.","3603","Native","2022","Carvalho-Silva, M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/32/42/cen00123242.dzi","Brasília","Parque Nacional de Brasília. Lateral da piscina velha. Próximo ao banheiro de uso público."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Oedochloa","procurrens","(Nees ex Trin.) C.Silva & R.P.Oliveira","POACEAE Oedochloa procurrens (Nees ex Trin.) C.Silva & R.P.Oliveira","CEN00124444",,"CEN","Martins, C.R.","3665","Native","2022","Oliveira, R.C.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/44/44/cen00124444.dzi","Brasília","Parque Nacional de Brasília. Entorno da Mata do córrego Bananal."
"PARQUE NACIONAL BRASÍLIA","Ferns and Lycophytes","Poaceae","Oplismenus","hirtellus","(L.) P.Beauv.","POACEAE Oplismenus hirtellus (L.) P.Beauv.","CEN00121434",,"CEN","Martins, C.R.","3549","Native","2022","Valls, J.F.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/14/34/cen00121434.dzi","Brasília","Parque Nacional de Brasília. Entorno da antiga sede da fazenda Santa Maria."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Paspalum","ellipticum","Döll","POACEAE Paspalum ellipticum Döll","CEN00121099",,"CEN","Martins, C.R.","3515","Native","2022","Valls, J.F.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/10/99/cen00121099.dzi","Brasília","Parque Nacional de Brasília. Entorno da área conhecida como nascente ""Peito de Moça""."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Poaceae","Trichanthecium","parvifolium","(Lam.) Zuloaga & Morrone","POACEAE Trichanthecium parvifolium (Lam.) Zuloaga & Morrone","CEN00121100",,"CEN","Martins, C.R.","3514","Native","2022","Valls, J.F.M.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/0/cen00121100.dzi","Brasília","Parque Nacional de Brasília. Entorno da área conhecida como nascente ""Peito de Moça""."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Rutaceae","Citrus",,"Tanaka ex Q.Jiménez","RUTACEAE Citrus ×latifolia Tanaka ex Q.Jiménez","CEN00123249",,"CEN","Martins, C.R.","3611","Native","2022","Pirani, J.R.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/32/49/cen00123249.dzi","Brasília","Parque Nacional de Brasília. Área administrativa do Parque, próximo à sede da APA do Planalto Central."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Santalaceae","Phoradendron","crassifolium","(Pohl ex DC.) Eichler","SANTALACEAE Phoradendron crassifolium (Pohl ex DC.) Eichler","CEN00121105",,"CEN","Martins, C.R.","3521","Native","2022","Caires, C.S.","2022","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/11/5/cen00121105.dzi","Brasília","Parque Nacional de Brasília. Borda da Mata localizada em frente a piscina nova."
"PARQUE NACIONAL BRASÍLIA","Angiosperms","Campanulaceae","Lobelia","camporum","Pohl","CAMPANULACEAE Lobelia camporum Pohl","CEN00120912",,"CEN","Martins, C.R.","3507","Native","2021","Vieira, A.O.S.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/9/12/cen00120912.dzi","Brasília","Parque Nacional de Brasília. Próximo a barragem do Viveiro da NOVACAP."
