"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","VIES029579","splink","VIES","Giaretta, A.O.","1384","Native","2013","Giaretta, A.O.","2013","Bronze","Ouro",,"Linhares","Floresta Nacional de Goytacazes."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","SAMES00064",,"SAMES","Giaretta, A.O.","1384","Native","2013","Giaretta, A.","2013","Bronze","Ouro",,"Linhares","Floresta Nacional de Goytacazes. Floresta sobre planície aluvial do rio Doce."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","RB01364457","x","RB","Giaretta, A.O.","1384","Native","2013","Giaretta, A.","2013","Bronze","Ouro",,,"Floresta Nacional de Goytacazes"
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Achariaceae","Carpotroche","brasiliensis","(Raddi) A Gray","ACHARIACEAE Carpotroche brasiliensis (Raddi) A Gray","VIES022583","splink","VIES","Gomes, J.M.L.","3753","Native","2011","Gomes, J.M.L.","2011","Bronze","Ouro",,"Linhares","Flona de Goytacazes."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","SAMES00107",,"SAMES","Jesus, L.M.","05","Native","2014",,,"Latão","Ouro",,"Linhares","Floresta Nacional de Goytacazes. Sede da Flona de Goytacazes."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Anemiaceae","Anemia","luetzelburgii","Rosenst.","ANEMIACEAE Anemia luetzelburgii Rosenst.","MBML057284","splink","MBML","Lino, V.","541","Native","2023","Dittrich, V.A.O.","2024","Bronze","Ouro",,"Linhares","Floresta Nacional de Goytacazes. Na beira da trilha principal."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","BHCB01107765",,"BHCB","Salino, A.","13378","Native","2008","Salino, A.","2008","Bronze","Ouro",,"Linhares","Floresta nacional de Goytacazes. Floresta de tabuleiro. Floresta Estacional Semidecidual de Terras Baixas/Floresta Ombrófila Densa."
"FLORESTA NACIONAL GOYTACAZES",,"Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","119387","splink","BHCB","Salino, A.","13378",,"2008","Salino, A.","2008","Bronze","Ouro",,"Linhares","Floresta Nacional de Goytacazes, Floresta de tabuleiro. Floresta Estacional Semidecidual de Terras Baixas/Floresta Ombrófila Densa"
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Anemiaceae","Anemia",,"Sw.","ANEMIACEAE Anemia Sw.","BHCB01107678",,"BHCB","Salino, A.","13364","Native","2008",,,"Latão","Ouro",,"Linhares","Floresta nacional de Goytacazes. Floresta de tabuleiro. Floresta Estacional Semidecidual de Terras Baixas/Floresta Ombrófila Densa."
"FLORESTA NACIONAL GOYTACAZES","Angiosperms","Anemiaceae","Anemia",,"Sw.","ANEMIACEAE Anemia Sw.","119373","splink","BHCB","Salino, A.","13364","Native","2008",,"0-0-0","Latão","Ouro",,"Linhares","Floresta Nacional de Goytacazes, Floresta de tabuleiro. Floresta Estacional Semidecidual de Terras Baixas/Floresta Ombrófila Densa"
