"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Fabaceae","Abarema","cochliacarpos","(Gomes) Barneby & J.W.Grimes","FABACEAE Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes","HURB000029330",,"HURB","Alves-Araujo, A.","1974","Native","2019","Dutra, V.F.","2020","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hurb/hurb/0/0/29/33/0/hurb000029330.dzi","Conceição da Barra","Limite Sul da Flona - área de restinga. Flona do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Fabaceae","Schnella","radiata","(Vell.) Trethowan & R. Clark","FABACEAE Schnella radiata (Vell.) Trethowan & R. Clark","HURB000029296",,"HURB","Silvestre, S.S.","3","Native","2019","Lima, H.C.","2020","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hurb/hurb/0/0/29/29/6/hurb000029296.dzi","Conceição da Barra","Trilha do Canastra. Flona do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Melastomataceae","Henriettea","saldanhae","Cogn.","MELASTOMATACEAE Henriettea saldanhae Cogn.","UPCB0012322",,"UPCB","Flores, T.B.","1272","Native","2012","Goldenberg, R.","2014","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/1/23/22/upcb00012322.dzi","Conceição da Barra","Floresta Nacional do Rio Preto - trilha da Suzano."
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Myrtaceae","Psidium","macahense","O.Berg","MYRTACEAE Psidium macahense O.Berg","SAMES04222",,"SAMES","Rocha, T.L.","80","Native","2010","Souza, M.C.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sames/sames/0/0/42/22/sames00004222.dzi","Conceição da Barra","Floresta Nacional do Rio Preto. Floresta sobre tabuleiro, em regeneração, 25 anos após fogo."
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Malpighiaceae","Diplopterys","carvalhoi","W.R.Anderson & C.C.Davis","MALPIGHIACEAE Diplopterys carvalhoi W.R.Anderson & C.C.Davis","SAMES03095",,"SAMES","Broggio, I.S.","64","Native","2010","Amorim, A.M.","2020","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/sames/sames/0/0/30/95/sames00003095.dzi","Conceição da Barra","Floresta Nacional do Rio Preto. Floresta de tabuleiro, em regeneração (25 anos)."
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Poaceae","Taquara","micrantha","(Kunth) I.L.C.Oliveira & R.P.Oliveira","POACEAE Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira","SAMES12062",,"SAMES",,,"Native",,"Viana, P.L.","2025","Ouro","Ouro",,"Conceição da Barra","Floresta Nacional do Rio Preto."
"FLORESTA NACIONAL RIO PRETO","Ferns and Lycophytes","Menispermaceae","Disciphania",,"Eichler","MENISPERMACEAE Disciphania Eichler","RB01606411","x","RB","Feliz, P.","1012","Native","2025","Feliz, P.","2025","Ouro","Ouro",,,"Braço do Rio. cerca de 500 m após a sede. Floresta Nacional do Rio Preto - Flona do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","SAMES17306",,"SAMES","Antar, G.M.","5517","Native","2024",,,"Ouro","Ouro",,"Conceição da Barra","Trilha do canavial, próximo à guarita abandonada. Floresta Nacional do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Lamiaceae","Aegiphila","gloriosa","Moldenke","LAMIACEAE Aegiphila gloriosa Moldenke","SAMES17292",,"SAMES","Antar, G.M.","5503","Native","2024","Antar, G.M.","2024","Ouro","Ouro",,"Conceição da Barra","Trilha próximo à sede. Floresta Nacional do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Myrtaceae","Eugenia","inversa","Sobral","MYRTACEAE Eugenia inversa Sobral","SAMES18840",,"SAMES","Antar, G.M.","5496","Native","2024","Souza, M.C.","2024","Ouro","Ouro",,"Conceição da Barra","Trilha próximo à sede. Floresta Nacional do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Fabaceae","Swartzia","euxylophora","Rizzini & A.Mattos","FABACEAE Swartzia euxylophora Rizzini & A.Mattos","RB01579541","x","RB","Ribeiro, M.","498","Native","2022","Lima, H.C.","2022","Ouro","Ouro",,,"A beirada estrada antes de cheb=gar a sede da Flona Floresta Nacional do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Burseraceae","Protium","aracouchini","(Aubl.) Marchand","BURSERACEAE Protium aracouchini (Aubl.) Marchand","RB01443478","x","RB","Nichio-Amaral, R.","1122","Native","2020","Daly, D.",,"Ouro","Ouro",,,"Flona do Rio Preto. Extremo Sul."
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Burseraceae","Protium","strumosum","Daly","BURSERACEAE Protium strumosum Daly","RB01442318","x","RB","Dutra, S.C.","216","Native","2020","Daly, D.",,"Ouro","Ouro",,,"Floresta Nacional do Rio Preto, Região Extremo Sul"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Burseraceae","Protium","warmingianum","Marchand","BURSERACEAE Protium warmingianum Marchand","RB01442920","x","RB","Dutra, S.C.","214","Native","2020","Daly, D.",,"Ouro","Ouro",,,"Floresta Nacional do Rio Preto, Região extremo Sul"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Dioscoreaceae","Dioscorea","mollis","Kunth","DIOSCOREACEAE Dioscorea mollis Kunth","RB01442311","x","RB","Dutra, S.C.","208","Native","2020","Couto, R.S.",,"Ouro","Ouro",,,"Floresta Nacional do Rio Preto, região extremo Sul"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Sapotaceae","Manilkara","multifida","T.D.Penn.","SAPOTACEAE Manilkara multifida T.D.Penn.","145611","x","ALCB","Dutra, S.C.","195","Native","2020","Alves-Araujo, A.",,"Ouro","Ouro",,"Conceição da Barra","Região Extremo Sul da Floresta Nacional do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Piperaceae","Piper","arboreum","Aubl.","PIPERACEAE Piper arboreum Aubl.","RB01464832","x","RB","Dutra, S.C.","173","Native","2020","Monteiro, D.","2026","Ouro","Ouro",,,"Flona do Rio Preto, Limite Sul da Flona"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Piperaceae","Piper","mollicomum","Kunth","PIPERACEAE Piper mollicomum Kunth","RB01464848","x","RB","Dutra, S.C.","169","Native","2020","Monteiro, D.","2026","Ouro","Ouro",,,"Flona do Rio Preto, Limite Sul da Flona"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Piperaceae","Piper","vicosanum","Yunck.","PIPERACEAE Piper vicosanum Yunck.","RB01464829","x","RB","Dutra, S.C.","174","Native","2020","Monteiro, D.","2026","Ouro","Ouro",,,"Flona do Rio Preto, Limite Sul da Flona"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Poaceae","Cryptochloa","capillata","(Trin.) Soderstr.","POACEAE Cryptochloa capillata (Trin.) Soderstr.","VIES047442","splink","VIES","Miranda, V.S.","629","Native","2020","Viana, P.L.","2025","Ouro","Ouro",,"Conceição da Barra","Limite Sul da Flona. Flona do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Poaceae","Hildaea","pallens","(Sw.) C.Silva & R.P.Oliveira","POACEAE Hildaea pallens (Sw.) C.Silva & R.P.Oliveira","VIES047591","splink","VIES","Nichio-Amaral, R.","1133","Native","2020","Viana, P.L.","2025","Ouro","Ouro",,"Conceição da Barra","Trilha do Canastra. Flona do Rio Preto"
"FLORESTA NACIONAL RIO PRETO","Angiosperms","Poaceae","Ichnanthus","lancifolius","Mez","POACEAE Ichnanthus lancifolius Mez","47578","x","VIES","Nichio-Amaral, R.","1120","Native","2020","Viana, P.L.","2025","Ouro","Ouro",,,"Extremo sul - área de alagado. Flona do Rio Preto"
