"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Melastomataceae","Pleroma",,"D.Don","MELASTOMATACEAE Pleroma D.Don","MBM00445769",,"MBM","Voltz, R.R.","2884","Native","2023",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/57/69/mbm00445769.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Lauraceae","Ocotea","daphnifolia","(Meisn.) Mez","LAURACEAE Ocotea daphnifolia (Meisn.) Mez","MBM00446140",,"MBM","Brotto, M.L.","5581","Native","2023","Brotto, M.L.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/61/40/mbm00446140.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Lauraceae","Ocotea","diospyrifolia","(Meisn.) Mez","LAURACEAE Ocotea diospyrifolia (Meisn.) Mez","MBM00446138",,"MBM","Brotto, M.L.","5579","Native","2023","Brotto, M.L.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/61/38/mbm00446138.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Lauraceae","Ocotea","pulchella","(Nees & Mart.) Mez","LAURACEAE Ocotea pulchella (Nees & Mart.) Mez","MBM00446141",,"MBM","Brotto, M.L.","5582","Native","2023","Brotto, M.L.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/61/41/mbm00446141.dzi","Castelo","Parque Estadual do Forno Grande. Forninho."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Lauraceae","Ocotea","sulcata","Vattimo-Gil","LAURACEAE Ocotea sulcata Vattimo-Gil","MBM00442507",,"MBM","Brotto, M.L.","5378","Native","2023","Brotto, M.L.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/25/7/mbm00442507.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Melastomataceae","Pleroma","castellense","(Brade) P.J.F.Guim. & Michelang.","MELASTOMATACEAE Pleroma castellense (Brade) P.J.F.Guim. & Michelang.","MBM00445767",,"MBM","Voltz, R.R.","2882","Native","2023","Meyer, F.S.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/57/67/mbm00445767.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Melastomataceae","Pleroma","semidecandrum","(Schrank et Mart. ex DC.) Triana","MELASTOMATACEAE Pleroma semidecandrum (Schrank et Mart. ex DC.) Triana","MBM00445768",,"MBM","Voltz, R.R.","2883","Native","2023","Meyer, F.S.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/57/68/mbm00445768.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Piperaceae","Piper","gaudichaudianum","Kunth","PIPERACEAE Piper gaudichaudianum Kunth","MBM00440802",,"MBM","Fernandes, T.","360","Native","2018","Guimaraes, E.F.","2021","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/8/2/mbm00440802.dzi","Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Melastomataceae","Leandra","tomentosa","Cogn.","MELASTOMATACEAE Leandra tomentosa Cogn.","NY02480180",,"NY","Forzza, R.C.","7659","Native","2013","Michelangeli, F.A.","2015","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/2/48/1/80/ny_02480180.dzi",,"Parque Estadual do Forno Grande. Pico do Forninho. Inselbergue com mata nebular."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Rubiaceae","Oldenlandia","salzmannii","(DC.) Benth. & Hook.f. ex B.D.Jacks.","RUBIACEAE Oldenlandia salzmannii (DC.) Benth. & Hook.f. ex B.D.Jacks.","CEPEC00130142",,"CEPEC","Fraga, C.N.","2458","Native","2010","Jardim, J.G.",,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cepec/cepec/0/13/1/42/cepec00130142.dzi","Castelo","Parque Estadual do Forno Grande. Trilha para o mirante."
"PARQUE ESTADUAL FORNO GRANDE","Angiosperms","Gesneriaceae","Sinningia","sceptrum","(Mart.) Wiehler","GESNERIACEAE Sinningia sceptrum (Mart.) Wiehler","CEPEC00130573",,"CEPEC","Fraga, C.N.","2450","Native","2010","Chautems, A.","2020","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cepec/cepec/0/13/5/73/cepec00130573.dzi","Castelo","Parque Estadual do Forno Grande. Trilha para o mirante."
