"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL FORNO GRANDE",,"Araliaceae","Hydrocotyle","lanceoradiata","Nery & Fiaschi","ARALIACEAE Hydrocotyle lanceoradiata Nery & Fiaschi","FLOR0067115","splink","FLOR","Kollmann, L.","10569",,"2008","Nery, E.K.","2020","Bronze","Ouro",,"Castelo","Parque Estadual de Forno Grande, trilha das piscinas para o mirante."
"PARQUE ESTADUAL FORNO GRANDE",,"Araliaceae","Hydrocotyle","lanceoradiata","Nery & Fiaschi","ARALIACEAE Hydrocotyle lanceoradiata Nery & Fiaschi","FLOR0067110","splink","FLOR","Kollmann, L.","8927",,"2006","Nery, E.K.","2020","Bronze","Ouro",,"Castelo","Parque Estadual de Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","MBML034964",,"MBML","Fraga, C.N.","1987",,"2008","Ribeiro, A.R.O.","2022","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbml/mbml/0/3/49/64/mbml00034964.dzi","Castelo","Parque Estadual do Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","NY03908576","splink","NY","Kollmann, L.J.-C.","7551",,"2005",,,"Latão","Ouro",,"Castelo","Parque Estadual de Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","NY03908569","splink","NY","Kollmann, L.J.-C.","6399",,"2004",,,"Latão","Ouro",,"Castelo","Parque Estadual de Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Bromeliaceae|Zingiberaceae","Renealmia",,"L.|L.f.","BROMELIACEAE|ZINGIBERACEAE Renealmia L.|Renealmia L.f.","MBML039971","splink","MBML","Forzza, R.C.","5355",,"2008",,,"Latão","Ouro",,"Castelo","Parque Estadual do Forno Grande. Balança. Floresta Ombrófila Densa, Altomontana alterada."
"PARQUE ESTADUAL FORNO GRANDE",,"Cyatheaceae","Alsophilla",,,"CYATHEACEAE Alsophilla sp.","UPCB0033843","splink","UPCB","Fraga, C.N.","1948",,"2008",,,"Latão","Ouro",,"Castelo","Parque Estadual do Forno Grande."
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","CAP007069","splink","CAP","Zorzanelli, J.P.F.","2053",,"2016",,,"Latão","Ouro",,"Castelo","PARE Forno Grande. Campo de Altitude. Trilha para o mirante. Parque Estadual Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","VIES036273","splink","VIES","Campo, T.T.","111",,"2015",,,"Latão","Ouro",,"Castelo","Parque Estadual de Forno Grande, trilha do mirante."
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","FUEL008385","splink","FUEL","Fraga, C.N.","1823",,"2008",,,"Latão","Ouro",,"Castelo","Parque Estadual do Forno Grande, trilha para as piscinas."
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","FUEL008384","splink","FUEL","Fraga, C.N.","2118",,"2008",,,"Latão","Ouro",,"Castelo","Parque Estadual do Forno Grande, trilha para as piscinas."
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","MBML022434",,"MBML","Kollmann, L.","6700",,"2004",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbml/mbml/0/2/24/34/mbml00022434.dzi","Castelo","Parque Estadual do Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Goodeniaceae|Campanulaceae","Scaevola|Lobelia",,"L.","GOODENIACEAE|CAMPANULACEAE Scaevola L.|Lobelia L.","MBML022613",,"MBML","Kollmann, L.","6694",,"2004",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbml/mbml/0/2/26/13/mbml00022613.dzi","Castelo","Parque Estadual do Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Melastomataceae","Pleroma","oleifolia","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R. Romero & Versiane","MBML043440","splink","MBML","Goldenberg, R.","1419",,"2009","Goldenberg, R.","2015","Ouro","Ouro",,"Castelo","Parque Estadual do Forno Grande. Brejo próximo à sede do Parque. Floresta Ombrófila Densa Altomontana"
"PARQUE ESTADUAL FORNO GRANDE",,"Melastomataceae","Pleroma","oleifolia","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R. Romero & Versiane","MBML033965","splink","MBML","Labiak, P.","4568",,"2008","Goldenberg, R.","2015","Ouro","Ouro",,"Castelo","Parque Estadual do Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Melastomataceae","Pleroma","oleifolia","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R. Romero & Versiane","MBML034545","splink","MBML","Goldenberg, R.","1036",,"2008","Goldenberg, R.","2015","Ouro","Ouro",,"Castelo","Parque Estadual do Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Melastomataceae","Pleroma","oleifolia","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R. Romero & Versiane","MBML030820","splink","MBML","Kollmann, L.","9994",,"2007","Goldenberg, R.","2015","Ouro","Ouro",,"Castelo","Forno Grande, Parque Estadual de Forno Grande"
"PARQUE ESTADUAL FORNO GRANDE",,"Melastomataceae","Pleroma","oleifolia","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R. Romero & Versiane","MBML023609","splink","MBML","Kollmann, L.","7552",,"2005","Goldenberg, R.","2015","Ouro","Ouro",,"Castelo","Parque Estadual do Forno Grande"
