"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902127","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1540",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902090","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1135",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902135","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1552",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902090",,"VIESFUNGI","Fraga Junior, C.A.V.","1135",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902127",,"VIESFUNGI","Fraga Junior, C.A.V.","1540",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","coccineum","Córd.-Cháv., Aptroot & M. Cáceres","ANACARDIACEAE Astrothelium coccineum Córd.-Cháv., Aptroot & M. Cáceres","VIESFUNGI9902135",,"VIESFUNGI","Fraga Junior, C.A.V.","1552",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","luridum","(Zahlbr.) Aptroot e Lücking","ANACARDIACEAE Astrothelium luridum (Zahlbr.) Aptroot e Lücking","VIESFUNGI9901145","splink","VIES-FUNGI","Fraga Junior, C.A.V.","141",,"2013","Fraga Junior, C.A.V.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","luridum","(Zahlbr.) Aptroot e Lücking","ANACARDIACEAE Astrothelium luridum (Zahlbr.) Aptroot e Lücking","VIESFUNGI9901145",,"VIESFUNGI","Fraga Junior, C.A.V.","141",,"2013","Fraga Junior, C.A.V.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","nitidiusculum","(Nyl.) Aptroot & Lücking","ANACARDIACEAE Astrothelium nitidiusculum (Nyl.) Aptroot & Lücking","VIESFUNGI9902134","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1551",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","nitidiusculum","(Nyl.) Aptroot & Lücking","ANACARDIACEAE Astrothelium nitidiusculum (Nyl.) Aptroot & Lücking","VIESFUNGI9902134",,"VIESFUNGI","Fraga Junior, C.A.V.","1551",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902137","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1556",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902119","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1176",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902122","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1179",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902119",,"VIESFUNGI","Fraga Junior, C.A.V.","1176",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902122",,"VIESFUNGI","Fraga Junior, C.A.V.","1179",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Anacardiaceae","Astrothelium","phlyctaena","(Fée) Aptroot & Lücking","ANACARDIACEAE Astrothelium phlyctaena (Fée) Aptroot & Lücking","VIESFUNGI9902137",,"VIESFUNGI","Fraga Junior, C.A.V.","1556",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Annonaceae","Poria",,,"ANNONACEAE Poria sp.","VIESFUNGI9900583","splink","VIES-FUNGI",,"s.n.",,"1988",,,"Latão","Prata",,"Guarapari","Setiba."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Annonaceae","Poria",,,"ANNONACEAE Poria sp.","VIESFUNGI9900583",,"VIESFUNGI",,"s.n.",,"1988",,,"Latão","Prata",,"Guarapari","Setiba."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Coniocarpon","cinnabarinum","DC.","APOCYNACEAE Coniocarpon cinnabarinum DC.","VIESFUNGI9902142","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1078b",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Coniocarpon","cinnabarinum","DC.","APOCYNACEAE Coniocarpon cinnabarinum DC.","VIESFUNGI9902142",,"VIESFUNGI","Fraga Junior, C.A.V.","1078b",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria","flavens","Nyl.","APOCYNACEAE Pertusaria flavens Nyl.","VIESFUNGI9901034","splink","VIES-FUNGI","Fraga Junior, C.A.V.","30",,"2013","Aptroot, A.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria","flavens","Nyl.","APOCYNACEAE Pertusaria flavens Nyl.","VIESFUNGI9901034",,"VIESFUNGI","Fraga Junior, C.A.V.","30",,"2013","Aptroot, A.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901025","splink","VIES-FUNGI","Fraga Junior, C.A.V.","21",,"2013","Gumboski, E.L.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901069","splink","VIES-FUNGI","Fraga Junior, C.A.V.","65",,"2013","Fraga Junior, C.A.V.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901167","splink","VIES-FUNGI","Fraga Junior, C.A.V.","163",,"2013","Gumboski, E.L.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901025",,"VIESFUNGI","Fraga Junior, C.A.V.","21",,"2013","Gumboski, E.L.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901069",,"VIESFUNGI","Fraga Junior, C.A.V.","65",,"2013","Fraga Junior, C.A.V.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901167",,"VIESFUNGI","Fraga Junior, C.A.V.","163",,"2013","Gumboski, E.L.",,"Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Arecaceae|Balanophoraceae","Langsdorffia",,"Mart.","ARECACEAE|BALANOPHORACEAE Langsdorffia Mart.","VIES064858","splink","VIES","Ferreira, E.","34",,"2024",,,"Latão","Ouro",,"Guarapari","No talude, transição da mata seca para inundável. Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","chamelensis","Barcenas-Peña & Lücking","ASTERACEAE Graphis chamelensis Barcenas-Peña & Lücking","VIESFUNGI9901014","splink","VIES-FUNGI","Fraga Junior, C.A.V.","10",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","chamelensis","Barcenas-Peña & Lücking","ASTERACEAE Graphis chamelensis Barcenas-Peña & Lücking","VIESFUNGI9901014",,"VIESFUNGI","Fraga Junior, C.A.V.","10",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","cicatricosa","(Ach.) Vaidoso","ASTERACEAE Graphis cicatricosa (Ach.) Vaidoso","VIESFUNGI9901389","splink","VIES-FUNGI","Fraga Junior, C.A.V.","920",,"2015","Fraga Junior, C.A.V.","2016","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","cicatricosa","(Ach.) Vaidoso","ASTERACEAE Graphis cicatricosa (Ach.) Vaidoso","VIESFUNGI9901389",,"VIESFUNGI","Fraga Junior, C.A.V.","920",,"2015","Fraga Junior, C.A.V.","2016","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","dracaenae","Vain","ASTERACEAE Graphis dracaenae Vain","VIESFUNGI9901017","splink","VIES-FUNGI","Fraga Junior, C.A.V.","13",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","dracaenae","Vain","ASTERACEAE Graphis dracaenae Vain","VIESFUNGI9901017",,"VIESFUNGI","Fraga Junior, C.A.V.","13",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","elongata","Zenker","ASTERACEAE Graphis elongata Zenker","VIESFUNGI9900944","splink","VIES-FUNGI","Vinha, P.C.","580",,"1988","Feuerstein, S.C.","2018","Bronze","Prata",,"Guarapari","Setiba. Dunas d´Ulé."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","elongata","Zenker","ASTERACEAE Graphis elongata Zenker","VIESFUNGI9900944",,"VIESFUNGI","Vinha, P.C.","580",,"1988","Feuerstein, S.C.","2018","Bronze","Prata",,"Guarapari","Setiba. Dunas d´Ulé."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","erythrocardia","Müll. Arg.","ASTERACEAE Graphis erythrocardia Müll. Arg.","VIESFUNGI9902066","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1096",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","erythrocardia","Müll. Arg.","ASTERACEAE Graphis erythrocardia Müll. Arg.","VIESFUNGI9902066",,"VIESFUNGI","Fraga Junior, C.A.V.","1096",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha"
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","furcata","Fée","ASTERACEAE Graphis furcata Fée","VIESFUNGI9901010","splink","VIES-FUNGI","Fraga Junior, C.A.V.","6",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","furcata","Fée","ASTERACEAE Graphis furcata Fée","VIESFUNGI9901010",,"VIESFUNGI","Fraga Junior, C.A.V.","6",,"2013","Feuerstein, S.C.","2018","Bronze","Ouro",,"Guarapari","Parque Estadual Paulo César Vinha."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","furcata","Fée","ASTERACEAE Graphis furcata Fée","VIESFUNGI9900931","splink","VIES-FUNGI","Vinha, P.C.","470",,"1987","Feuerstein, S.C.",,"Bronze","Prata",,"Guarapari","Setiba. Dunas do Ulé."
"PARQUE ESTADUAL PAULO CÉSAR VINHA",,"Asteraceae","Graphis","furcata","Fée","ASTERACEAE Graphis furcata Fée","VIESFUNGI9900931",,"VIESFUNGI","Vinha, P.C.","470",,"1987","Feuerstein, S.C.",,"Bronze","Prata",,"Guarapari","Setiba. Dunas do Ulé."
