"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL PEDRA AZUL",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901926","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1331",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901927","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1223",,"2022","Aptroot, A.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901926",,"VIESFUNGI","Fraga Junior, C.A.V.","1331",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Apocynaceae","Pertusaria",,,"APOCYNACEAE Pertusaria sp.","VIESFUNGI9901927",,"VIESFUNGI","Fraga Junior, C.A.V.","1223",,"2022","Aptroot, A.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Araceae|Rubiaceae","Zantedeschia|Richardia",,"Spreng.|L.","ARACEAE|RUBIACEAE Zantedeschia Spreng.|Richardia L.","CAP000134","splink","CAP","Torres-Leite, F.","211",,"2015",,,"Latão","Ouro",,"Domingos Martins","Parque Estadual de Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Araceae|Rubiaceae","Zantedeschia|Richardia",,"Spreng.|L.","ARACEAE|RUBIACEAE Zantedeschia Spreng.|Richardia L.","CAP000140","splink","CAP","Torres-Leite, F.","242",,"2015",,,"Latão","Ouro",,"Domingos Martins","Parque Estadual de Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Arecaceae","Dictyonema","glabratum","(Spreng.) D. Hawksw.","ARECACEAE Dictyonema glabratum (Spreng.) D. Hawksw.","29248","splink","UFP","Sanders, W.B.","UFP9920811",,"1999",,"0-0-0","Latão","Ouro",,,"Parque Estadual da Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Clusiaceae","Clusia","anaclaudiae","J.E.Nascimento","CLUSIACEAE Clusia anaclaudiae J.E.Nascimento","HRCB076777","splink","HRCB","Marcusso, G.M.","1856",,"2020","Nascimento, J.E.","2020","Bronze","Ouro",,"Domingos Martins","Parque Estadual da Pedra Azul Trilha nova para as piscinas naturais, até a base da pedra das flores"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","boryi","(Fée) Kr.P. Singh & S.R. Singh","CORALLINACEAE Heterodermia boryi (Fée) Kr.P. Singh & S.R. Singh","VIESFUNGI9901869","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1220",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","boryi","(Fée) Kr.P. Singh & S.R. Singh","CORALLINACEAE Heterodermia boryi (Fée) Kr.P. Singh & S.R. Singh","VIESFUNGI9901870","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1237",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","boryi","(Fée) Kr.P. Singh & S.R. Singh","CORALLINACEAE Heterodermia boryi (Fée) Kr.P. Singh & S.R. Singh","VIESFUNGI9901869",,"VIESFUNGI","Fraga Junior, C.A.V.","1220",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","boryi","(Fée) Kr.P. Singh & S.R. Singh","CORALLINACEAE Heterodermia boryi (Fée) Kr.P. Singh & S.R. Singh","VIESFUNGI9901870",,"VIESFUNGI","Fraga Junior, C.A.V.","1237",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","caneziae","M.F. Souza & Aptroot","CORALLINACEAE Heterodermia caneziae M.F. Souza & Aptroot","VIESFUNGI9901879","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1246",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","caneziae","M.F. Souza & Aptroot","CORALLINACEAE Heterodermia caneziae M.F. Souza & Aptroot","VIESFUNGI9901879",,"VIESFUNGI","Fraga Junior, C.A.V.","1246",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","dactyliza","(Nyl.) Swinscow & Krog","CORALLINACEAE Heterodermia dactyliza (Nyl.) Swinscow & Krog","VIESFUNGI9901873","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1186",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","dactyliza","(Nyl.) Swinscow & Krog","CORALLINACEAE Heterodermia dactyliza (Nyl.) Swinscow & Krog","VIESFUNGI9901874","splink","VIES-FUNGI","Fraga Junior, C.A.V.","1188",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
"PARQUE ESTADUAL PEDRA AZUL",,"Corallinaceae","Heterodermia","dactyliza","(Nyl.) Swinscow & Krog","CORALLINACEAE Heterodermia dactyliza (Nyl.) Swinscow & Krog","VIESFUNGI9901873",,"VIESFUNGI","Fraga Junior, C.A.V.","1186",,"2022","Fraga Junior, C.A.V.","2022","Bronze","Ouro",,"Domingos Martins","Trilha PEPAZ. Parque Estadual Pedra Azul"
