"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Loranthaceae","Struthanthus","polyrrhizus","(Mart.) Mart.","LORANTHACEAE Struthanthus polyrrhizus (Mart.) Mart.","K001577335","splink","K","Folli, D.A.","1070","Native","1990","Stannard, B.",,"Ouro","Ouro",,,"Reserva Biológica de Comboios - IBAMA - Regencia - LINHARES - ES. Brasil Próximo a Reserva da FUNAI."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Fabaceae","Senna","splendida","(Vogel) H.S.Irwin & Barneby","FABACEAE Senna splendida (Vogel) H.S.Irwin & Barneby","K000840505","x","K","Folli, D.A.","966","Native","1989","Lewis, G.P.",,"Ouro","Ouro",,,"Reserva Biológica de Comboios - IBDF - Regência. Próximo à estrada fazenda Carvoeira."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Fabaceae","Clitoria",,"L.","FABACEAE Clitoria L.","K000920559","x","K","Farias, G.L.","313","Native","1988","Lewis, G.P.",,"Ouro","Ouro",,,"Reserva Biológica de Comboios - IBDF. Próximo à fazenda de Jair Moreira."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Sapindaceae","Cupania","racemosa","(Vell.) Radlk.","SAPINDACEAE Cupania racemosa (Vell.) Radlk.","3231","x","CVRD","Souza, V.D.","81","Native",,"Rodriguez, P.A.","1992","Bronze","Ouro",,,"Lado esq. do aceiro da divisa com a Reserva Biológica de Comboios e a Fazenda Comboios, 8m da cerca."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Aptandraceae",,,"Miers","APTANDRACEAE Aptandraceae Miers","K005805620","splink","K","Folli, D.A.","974","Native",,,,"Latão","Ouro",,,"Reserva Biológica de Comboios-IBDF-Regência, ES. Próximo à estrada Municipal."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Lamiaceae","Vitex","duckei","Huber","LAMIACEAE Vitex duckei Huber","K001218498","x","K","Folli, D.A.","1104","Native",,,,"Latão","Ouro",,,"Reserva Biológica dos Comboios - IBDF - Regência. Próximo à estrada da Porteira."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Sapotaceae","Manilkara","salzmannii","(A.DC.) H.J.Lam","SAPOTACEAE Manilkara salzmannii (A.DC.) H.J.Lam","K005796970","splink","K","Folli, D.A.","964",,,,,"Latão","Ouro",,,"Reserva Biológica de Comboios - IBDF - Regência, ES. Est. fazenda Carvoeira, lado esquerdo."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Sapotaceae","Pouteria","pachycalyx","T.D.Penn.","SAPOTACEAE Pouteria pachycalyx T.D.Penn.","K005481821","splink","K","Folli, D.A.","961","Native",,,,"Latão","Ouro",,,"Reserva Biológica de Comboios - IBDF; Regência, ES; Est, fazenda Carvoeira, lado direito."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Solanaceae","Solanum",,"L.","SOLANACEAE Solanum L.","3132497","x","Bioversity","Farias, G.L.",,"Native",,,,"Latão","Ouro",,,"Reserva Biolgica de Comboios - IBDF - Regncia. Prximo fazenda Carvoeira, lado esquerdo."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Solanaceae","Solanum","depauperatum","Dunal","SOLANACEAE Solanum depauperatum Dunal","3075727","x","Bioversity","Webster, G.L.",,"Native","1992",,,"Latão","Ouro",,,"Reserva Biolgica de Comboios"
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Fabaceae","Swartzia","apetala","Raddi","FABACEAE Swartzia apetala var. apetala Raddi","K003787172","splink","K","Folli, D.A.","1252",,"1991",,,"Latão","Ouro",,,"Reserva Florestal Da C. V. R. D.; Linhares; Reserva Biológica de Comboios - IBAMA - Regência, ES.; Próximo ao aceiro com a fazenda e a estrada Porteira."
"RESERVA BIOLÓGICA COMBOIOS","Angiosperms","Apocynaceae","Tabernaemontana","salzmannii","A.DC.","APOCYNACEAE Tabernaemontana salzmannii A.DC.","WAG.1672523","x","Botany","Folli, D.A.","Folli, DA 1122","Native","1990",,,"Latão","Ouro",,,"Reserva Biológica de Comboios-Ibama-Regência, ES. Próximo à estrada da Porteira."
