"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Amaranthaceae","Cyathus","striatus","(Huds.) Willd.","AMARANTHACEAE Cyathus striatus (Huds.) Willd.","SAMES17578",,"SAMES","Rodrigues, P.H.L.","156",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Trilha da Lagoa. Reserva Biológica do Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Amaranthaceae","Cyathus","striatus","(Huds.) Willd.","AMARANTHACEAE Cyathus striatus (Huds.) Willd.","SAMES17578","splink","SAMES-FUNGI","Rodrigues, P.H.L.","156",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Trilha da Lagoa. Reserva Biológica do Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19426",,"SAMES","Lopes, F.S.","78",,"2026",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19426","splink","SAMES-FUNGI","Lopes, F.S.","78",,"2026",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19306",,"SAMES","Lopes, F.S.","403",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19307",,"SAMES","Lopes, F.S.","331",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19308",,"SAMES","Lopes, F.S.","339",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19420",,"SAMES","Lopes, F.S.","339",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19421",,"SAMES","Lopes, F.S.","331",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
"RESERVA BIOLÓGICA CÓRREGO GRANDE",,"Araceae","Geastrum",,,"ARACEAE Geastrum sp.","SAMES19306","splink","SAMES-FUNGI","Lopes, F.S.","403",,"2025",,,"Latão","Ouro",,"Conceição da Barra","Reserva Biológica Córrego Grande"
