"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE PRESERVAÇÃO AMBIENTAL DO CÓRREGO DA LAGOA",0,0,0,0
"ÁREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE",0,0,0,0
"ÁREA DE PROTECAO AMBIENTAL MUNICIPAL PIRACANJUBINHA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ÁGUAS DE SÃO JOÃO",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CABECEIRA DO CÓRREGO MAHANA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DÉCIO RIBEIRO DOS REIS",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGO DOS BURITIS",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLOGICO MATA DAS PEROBAS TIM FERREIRA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA BONITA DE ADELANDIA",0,0,0,0
"ESTAÇÃO ECOLÓGICA CHAPADA DE NOVA ROMA",0,0,0,0
"FLORESTA ESTADUAL ARAGUAIA",0,0,0,0
"FLORESTA NACIONAL MATA GRANDE",0,0,0,0
"FLORESTA NACIONAL SILVÂNIA",0,0,0,0
"PARQUE ESTADUAL ÁGUAS DO PARAISO",0,0,0,0
"PARQUE ESTADUAL ÁGUAS LINDAS",0,0,0,0
"PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO",11,11,0,0
"PARQUE ESTADUAL ARAGUAIA",8,8,0,0
"PARQUE ESTADUAL JOÃO LEITE",0,0,0,0
"PARQUE ESTADUAL MATA ATLÂNTICA",0,0,0,0
"PARQUE ESTADUAL PARAÚNA",16,16,0,0
"PARQUE ESTADUAL PIRINEUS",9,9,0,0
"PARQUE ESTADUAL SERRA DE CALDAS NOVAS",7,7,0,0
"PARQUE ESTADUAL SERRA DE JARAGUA",0,0,0,0
"PARQUE ESTADUAL SERRA DOURADA",1,1,0,0
"PARQUE ESTADUAL TERRA RONCA",10,10,0,0
"PARQUE NACIONAL CHAPADA DOS VEADEIROS",193,193,0,0
"PARQUE NACIONAL EMAS",34,34,0,0
"PARQUE NATURAL MUNICIPAL APORÉ",0,0,0,0
"PARQUE NATURAL MUNICIPAL CÓRREGO MIMOSO",0,0,0,0
"PARQUE NATURAL MUNICIPAL ELI BASTOS",0,0,0,0
"PARQUE NATURAL MUNICIPAL ENTRE TREVOS",0,0,0,0
"PARQUE NATURAL MUNICIPAL ORQUÍDEAS JOSÉ PINHEIRO DE SOUZA",0,0,0,0
"PARQUE NATURAL MUNICIPAL PEDREIRA DA ESTRADA DE FERRO",0,0,0,0
