"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Acanthaceae","Pogonospermum","laetum","(S.Moore) I.Darbysh. & Kiel","ACANTHACEAE Pogonospermum laetum (S.Moore) I.Darbysh. & Kiel","48066","x","BHCB","Lombardi, J.A.","3089",,"1999","Wasshausen, D.",,"Ouro","Ouro",,,"Parque Estadual da Serra do Brigadeiro, 20º42'58'-20º43'19'S, 43º29'09'-43º29'02'W"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Acanthaceae","Pogonospermum","laetum","(S.Moore) I.Darbysh. & Kiel","ACANTHACEAE Pogonospermum laetum (S.Moore) I.Darbysh. & Kiel","US02879272","splink","US","Lombardi, J.A.","3089",,"1999",,,"Latão","Ouro",,,"Parque Estadual da Serra do Brigadeiro, Fervedouro-MG."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","HUEMG000538","x","HUEMG","Araujo, M.S.","68",,"2008","Meira Neto, J.A.A.",,"Prata","Ouro",,,"Parque Estadual da Serra do Brigadeiro, trilha da laje do ouro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Aneuraceae","Riccardia","digitiloba","(Spruce) Pagán","ANEURACEAE Riccardia digitiloba (Spruce) Pagán","RB01352986","x","RB","Castro, T.A.","5",,"2008","Castro, T.A.","2009","Bronze","Ouro",,,"Parque Estadual da Serra do Brigadeiro. Encontrada na trilha atrás da casa de Hospede"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Annonaceae","Ephedranthus",,"S.Moore","ANNONACEAE Ephedranthus S.Moore","36170","x","VIC","Siqueira, L.C.","08",,"2006","Siqueira, L.C.","2007","Bronze","Ouro",,,"Comunidade Córrego dos Lanas, Fragmento da Senhora Lourdes Severina Costa; entorno do Parque Estadual Serra do Brigadeiro. Floresta Estacional Semidecidual."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Apiaceae",,,"Lindl.","APIACEAE Apiaceae Lindl.","HUEMG000616","x","HUEMG","Moura, V.S.","15",,"2007",,,"Latão","Ouro",,,"Parque Estadual da Serra do Brigadeiro, Laje do Ouro, Bloco 1."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Araceae","Anthurium","bradeanum","Croat & Grayum","ARACEAE Anthurium bradeanum Croat & Grayum","199122","x","MBM","Lombardi, J.A.","961",,"1995","Nadruz, M.",,"Ouro","Ouro",,,"Parque Estadual da Serra do Brigadeiro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Araliaceae","Schefflera",,"J.R.Forst. & G.Forst.","ARALIACEAE Schefflera J.R.Forst. & G.Forst.","30856","x","VIC","Silva, A.F.","2438",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Trilha do Ouro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Araliaceae","Schefflera",,"J.R.Forst. & G.Forst.","ARALIACEAE Schefflera J.R.Forst. & G.Forst.","HUEMG00001006","x","HUEMG","Silva, A.F.","2438",,"2006",,,"Latão","Ouro",,,"Parque Estadual da Serra do Brigadeiro, na Trilha do Ouro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Arecaceae",,,"Bercht. & J.Presl.","ARECACEAE Arecaceae Bercht. & J.Presl.","HUEMG000339","x","HUEMG","Guimaraes, E.C.","177",,"2008",,,"Latão","Ouro",,,"Parque Estadual da Serra do Brigadeiro, trilha da mata da Ermida, acima dos plotes de Fitossociologia"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Asteraceae","Clibadium",,"F.Allam. ex L.","ASTERACEAE Clibadium F.Allam. ex L.","31257","x","VIC","Silva, A.F.","2546",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Lajedão de Migmatito."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","32722","x","VIC","Valente, G.E.","1391",,"2003",,,"Ouro","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Serra das Três Cabeças; Totem Deitado; Platô da Serra. Mancha de solo raso, sobre afloramento rochoso granitóide."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","42314","x","VIC","Tinti, B.V.","s.n.",,"2010",,,"Latão","Ouro",,,"Parque Estadual da Serra do Brigadeiro, Pedra do pato"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","19066","x","VIC","Silva, A.F.","2505",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Floresta Ombrófila."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","19339","x","VIC","Silva, A.F.","2467",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Fazenda da Neblina - Sede do Parque. Trilha do Moinho. No Lajedão."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","30864","x","VIC","Silva, A.F.","2429",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Trilha do Ouro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","20811","x","VIC","Valente, G.E.","1631",,"2005",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Serra das Três Cabeças, Totem Deitado. Afloramento rochoso-granitóide."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","20812","x","VIC","Valente, G.E.","1630",,"2005",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Serra das Três Cabeças, Totem Deitado. Afloramento rochoso-granitóide."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Graphistylis",,"B.Nord.","ASTERACEAE Graphistylis B.Nord.","HUFU00046193",,"HUFU","Valente, G.E.","1378",,"2003","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/61/93/hufu00046193.dzi","Araponga","Parque Estadual da Serra do Brigadeiro; Serra das 3 Caabeças. Totem deitado."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Asteraceae","Heterocondylus","penninervius","I.T.F.V.Lopes & J.N.Nakaj.","ASTERACEAE Heterocondylus penninervius I.T.F.V.Lopes & J.N.Nakaj.","HUFU00080141","splink","HUFU","Valente, G.E.","1616",,"2004","Nakajima, J.N.","2022","Ouro","Ouro",,"Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 Cabeças; Totem Deitado."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Asteraceae","Heterocondylus","penninervius","I.T.F.V.Lopes & J.N.Nakaj.","ASTERACEAE Heterocondylus penninervius I.T.F.V.Lopes & J.N.Nakaj.","HUFU00080143","splink","HUFU","Valente, G.E.","1376",,"2003","Nakajima, J.N.","2022","Ouro","Ouro",,"Araponga","Parque Estadual da Serra do Brigadeiro, Serra das 3 Cabeças; Totem Deitado."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Asteraceae","Heterocondylus","penninervius","I.T.F.V.Lopes & J.N.Nakaj.","ASTERACEAE Heterocondylus penninervius I.T.F.V.Lopes & J.N.Nakaj.","81463","x","HUFU","Valente, G.E.","1358",,"2003","Nakajima, J.N.","2022","Ouro","Ouro",,,"Parque Estadual da Serra do Brigadeiro, Serra das 3 Cabeças; Totem Deitado; Platô da serra."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Asteraceae","Heterocondylus","penninervius","I.T.F.V.Lopes & J.N.Nakaj.","ASTERACEAE Heterocondylus penninervius I.T.F.V.Lopes & J.N.Nakaj.","81462","x","HUFU","Valente, G.E.","1377",,"2003","Nakajima, J.N.","2022","Ouro","Ouro",,,"Parque Estadual da Serra do Brigadeiro, Serra das 3 Cabeças; Totem Deitado."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Lychnophora",,"Mart.","ASTERACEAE Lychnophora Mart.","50895","x","MBML","Fraga, C.N.","3609",,"2015",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro. Santa Rita Durão, margem direita da estrada MG 129, entre Mariana e Catas Altas. Campo Rupestre sobre Canga"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Lychnophora",,"Mart.","ASTERACEAE Lychnophora Mart.","RB01202811","x","RB","Fraga, C.N.","3609",,"2015",,,"Latão","Ouro",,,"Santa Rita Durão, margem direita da estrada MG 129, entre Mariana e Catas Altas. Campo Rupestre sobre Canga. Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","19287A","x","VIC","Silva, A.F.","2487",,"2006",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Mata ribeirinha da Trilha do Encontro."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Athyriaceae","Diplazium","macrophyllum","Desv.","ATHYRIACEAE Diplazium macrophyllum Desv.","NY00840501","x","NY","Salino, A.","5531",,"2000","Moran, R.C.","2004","Bronze","Ouro",,,"Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Athyriaceae","Diplazium","macrophyllum","Desv.","ATHYRIACEAE Diplazium macrophyllum Desv.","NY00840500","x","NY","Salino, A.","5531",,"2000","Moran, R.C.","2004","Bronze","Ouro",,,"Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Bartramiaceae","Breutelia","subtomentosa","(Hampe) A.Jaeger","BARTRAMIACEAE Breutelia subtomentosa (Hampe) A.Jaeger","RB00514015","x","RB","Costa, D.P.","4138",,"2002","Costa, D.P.","2002","Bronze","Ouro",,,"Serra do Araponga. Fazenda Neblina Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bignoniaceae","Anemopaegma",,"Mart. ex Meisn.","BIGNONIACEAE Anemopaegma Mart. ex Meisn.","RB01182424","x","RB","Marcolino, F.","87",,"2009",,,"Latão","Ouro",,,"Estrada Fervedouro. Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bignoniaceae","Tabebuia",,"Gomes ex DC.","BIGNONIACEAE Tabebuia Gomes ex DC.","22246","x","VIC","Basilio, L.A.","s.n.",,"1998",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Final da trilha principal da Fazenda do Brigadeiro, em um vale a uns 1500 metros de altitude, próximo à uma cachoeira."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","37223","x","VIC","Siqueira, L.C.","354",,"2006","Siqueira, L.C.","2007","Bronze","Ouro",,,"Comunidade Córrego dos Lanas, Fragmento do Sr. José Pedro de Castro, entorno do Parque Estadual Serra do Brigadeiro (PESB). Floresta Estacional Semidecidual."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Boraginaceae",,,"Juss.","BORAGINACEAE Boraginaceae Juss.","37234","x","VIC","Siqueira, L.C.","433",,"2006","Siqueira, L.C.","2007","Bronze","Ouro",,,"Comunidade Córrego dos Lanas, Fragmento do Sra. Lourdes Severina Costa, entorno do Parque Estadual Serra do Brigadeiro (PESB). Floresta Estacional Semidecidual."
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Brachytheciaceae","Meteoridium","remotifolium","(Müll.Hal.) Manuel","BRACHYTHECIACEAE Meteoridium remotifolium (Müll.Hal.) Manuel","RB00514353","x","RB","Castro, T.A.","55",,"2008","Castro, T.A.","2008","Bronze","Ouro",,,"Trilha atrás da Casa de hospede Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bromeliaceae","Canistrum",,"É.Morren","BROMELIACEAE Canistrum É.Morren","50899","x","MBML","Fraga, C.N.","3605",,"2015",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro. Careço, cume da Pedra do Cruzeiro. Mata Nebular sobre o inselberg"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bromeliaceae","Canistrum",,"É.Morren","BROMELIACEAE Canistrum É.Morren","RB01202807","x","RB","Fraga, C.N.","3605",,"2015",,,"Latão","Ouro",,,"Careço, cume da Pedra do Curzeiro. Mata Nebular sobre o Inselberg. Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bromeliaceae","Cryptanthus",,"Otto & A.Dietr.","BROMELIACEAE Cryptanthus Otto & A.Dietr.","RB01202816","x","RB","Fraga, C.N.","3614",,"2015",,,"Latão","Ouro",,,"Santa Rita Durão, margem direita da estrada MG 129, entre Mariana e Catas Altas. Campo Rupestre sobre Canga. Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Bromeliaceae","Rokautskyia",,"Leme, S.Heller & Zizka","BROMELIACEAE Rokautskyia Leme, S.Heller & Zizka","50946","x","MBML","Fraga, C.N.","3614",,"2015",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro. Santa Rita Durão, margem direita da estrada MG 129, entre Mariana e Catas Altas. Campo Rupestre sobre Canga"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Bryaceae","Bryum",,"Hedw.","BRYACEAE Bryum Hedw.","RB00514147","x","RB","Costa, D.P.","4133",,"2002",,,"Latão","Ouro",,,"Serra da Araponga, Fazenda Neblina Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Callicostaceae","Lepidopilidium","nitens","(Hornsch.) Broth.","CALLICOSTACEAE Lepidopilidium nitens (Hornsch.) Broth.","RB01353209","x","RB","Castro, T.A.","15",,"2008","Castro, T.A.","2008","Bronze","Ouro",,,"Parque Estadual da Serra do Brigadeiro. Trilha atrás da casa de Hóspede"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Callicostaceae","Thamniopsis","langsdorffii","(Hook.) W.R.Buck","CALLICOSTACEAE Thamniopsis langsdorffii (Hook.) W.R.Buck","RB01352996","x","RB","Castro, T.A.","92",,"2008",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro. Trilha Moinho"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Callicostaceae","Trachyxiphium","guadalupense","(Brid.) W.R.Buck","CALLICOSTACEAE Trachyxiphium guadalupense (Brid.) W.R.Buck","RB01353235","x","RB","Castro, T.A.","51",,"2008",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro. Trilha do Moinho"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Calomniaceae","Pyrrhobryum","spiniforme","(Hedw.) Mitt.","CALOMNIACEAE Pyrrhobryum spiniforme (Hedw.) Mitt.","RB01353007","x","RB","Castro, T.A.","79",,"2008","Castro, T.A.","2009","Bronze","Ouro",,,"Parque Estadual Serra do Brigadeiro - Trilha do riacho - sobre o tronco em decomposição"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO",,"Calymperaceae","Syrrhopodon","prolifer","Schwägr.","CALYMPERACEAE Syrrhopodon prolifer Schwägr.","RB00515849","x","RB","Leoni, L.S.","2542",,"1994","Crum, H.","1995","Bronze","Ouro",,,"Serra do Boné Parque Estadual Serra do Brigadeiro"
"PARQUE ESTADUAL SERRA DO BRIGADEIRO","Angiosperms","Campanulaceae","Centropogon",,"C.Presl","CAMPANULACEAE Centropogon C.Presl","32111","x","VIC","Valente, G.E.","1948",,"2007",,,"Latão","Ouro",,,"Parque Estadual Serra do Brigadeiro (PESB), Trilha do Muriqui. Floresta Ombrófila Densa Altomontana."
